 	il	est	très	bavard	</S>
w	0.975564	0.0188642	0.00503179	0.000336836	0.000203015
a	0.978235	0.0101001	0.010747	0.000694536	0.000223094
a	0.246936	0.608034	0.118477	0.00171853	0.024835
p	0.0733876	0.58038	0.27522	0.032028	0.0389838
é	0.0102407	0.325402	0.276524	0.24649	0.141344
n	0.0151439	0.14685	0.449543	0.310522	0.0779421
d	0.0667188	0.231932	0.558612	0.0844891	0.0582483
í	0.168529	0.397182	0.374939	0.0318261	0.0275236
p	0.141513	0.0946164	0.388313	0.216876	0.158681
ó	0.0321868	0.0254223	0.178075	0.669179	0.0951366
s	0.00157652	0.0177394	0.116153	0.834695	0.0298364
á	0.000245376	0.0115283	0.0956309	0.883188	0.0094075
o	0.0288018	0.0174056	0.112309	0.279013	0.56247
t	0.000669604	0.0350875	0.175725	0.667092	0.121425
i	0.000723394	0.0276718	0.242553	0.452284	0.276767
a	0.000426703	0.0212857	0.194791	0.179154	0.604343
</S>	0.00612159	0.0325876	0.102115	0.0411096	0.818066
