 	cette	maison	est	hantée	par	un	mauvais	esprit	</S>
n	0.262261	0.540944	0.107665	0.0100419	0.0405623	0.0223492	0.00892678	0.000634947	0.00661565
d	0.0363535	0.961122	0.00109192	0.000677859	0.000448002	0.00025259	2.64371e-05	6.20511e-06	2.1488e-05
é	0.00905104	0.98904	0.000374848	0.00119258	0.000132289	0.000152681	2.75857e-05	9.20341e-06	1.99174e-05
e	0.0808331	0.768213	0.0794273	0.0413148	0.0104684	0.0115219	0.00466384	0.000111322	0.00344664
y	0.151529	0.126422	0.594397	0.0475533	0.0361098	0.0162911	0.0176853	0.000996715	0.0090164
é	0.413693	0.130843	0.260584	0.0619776	0.0410263	0.026399	0.0251509	0.00268361	0.0376427
é	0.405456	0.0669898	0.344894	0.0601078	0.0577986	0.0230045	0.0164801	0.000723642	0.0245454
d	0.0386767	0.0695446	0.226723	0.523003	0.040662	0.0240707	0.0175015	0.026248	0.0335704
í	0.0102558	0.0137441	0.0709377	0.739901	0.0406598	0.0154034	0.00791792	0.015542	0.085638
l	0.0352468	0.0120896	0.183746	0.390475	0.123475	0.0714831	0.0368353	0.0498847	0.0967653
o	0.012451	0.00488628	0.0797807	0.323432	0.388721	0.0778919	0.0374558	0.00329178	0.0720889
l	0.0302917	0.00579558	0.073877	0.651236	0.127793	0.0546226	0.0122696	0.0134053	0.0307093
í	0.00746456	0.00302814	0.0426003	0.69337	0.0864616	0.0883034	0.0179921	0.0187128	0.042067
m	0.00485748	0.00150174	0.0529894	0.278377	0.226236	0.150309	0.0775022	0.119304	0.0889228
i	0.0113925	0.0011976	0.0235938	0.246085	0.347013	0.139599	0.0763334	0.094112	0.0606739
m	0.00562508	0.00110582	0.0265915	0.0278456	0.162412	0.24052	0.233046	0.156134	0.146721
ó	0.0335475	0.0011048	0.0326503	0.0348308	0.0910394	0.0720049	0.0976274	0.174955	0.46224
b	0.0307722	0.00823415	0.054176	0.0357998	0.0943673	0.205873	0.245724	0.241362	0.0836913
é	0.00770763	0.00351998	0.0244737	0.0790865	0.0534342	0.137259	0.0804291	0.5462	0.0678904
</S>	0.000378984	0.00016959	0.00282428	0.00981376	0.021618	0.0518725	0.0494898	0.515506	0.348327
