 	chaque	matin	il	me	fait	insulter	par	ses	enfants	</S>
l	0.684202	0.134819	0.0834714	0.0117236	0.0236774	0.0314338	0.0142003	0.0149216	0.00125263	0.000297927
y	0.204787	0.567467	0.0466578	0.0302402	0.0869333	0.0164852	0.0159766	0.0259402	0.00367532	0.00183723
ó	0.231797	0.683936	0.0138481	0.0197108	0.017879	0.0212703	0.00448178	0.00227772	0.00113057	0.00366882
l	0.128335	0.757472	0.00730381	0.00250936	0.0174855	0.00946791	0.023884	0.0173747	0.0118922	0.0242761
o	0.523873	0.315191	0.0213397	0.00300335	0.0237497	0.0245091	0.016743	0.00752259	0.00429846	0.05977
í	0.431584	0.260714	0.21933	0.00152154	0.0189612	0.0114364	0.022942	0.0077168	0.00112683	0.0246675
t	0.254185	0.289283	0.221377	0.0194194	0.123273	0.0230122	0.0253094	0.0130498	0.00139903	0.0296926
s	0.0737385	0.116887	0.347733	0.0075724	0.0782425	0.203527	0.0697248	0.0190553	0.0115565	0.0719625
ω	0.0713284	0.0925147	0.30445	0.0427063	0.104288	0.0712164	0.0742928	0.084717	0.0428985	0.111588
w	0.0334854	0.0629055	0.503523	0.135781	0.101	0.0458411	0.0252944	0.0201405	0.00891754	0.0631108
a	0.325464	0.0836045	0.192961	0.0207168	0.0526171	0.140754	0.0677716	0.0403556	0.0286779	0.0470771
l	0.016268	0.0139859	0.376198	0.313495	0.179132	0.0390786	0.0203201	0.0212707	0.00387982	0.0163715
á	0.0495069	0.0127655	0.0717181	0.124723	0.0653209	0.0360459	0.0605383	0.042414	0.00657184	0.530395
a	0.0486621	0.00258359	0.0675958	0.145062	0.198022	0.369642	0.0868327	0.0313557	0.00971911	0.0405254
t	0.0147372	0.0107185	0.0240743	0.0296794	0.138285	0.683368	0.0652706	0.00388684	0.0019775	0.0280019
u	0.00154078	0.00232617	0.0127565	0.0026568	0.067854	0.788498	0.0973087	0.00368743	0.00191389	0.0214575
ú	0.0105344	0.0023025	0.0111049	0.00312569	0.142623	0.583199	0.173431	0.0155925	0.00406976	0.0540178
s	0.00264839	0.000991559	0.0215484	0.106474	0.329128	0.186141	0.215447	0.0891836	0.00690784	0.0415293
á	0.00288367	0.00277617	0.00750457	0.0495076	0.171054	0.0797841	0.253849	0.311784	0.0121881	0.108668
n	0.00268439	0.00143229	0.00665998	0.109676	0.0850888	0.140348	0.204936	0.243209	0.200774	0.00519208
g	0.00732022	0.00617079	0.000836832	0.778001	0.02385	0.0306937	0.0437229	0.0320206	0.0684538	0.00893001
á	0.00512899	0.0113391	0.00101688	0.747776	0.0151381	0.0337327	0.0389908	0.0182645	0.115556	0.013057
l	0.00140418	0.00122722	0.00833592	0.0105138	0.050032	0.0577907	0.47583	0.307327	0.059628	0.0279111
a	0.00643886	0.00276253	0.00769307	0.0278662	0.041857	0.021256	0.303501	0.19297	0.0497493	0.345906
b	0.00215779	0.00267776	0.0056549	0.00381788	0.017192	0.0471087	0.254127	0.256917	0.253071	0.157277
á	0.00312674	0.0041932	0.00989297	0.00662431	0.0372513	0.0181273	0.151012	0.374963	0.362471	0.0323379
n	0.00099714	0.0012776	0.00213747	0.00467668	0.0126802	0.0203433	0.128414	0.249364	0.350952	0.229157
a	0.00422283	0.00354008	0.0013403	0.00260944	0.0366939	0.153796	0.19634	0.18953	0.195294	0.216633
b	0.0010967	0.00107122	0.00248199	0.0101669	0.0341199	0.0153192	0.259691	0.21277	0.0537368	0.409546
á	0.0064912	0.00289285	0.00775889	0.00343498	0.0187951	0.00630399	0.12986	0.490464	0.110825	0.223174
w	0.00471587	0.00353768	0.00487824	0.035264	0.00932807	0.00985401	0.0536639	0.334985	0.25345	0.290323
a	0.00275658	0.00304145	0.00902032	0.0129529	0.0143195	0.0180834	0.0571871	0.318408	0.115903	0.448328
</S>	0.00089178	0.000869211	0.00193466	0.00279892	0.00396256	0.00372458	0.0641	0.164768	0.0712675	0.685683
