 	regarde	une	maison	en	paille	</S>
t	0.727947	0.183136	0.0615011	0.0036006	0.0234477	0.000368094
a	0.907385	0.0711279	0.00762451	0.00394006	0.00963723	0.000285768
á	0.673148	0.246067	0.0159245	0.0132984	0.00458105	0.0469816
n	0.216615	0.217481	0.40734	0.0361114	0.00313235	0.119319
d	0.00209679	0.0654174	0.908563	0.00473313	7.78367e-05	0.0191114
é	0.00650663	0.0598617	0.922668	0.00134162	0.000135233	0.00948662
e	0.0302624	0.359131	0.412772	0.0811892	0.00815513	0.10849
y	0.00966499	0.185098	0.112987	0.529487	0.0294479	0.133315
á	0.0138495	0.280666	0.0341993	0.264147	0.0692672	0.337871
p	0.0384649	0.39754	0.138415	0.131676	0.262655	0.0312502
f	0.21897	0.0773639	0.0150049	0.0561346	0.602907	0.0296188
ú	0.0200255	0.0635217	0.00739814	0.118517	0.691061	0.0994771
l	0.00138213	0.0132487	0.000465523	0.0637466	0.857466	0.0636907
ú	0.00482394	0.0780298	0.0131406	0.118546	0.583014	0.202446
</S>	0.000637253	0.0594941	0.00713456	0.5433	0.0646401	0.324794
