 	ce	poignard-ci	appartient	au	forgeron	</S>
e	0.913145	0.0695028	0.0132513	0.00381181	0.000255948	3.31689e-05
y	0.417202	0.498095	0.0620209	0.0147908	0.00670914	0.00118176
o	0.0846722	0.857917	0.0503589	0.00394636	0.000606047	0.00249953
n	0.0798534	0.859669	0.0369144	0.00828889	0.00348631	0.0117881
g	0.0790384	0.880812	0.0285894	0.00195805	0.000636928	0.0089654
o	0.0439282	0.926483	0.018178	0.00217786	0.000562946	0.00866994
y	0.250588	0.17546	0.482631	0.0600689	0.00159904	0.029653
é	0.493309	0.113225	0.338798	0.01995	0.00106031	0.0336577
é	0.251488	0.0995672	0.486364	0.0768373	0.0118997	0.0738436
d	0.0949297	0.0426677	0.60571	0.206155	0.0193716	0.0311659
i	0.00528736	0.00471627	0.656955	0.248066	0.0143676	0.0706079
y	0.0158865	0.00857368	0.577635	0.26702	0.0691009	0.0617843
ó	0.00493646	0.0232185	0.355396	0.218357	0.0715181	0.326574
k	0.00274731	0.00970437	0.14801	0.220552	0.352309	0.266678
u	0.000714137	0.00120111	0.0206346	0.0257307	0.940995	0.010724
b	0.000131098	0.000390737	0.00647177	0.0150646	0.946574	0.0313677
h	0.0143658	0.00626487	0.107201	0.123156	0.271656	0.477355
a	0.000528431	0.00198803	0.0535185	0.0417715	0.42974	0.472454
</S>	0.00272132	0.00165171	0.0961481	0.158081	0.0682137	0.673184
