 	les	enfants	ont	passé	toute	la	journée	à	jouer	</S>
b	0.368748	0.594256	0.0255856	0.00293641	0.00439262	0.00192352	0.00146108	0.000528328	0.000160338	8.13086e-06
á	0.0456436	0.951646	0.00173995	0.000112824	0.000110422	0.000141497	4.36151e-05	0.000469827	8.07743e-05	1.19824e-05
n	0.0292933	0.967185	0.00266525	0.000253469	0.000101018	0.000118793	1.86576e-05	0.00014362	9.53479e-05	0.000125306
a	0.292671	0.658692	0.0170512	0.00288931	0.00203496	0.00364561	0.000302328	0.00402205	0.00159749	0.0170939
á	0.333148	0.303665	0.209499	0.0499454	0.0243882	0.0197826	0.00426539	0.0358201	0.00578662	0.0136996
m	0.0521854	0.00918314	0.171577	0.499944	0.142298	0.0571761	0.0362408	0.0132607	0.00299399	0.0151405
a	0.0212248	0.00306475	0.22982	0.594284	0.0881666	0.027145	0.00159731	0.00500662	0.00110111	0.0285897
a	0.00605012	0.000723859	0.0603075	0.711061	0.169654	0.0209161	0.00969906	0.00215002	0.00107036	0.0183676
n	0.0162946	0.000999641	0.0134861	0.513568	0.322026	0.0431962	0.0249325	0.0134381	0.00598782	0.0460714
i	0.0482074	0.00601544	0.0368421	0.371537	0.405603	0.0774474	0.00792066	0.0238424	0.00531478	0.0172709
o	0.0139475	0.00127786	0.0409472	0.247464	0.496006	0.157586	0.0110406	0.0144932	0.00518481	0.0120529
y	0.00127269	0.000132332	0.0032888	0.102368	0.444489	0.285497	0.14272	0.00737621	0.00492358	0.00793316
í	0.00377312	5.82787e-05	0.00704916	0.198902	0.378724	0.187232	0.1539	0.0134156	0.00456818	0.0523776
í	0.00465779	0.000442549	0.0255034	0.159069	0.196623	0.195269	0.0709874	0.034254	0.0128348	0.300359
r	0.00248107	0.000467938	0.0260686	0.0879959	0.281664	0.496437	0.0503358	0.0337201	0.00313141	0.0176981
á	0.0276861	0.00258692	0.00955475	0.0356279	0.231327	0.44914	0.030473	0.104303	0.0247129	0.0845888
o	0.00521105	0.00313595	0.0134976	0.0175712	0.0970301	0.474851	0.199967	0.115806	0.0340253	0.0389045
t	0.000426265	5.09388e-05	9.05056e-05	0.00293186	0.0157363	0.0570307	0.88771	0.0193913	0.0134722	0.00315964
s	0.000166042	4.55665e-05	0.00013325	0.003438	0.0209961	0.0476911	0.888249	0.0121042	0.0122424	0.0149349
i	0.00013438	5.47136e-05	0.000216294	0.00336924	0.0225989	0.0470171	0.792347	0.0357366	0.0777457	0.0207806
i	0.000467397	6.94412e-05	0.000828102	0.00269532	0.0146862	0.0683857	0.649177	0.116039	0.0370972	0.110555
n	0.00171867	8.30781e-05	0.00290299	0.00364521	0.0201957	0.165078	0.0947968	0.513285	0.104748	0.0935462
a	0.0142694	0.000912999	0.00196632	0.00355016	0.0192031	0.150178	0.095483	0.428956	0.148746	0.136735
m	0.000774885	0.000117593	0.00231426	0.00200825	0.0101643	0.0730397	0.0597539	0.532548	0.117431	0.201848
í	0.0060256	0.00126068	0.00540486	0.000832171	0.00140156	0.0215751	0.0137576	0.23278	0.135576	0.581386
k	0.00168887	0.000320383	0.00108968	0.00105233	0.00243616	0.0132674	0.0151673	0.222548	0.592787	0.149643
y	0.00114541	0.000693591	0.000447174	0.00186382	0.00603814	0.0104444	0.0778749	0.149158	0.653899	0.098436
a	0.000992046	0.000189042	0.000158736	0.000290349	0.00159188	0.00590192	0.169109	0.0672508	0.676776	0.0777397
l	0.000415501	2.78297e-05	0.00015456	0.000221523	0.00126543	0.00678516	0.220104	0.126017	0.322309	0.322699
á	0.000220326	2.46786e-05	4.13113e-05	0.00028081	0.00146741	0.00557693	0.108661	0.143367	0.581072	0.159289
t	0.00746814	0.000924264	0.0131617	0.00732858	0.00945421	0.0222763	0.0134362	0.224737	0.233244	0.46797
s	0.00526735	0.00336698	0.00377763	0.00228244	0.00515266	0.0128884	0.0688429	0.221726	0.328691	0.348005
a	0.00132981	0.000166019	0.000300242	0.000506273	0.00218236	0.00417968	0.211017	0.0499322	0.635207	0.0951793
a	0.0344467	0.00253486	0.00325356	0.00522083	0.0110895	0.0211277	0.145947	0.138421	0.285958	0.352001
n	0.00445648	0.000196595	0.00811469	0.00717146	0.0110853	0.0266366	0.00681771	0.232756	0.173322	0.529443
i	0.0219858	0.000395491	0.0046871	0.0150211	0.0255117	0.0447855	0.00741263	0.172524	0.157649	0.550027
</S>	0.000485319	5.13019e-05	0.000941116	0.00202622	0.00359235	0.00877823	0.00265517	0.14753	0.0927729	0.741167
