 	cette	jeune	fille	a	mis	les	cendres	sur	son	visage	</S>
m	0.385064	0.590842	0.0188451	0.000906862	0.0017669	0.00107852	0.000974443	0.000253559	0.000224449	1.01723e-05	3.35645e-05
w	0.0335841	0.0644574	0.896001	0.00280906	0.000474861	0.000585959	0.000818953	0.000304341	0.000217096	5.93174e-05	0.000687752
á	0.00960918	0.0818951	0.90795	7.77449e-05	7.15666e-05	0.000136967	0.000192958	1.19077e-05	5.46513e-06	4.68516e-05	1.67137e-06
n	0.0437129	0.829789	0.12483	0.000411719	0.000170106	0.000227255	0.000180551	0.000129567	6.26747e-05	2.39154e-05	0.000462355
a	0.00955042	0.271252	0.626365	0.0625859	0.00334473	0.00755245	0.00224792	0.00224853	0.00204179	0.000570761	0.0122402
o	0.800673	0.137765	0.0403065	0.00767053	0.0032938	0.00329194	0.000854064	0.00218333	0.00235361	0.000172081	0.00143606
y	0.446258	0.0740537	0.148115	0.18765	0.0985289	0.0123266	0.0131397	0.00577946	0.00367735	0.00164263	0.00882845
ú	0.734261	0.074901	0.151931	0.0268529	0.00608845	0.00278562	0.000634696	0.00050751	0.000453573	0.000431271	0.00115306
r	0.850654	0.0166036	0.0078977	0.0188451	0.0168025	0.0185972	0.00508934	0.00741421	0.0106948	0.00246723	0.044934
u	0.878551	0.017412	0.0137496	0.0100129	0.0161471	0.0195677	0.00355723	0.00601721	0.0183529	0.00379908	0.0128335
w	0.0292542	0.021271	0.0120471	0.708592	0.0589198	0.025785	0.00398839	0.0314443	0.0273048	0.00222812	0.0791656
ó	0.058117	0.0217939	0.00187381	0.497127	0.11317	0.0814221	0.0136306	0.0365391	0.0651099	0.0121762	0.09904
á	0.0382177	0.0137545	0.00409606	0.771637	0.0501016	0.0301455	0.00363367	0.0288751	0.0255732	0.0030647	0.0309008
m	0.00295494	0.000353358	0.000302457	0.333976	0.57464	0.0515657	0.00921146	0.00691424	0.00615554	0.00144603	0.0124806
i	0.00382477	0.00213899	0.00502821	0.505975	0.317523	0.125549	0.017321	0.00941727	0.00526711	0.000222365	0.00773299
k	0.00603471	0.000503295	0.00444317	0.148788	0.744473	0.048988	0.0353149	0.00309385	0.00227769	0.000661262	0.00542228
a	0.00246648	5.92289e-05	9.77653e-05	0.0318522	0.771627	0.0753024	0.0834878	0.00925714	0.00538402	0.00037385	0.0200924
n	0.00291652	0.00010024	0.000227023	0.0320894	0.718593	0.0652756	0.152433	0.011081	0.00470359	0.000901316	0.0116802
á	0.0467456	0.0017961	0.000245101	0.0719514	0.473554	0.220955	0.0634995	0.0343272	0.0251635	0.00397723	0.0577855
o	0.00844511	0.00604456	0.000734019	0.122079	0.309457	0.471416	0.0322236	0.0234647	0.015532	0.00236648	0.00823848
b	0.00506835	0.000268843	0.00036053	0.00431747	0.256853	0.236487	0.471001	0.017567	0.00204376	0.00207168	0.00396078
v	0.00107193	0.000291344	0.000885951	0.000751943	0.0297855	0.034446	0.920577	0.00791306	0.000873394	0.00102015	0.0023832
u	0.002069	0.000188826	0.000703302	0.00292172	0.109984	0.0943949	0.735347	0.0469434	0.00471624	0.000426912	0.00230498
r	0.0134996	0.00117973	0.000240845	0.0191221	0.20881	0.402942	0.221641	0.0897067	0.0259671	0.00144017	0.0154506
ú	0.00101338	0.000144549	9.26966e-05	0.00285955	0.101845	0.40154	0.280224	0.0757433	0.0449495	0.0237993	0.0677882
m	0.00227859	0.00052719	8.30394e-05	0.00569734	0.0406618	0.251214	0.0801747	0.451679	0.0826215	0.00928743	0.0757754
é	0.00448877	0.00332549	0.000356347	0.00168582	0.00199441	0.0420683	0.131128	0.282603	0.135495	0.00448692	0.392367
l	0.00275988	0.000371071	0.000139383	0.00184676	0.00736028	0.0407395	0.175437	0.523008	0.106102	0.0896275	0.0526096
é	0.00180366	0.000392481	0.000141811	0.00468265	0.022352	0.0361033	0.10907	0.31832	0.132901	0.153751	0.220482
n	0.000231359	4.10294e-05	2.09359e-05	0.00133944	0.00559158	0.0188363	0.0923761	0.322211	0.0951855	0.397239	0.0669276
g	0.000412817	1.26854e-05	3.68428e-05	0.00138187	0.0106791	0.0381268	0.160633	0.260397	0.164094	0.226908	0.137317
é	0.00035848	8.5835e-05	7.47513e-05	0.000554835	0.000911984	0.00478578	0.0170454	0.0327894	0.0152733	0.895268	0.0328528
</S>	0.000735365	0.000215096	4.01099e-05	0.0011823	0.00269086	0.0144321	0.0175493	0.194128	0.149919	0.172876	0.446231
