 	elle	a	réchauffé	la	nourriture	de	peur	que	celle-ci	ne	pourrisse	</S>
w	0.943133	0.0296125	0.00231927	0.00874866	0.00180544	0.00404891	0.00154377	0.00323324	0.00269404	0.00261021	0.00021603	3.54011e-05
a	0.927347	0.0245365	0.0011409	0.0228524	0.00119706	0.00572152	0.00561804	0.00253709	0.00418857	0.00368669	0.00115476	1.98002e-05
á	0.188043	0.681464	0.0238266	0.010035	0.000501379	0.00925059	0.00607758	0.0161422	0.00893401	0.0259741	0.0239401	0.00581082
y	0.0973255	0.628654	0.1609	0.00738192	0.00301122	0.0127571	0.00639168	0.00859536	0.00532758	0.0259787	0.024482	0.0191948
á	0.0173187	0.337553	0.397027	0.00476212	0.000472663	0.00660425	0.00278209	0.00601252	0.003434	0.0149359	0.0564618	0.152636
n	0.0148681	0.152218	0.767555	0.00871335	0.000258016	0.00259722	0.00186448	0.00345793	0.00281591	0.00603334	0.00908052	0.0305384
g	0.0679402	0.366707	0.231252	0.141067	0.00626677	0.0301883	0.0212981	0.0287911	0.0160907	0.0387888	0.0175882	0.0340223
i	0.0807874	0.268327	0.5163	0.0596068	0.00147118	0.00692338	0.00813176	0.00593729	0.00457544	0.0051482	0.0104855	0.0323062
s	0.038011	0.0542856	0.0829274	0.521624	0.0969619	0.0538517	0.048367	0.0293914	0.0266205	0.0302845	0.00365746	0.0140177
i	0.00939936	0.0709508	0.368161	0.423296	0.0125826	0.0340247	0.0175003	0.018761	0.0153743	0.00242713	0.00526077	0.0222614
b	0.0271504	0.0515828	0.0781448	0.670049	0.0489133	0.042617	0.0224115	0.0118322	0.010852	0.0104467	0.0114173	0.0145835
e	0.0119983	0.0204581	0.0299703	0.146598	0.66694	0.0298239	0.0523947	0.00783987	0.0168663	0.00164769	0.00931129	0.00615139
a	0.00126885	0.00247642	0.00233704	0.0928602	0.797785	0.0216995	0.0450663	0.00697029	0.0192174	0.0010137	0.0022524	0.00705253
b	0.00565506	0.0621335	0.0730066	0.264574	0.173125	0.265414	0.0339246	0.0371048	0.0200122	0.0159635	0.0154983	0.0335882
í	0.0193357	0.0316684	0.0225485	0.075168	0.224611	0.351107	0.103123	0.116853	0.0333036	0.00470075	0.00319492	0.0143863
d	0.00336034	0.00790679	0.00788575	0.079787	0.347101	0.16055	0.114511	0.0636809	0.0551985	0.00837623	0.00627198	0.145371
z	0.00203614	0.00664377	0.060013	0.0388343	0.0391646	0.457416	0.0726701	0.0498138	0.0340187	0.00466848	0.0589587	0.175762
á	0.0048791	0.00733869	0.0540179	0.119169	0.028435	0.34494	0.0332169	0.064863	0.0635235	0.0174177	0.0243356	0.237864
a	0.00122641	0.00157755	0.0116236	0.0676065	0.0923895	0.384286	0.0496561	0.136593	0.100658	0.0210106	0.0225994	0.110773
p	0.000935361	0.00611069	0.00265912	0.00934396	0.0201445	0.226193	0.228947	0.313413	0.0683289	0.0806142	0.0250299	0.0182808
e	0.00399404	0.0027717	0.0069104	0.0326435	0.0312141	0.276543	0.0724856	0.36937	0.10739	0.039603	0.00194269	0.0551323
n	0.00021052	0.000633112	0.00260474	0.00783945	0.0153879	0.146436	0.117065	0.346886	0.108647	0.0541826	0.0349218	0.165185
á	0.000701172	0.0027641	0.0303186	0.022621	0.00980764	0.180695	0.137637	0.293008	0.124645	0.0278644	0.0241733	0.145765
b	0.000713444	0.00119062	0.000749892	0.00754205	0.00639452	0.0954235	0.119637	0.322042	0.159824	0.154315	0.0474028	0.0847654
i	0.00151638	0.0020865	0.000691593	0.0169171	0.0762378	0.200711	0.259965	0.190952	0.149812	0.0567146	0.0138457	0.0305512
a	0.000292655	0.000498735	0.000196276	0.0060852	0.0281733	0.0635276	0.220984	0.204081	0.259856	0.0584709	0.0377817	0.120053
í	0.000342788	0.00153382	0.000823224	0.00311526	0.00293093	0.0529981	0.0862181	0.146465	0.107946	0.283927	0.185934	0.127767
s	0.00152717	0.0166588	0.0104065	0.0044059	0.00122035	0.0273683	0.01833	0.0323413	0.0302707	0.162612	0.64975	0.0451097
έ	0.000516122	0.00565622	0.00434287	0.000807754	7.18578e-05	0.00816688	0.00948694	0.0124555	0.00842416	0.143214	0.730521	0.0763364
m	5.52769e-05	0.00051837	0.000643227	0.00292065	0.000348943	0.0386995	0.0424816	0.069267	0.0324573	0.205656	0.349226	0.257726
b	7.89359e-05	0.000356818	0.000738465	0.0092414	0.00453747	0.0936192	0.101413	0.161669	0.133661	0.127206	0.21736	0.150119
í	0.000247454	0.000276343	0.000877507	0.0187386	0.0650513	0.0917085	0.117316	0.198857	0.291972	0.0829776	0.0146324	0.117345
</S>	0.00069962	0.00065837	0.000776153	0.00544581	0.0118219	0.0258423	0.0949509	0.0980971	0.213078	0.234893	0.0935423	0.220195
