 	j'	ai	eu	mes	menstrues	</S>
n	0.916115	0.0533673	0.00657411	0.0130422	0.00361816	0.00728343
g	0.980621	0.00682681	0.000391312	0.0113431	0.00074808	6.99441e-05
á	0.918059	0.0432087	0.00730206	0.0253775	0.00589819	0.000154514
í	0.0527447	0.312242	0.0991442	0.144065	0.0760256	0.315779
m	0.010936	0.147116	0.790309	0.0333351	0.0090142	0.00928936
i	0.000503447	0.262356	0.560485	0.108525	0.0202596	0.0478716
t	0.000199095	0.0529069	0.9075	0.0168299	0.0129493	0.00961513
á	1.62471e-05	0.0118287	0.964591	0.0012857	0.01287	0.00940807
á	0.000953523	0.18634	0.53677	0.0964969	0.0469124	0.132527
s	0.00210511	0.179226	0.118131	0.471298	0.174536	0.0547055
w	0.0012476	0.0288097	0.0487299	0.272928	0.563467	0.0848181
é	0.000472762	0.0105706	0.0507076	0.0790775	0.80863	0.0505414
n	0.000500952	0.0350788	0.0849867	0.10516	0.463252	0.311021
g	0.000294869	0.029393	0.0543736	0.11022	0.498396	0.307322
é	0.00264293	0.0258681	0.0397347	0.0780428	0.450019	0.403692
</S>	0.000131539	0.038445	0.0417393	0.088604	0.0581707	0.77291
