 	notre	père	lui	a	donné	un	habit	</S>
t	0.102194	0.887917	0.00776154	0.000751479	0.000104772	0.000828515	0.000417505	2.46802e-05
á	0.00125173	0.992883	0.0030813	0.000751583	0.000286009	0.000984361	0.000728663	3.29892e-05
a	0.00429645	0.908233	0.0368772	0.0188191	0.021278	0.00464957	0.00209656	0.00375001
y	0.294855	0.486376	0.112029	0.0645997	0.0149504	0.00905927	0.000399573	0.0177309
á	0.277089	0.245875	0.221621	0.118436	0.0507731	0.0267729	0.0031643	0.0562681
b	0.769484	0.14852	0.0541559	0.0142533	0.00205181	0.0028428	0.000930193	0.00776154
í	0.990559	0.00360314	0.00273226	0.00152535	0.000300852	0.000166644	0.000781038	0.000331363
s	0.991487	0.00462503	0.00197442	0.00100049	0.000333942	5.36812e-05	0.000120239	0.000405548
í	0.850361	0.0461475	0.032889	0.00470597	0.00177529	0.0019905	0.00344647	0.0586847
á	0.0112614	0.0651844	0.456412	0.335006	0.095278	0.0237586	0.00311897	0.00998036
p	0.000453513	0.00108037	0.0379513	0.28164	0.631868	0.0406407	0.00200213	0.00436352
έ	0.0012212	0.00317362	0.0237544	0.285121	0.602793	0.0739686	0.00541969	0.00454889
ε	0.036287	0.0489773	0.122799	0.207792	0.398441	0.119462	0.014826	0.051416
w	0.00594905	0.000731642	0.247363	0.232247	0.138176	0.310189	0.0381355	0.027209
á	0.0435772	0.0188076	0.294979	0.313433	0.113046	0.155655	0.0217969	0.0387047
o	0.0431909	0.0233915	0.283735	0.106396	0.0891682	0.120033	0.176117	0.157968
k	0.000428892	7.11863e-05	0.00266941	0.00725515	0.0459955	0.118418	0.802311	0.0228505
á	8.99798e-06	8.10411e-06	5.23102e-05	0.00073872	0.00530842	0.0767044	0.902502	0.0146773
n	0.000708488	0.00216757	0.0103794	0.0567778	0.333961	0.173753	0.362179	0.0600749
d	0.00502762	0.00424131	0.0344794	0.0592882	0.221972	0.354719	0.220442	0.0998308
á	0.016083	0.00368825	0.0552883	0.0253312	0.0218898	0.139666	0.537677	0.200376
</S>	0.00248426	0.00317036	0.0315049	0.022557	0.0123492	0.121348	0.218647	0.587939
