 	il	y	a	une	querelle	entre	ces	jeunes	filles	</S>
b	0.145456	0.172766	0.174836	0.284615	0.150065	0.0284582	0.0157395	0.0224827	0.0037598	0.00182106
á	0.0580502	0.0419822	0.0339818	0.181072	0.541176	0.0199879	0.0353738	0.0745544	0.0103404	0.00348177
n	0.0778704	0.068396	0.0466988	0.0864766	0.374211	0.0393523	0.152384	0.114352	0.00223115	0.038028
a	0.103197	0.0630991	0.0460901	0.118834	0.400903	0.012368	0.0582104	0.0782792	0.0180216	0.100997
b	0.0738879	0.127301	0.258711	0.315195	0.115593	0.0345165	0.0262102	0.0254575	0.00684294	0.0162844
á	0.140061	0.0707506	0.0965725	0.090542	0.16848	0.208032	0.106813	0.0531856	0.00326358	0.062301
y	0.0631284	0.0630594	0.20967	0.111486	0.209275	0.144379	0.0554347	0.0382316	0.00954088	0.0957945
ú	0.0643594	0.106429	0.279004	0.0888444	0.0360979	0.19018	0.0867171	0.0535334	0.0143718	0.0804629
r	0.0741065	0.0369147	0.338141	0.137654	0.0165058	0.106866	0.145122	0.0757202	0.00802168	0.0609473
u	0.059987	0.0530926	0.192463	0.280975	0.0450282	0.0766236	0.173869	0.071626	0.0137491	0.0325859
b	0.0281447	0.0290496	0.151804	0.0464828	0.0289922	0.285462	0.289908	0.114577	0.00723741	0.0183416
á	0.105492	0.0301184	0.071602	0.0626978	0.185461	0.202013	0.131585	0.165359	0.0119287	0.0337429
á	0.0363475	0.0256142	0.195703	0.0665227	0.196241	0.128362	0.132027	0.156861	0.011652	0.0506694
d	0.00260719	0.00467533	0.0337104	0.0103848	0.00966008	0.126188	0.301976	0.241338	0.0383215	0.231138
í	0.000479058	0.000895628	0.0126685	0.00298685	0.00121094	0.037182	0.243031	0.0953332	0.0150763	0.591136
l	0.00401056	0.00491654	0.0707488	0.0259006	0.00918611	0.0718341	0.188537	0.17287	0.097918	0.354078
o	0.0051672	0.00453287	0.0149139	0.00390825	0.00303085	0.0683649	0.193333	0.12027	0.0818319	0.504647
t	0.00484283	0.0103272	0.0209435	0.0107525	0.00455231	0.038702	0.0700777	0.110932	0.641929	0.0869412
ω	0.000444995	0.00462585	0.00463343	0.0085744	0.00569214	0.0486429	0.0487063	0.0729003	0.731176	0.0746036
ω	5.62216e-05	0.000974115	0.00129971	0.00968277	0.00503695	0.0459625	0.0506843	0.0687593	0.776989	0.0405551
</S>	0.00303519	0.00443346	0.00987911	0.0091104	0.00111056	0.0282235	0.213996	0.175219	0.144635	0.410357
