 	les	co-épouses	ont	déclenché	une	bagarre	devant	leur	mari	</S>
a	0.626643	0.351615	0.0106084	0.000917779	0.00266517	0.00343899	0.00115338	0.00287191	6.28296e-05	2.32875e-05
m	0.0741038	0.912963	0.00575989	0.00128201	0.000844755	0.000545758	0.00155561	0.000415152	0.00233748	0.00019215
b	0.119493	0.808834	0.0460303	0.00575591	0.00125194	0.00177135	0.00216678	0.000366977	0.0013675	0.0129627
a	0.0125992	0.978455	0.00551719	0.00182633	0.000269359	0.000230058	0.000390642	0.000213686	0.00025279	0.000245883
n	0.0583652	0.929701	0.00545594	0.00521739	0.00020646	0.000140273	0.000237925	2.41706e-05	5.83455e-05	0.000593049
d	0.116772	0.843042	0.0197052	0.00253465	0.00177155	0.00166178	0.0014203	0.000493221	0.000883619	0.0117165
a	0.216648	0.710933	0.0352149	0.0134274	0.00444664	0.00558248	0.00367373	0.000731143	0.000709824	0.00863262
á	0.160839	0.0348447	0.668894	0.0804577	0.0134556	0.00208473	0.00381049	0.0159209	0.00117938	0.0185142
b	0.0555618	0.0129877	0.253812	0.552202	0.0796681	0.00795032	0.00578587	0.00617833	0.00414722	0.0217068
v	0.00671289	0.00838638	0.0464871	0.82536	0.0680961	0.0174884	0.00899053	0.00440459	0.005339	0.00873506
u	0.00686274	0.00276928	0.0459433	0.888344	0.0399569	0.0059739	0.00283712	0.00371814	0.000562903	0.00303187
m	0.179978	0.0370348	0.0420793	0.159316	0.272042	0.108098	0.038825	0.0119993	0.00406401	0.146564
b	0.0416395	0.0169617	0.0686343	0.019044	0.506362	0.263326	0.0362556	0.0322164	0.000261104	0.0152992
u	0.035643	0.0161711	0.0395926	0.0138643	0.274644	0.537198	0.0232659	0.053467	0.000317068	0.00583711
s	0.0109004	0.00313864	0.0429463	0.012883	0.706159	0.136095	0.0362324	0.02015	0.00284618	0.0286482
u	0.0716203	0.00671399	0.0167713	0.00429848	0.66082	0.123866	0.0811587	0.0106018	0.00910911	0.01504
e	0.0319797	0.00278275	0.0923727	0.00358962	0.559361	0.171055	0.0681521	0.0366993	0.00988041	0.0241275
t	0.00409826	0.00250991	0.0060792	0.0055401	0.259504	0.554095	0.115294	0.00296279	0.0106458	0.039271
u	0.000355818	0.000509834	0.00138728	0.00203164	0.117981	0.716418	0.143768	0.00263553	0.00562212	0.0092916
m	0.00941416	0.001908	0.00106874	0.000995203	0.259005	0.390158	0.234952	0.00480653	0.00844402	0.089248
b	0.0115667	0.00249872	0.00457589	0.00184074	0.231196	0.40844	0.241795	0.0651608	0.00459511	0.0283302
a	0.0495154	0.0105667	0.00391374	0.00168909	0.115932	0.672881	0.122049	0.00722282	0.000650975	0.0155793
ó	0.00212546	0.000423432	0.0047797	0.00173578	0.042699	0.0477663	0.438697	0.36383	0.00477606	0.0931678
m	0.00232827	0.000679662	0.00799004	0.00126161	0.0183365	0.0173039	0.385166	0.21921	0.266993	0.0807305
í	0.00460003	0.00482076	0.00295318	0.000150563	0.00837113	0.00645268	0.176875	0.0805803	0.625423	0.0897735
s	0.00260182	0.00176733	0.00167791	0.00109012	0.00769533	0.00690924	0.214259	0.053201	0.581001	0.129797
i	0.00045092	0.000218424	0.000625032	0.00103281	0.00236999	0.000681854	0.0852157	0.0162233	0.779279	0.113903
m	0.000234204	6.05687e-05	8.38866e-05	4.91984e-05	0.00192983	0.00141506	0.135186	0.0173159	0.688749	0.154976
ó	0.00264387	0.00110496	0.000296735	7.70532e-05	0.00383719	0.00316508	0.141539	0.108158	0.622025	0.117153
l	0.0031253	0.000513286	0.000870734	0.000243854	0.00384837	0.0040496	0.0681104	0.2644	0.107332	0.547507
ó	0.00512473	0.000815186	0.00433425	0.00477289	0.0175136	0.00602294	0.0706315	0.132721	0.168776	0.589288
m	0.00261243	0.000511874	0.00241006	0.000126764	0.0018554	0.000761255	0.0606767	0.137184	0.645729	0.148133
i	0.000724252	0.00157512	0.00102271	0.000123373	0.0120845	0.00269684	0.0639364	0.129911	0.58199	0.205936
</S>	0.000212975	0.000466569	0.000397375	0.000148286	0.00327795	0.00108702	0.0300441	0.0421991	0.105546	0.816621
