 	j'	aime	travailler	avec	toi	parce	que	tu	es	persévérant	</S>
n	0.727775	0.117968	0.0228039	0.0985981	0.0151315	0.00775679	0.004011	0.00206179	0.00346149	0.000391581	4.06689e-05
g	0.755924	0.0487689	0.183607	0.00326111	0.00150766	0.00132802	0.000953194	0.00360479	0.000787417	0.000187188	7.07808e-05
á	0.850285	0.0466741	0.0712168	0.00643485	0.0033465	0.00144366	0.00114448	0.0171735	0.00198812	0.000240473	5.20453e-05
i	0.0490536	0.253326	0.115842	0.157352	0.0654408	0.0534411	0.0557332	0.0351319	0.0596363	0.0657665	0.0892766
d	0.00959597	0.706281	0.0350775	0.0354255	0.0225159	0.0070436	0.02219	0.0701002	0.0132032	0.0289333	0.0496335
i	0.0722742	0.744689	0.122526	0.0151827	0.00878918	0.00281117	0.00524805	0.0068721	0.000917419	0.00842801	0.0122619
l	0.0605197	0.765637	0.101743	0.00713869	0.00324156	0.00284746	0.00542687	0.00360036	0.00299588	0.00628471	0.0405641
a	0.11531	0.4016	0.188797	0.0434159	0.0351527	0.0347289	0.0345233	0.033326	0.00751184	0.00828421	0.0973503
p	0.0623051	0.516974	0.181558	0.047088	0.0304697	0.033581	0.0265801	0.0237227	0.0090853	0.00722713	0.0614087
ó	0.00486083	0.720323	0.0330731	0.0958959	0.0353557	0.0160265	0.0119009	0.0202138	0.00336974	0.042239	0.0167412
s	0.00334798	0.70701	0.0514801	0.104616	0.0358218	0.0280351	0.0205466	0.0176991	0.00608452	0.00468915	0.0206701
á	0.00216147	0.794263	0.0312818	0.0598113	0.0209901	0.00659822	0.00767126	0.00735371	0.00684113	0.00884612	0.0541814
o	0.0444101	0.0606372	0.337343	0.30705	0.113012	0.0325001	0.0291016	0.00988665	0.0167879	0.00818912	0.0410828
s	0.00315439	0.120581	0.597702	0.189718	0.0502873	0.004168	0.00503152	0.0106342	0.00196747	0.0065036	0.0102529
á	0.00424842	0.0776253	0.882087	0.0175627	0.00446476	0.000498328	0.000638577	0.00168422	0.000653222	0.00253075	0.00800676
l	0.00942678	0.0156247	0.502053	0.0649335	0.0762182	0.0200926	0.0158082	0.016623	0.0100081	0.010783	0.258429
á	0.0189253	0.0203445	0.287917	0.115208	0.0691261	0.147241	0.0906894	0.0982486	0.0364688	0.00588434	0.109947
l	0.0117007	0.005258	0.0425532	0.17288	0.256512	0.280742	0.114431	0.0441138	0.0397519	0.0110192	0.0210388
a	0.0292975	0.0114318	0.114789	0.0974418	0.187269	0.106406	0.0765637	0.132381	0.0289599	0.0247046	0.190756
n	0.00564088	0.00502576	0.0361249	0.172417	0.293289	0.325148	0.0646169	0.0178615	0.0206617	0.040909	0.0183057
ω	0.134552	0.00282637	0.101968	0.0812692	0.142696	0.131131	0.0632388	0.229025	0.0405938	0.0228924	0.0498064
t	0.00296395	0.00244123	0.157898	0.142015	0.257962	0.155832	0.0605574	0.144643	0.0414475	0.00611439	0.0281249
s	0.00244628	0.00622439	0.0150028	0.238789	0.258115	0.246975	0.0839217	0.0155653	0.0300913	0.0531738	0.049696
í	0.000185069	0.0184124	0.013424	0.153156	0.184458	0.327525	0.104193	0.0255759	0.0145107	0.121331	0.0372285
n	0.0233185	0.0102236	0.0900367	0.0884163	0.115258	0.409817	0.109186	0.10083	0.00469074	0.0107486	0.0374741
a	0.254055	0.00660268	0.069339	0.0308424	0.0740571	0.227546	0.0621336	0.120964	0.00661996	0.0334186	0.11442
n	0.000649983	0.000962985	0.0107184	0.0141219	0.0785822	0.342521	0.345924	0.114193	0.0380139	0.0148218	0.039491
ω	0.0752529	0.00189025	0.0425666	0.025544	0.0990394	0.0898852	0.0920915	0.295882	0.0449353	0.0119478	0.220965
o	0.000377261	0.00101007	0.0275316	0.0193523	0.0576746	0.138902	0.245725	0.254272	0.0989837	0.0159044	0.140267
d	0.000141322	0.0745827	0.0890987	0.0349643	0.0182402	0.0113274	0.0509272	0.204016	0.178544	0.250494	0.0876648
í	0.000208765	0.0180752	0.0467521	0.00931262	0.00867509	0.0245392	0.116442	0.0796184	0.0807524	0.0624307	0.553194
l	0.000205081	0.00251565	0.0279158	0.00847923	0.0170582	0.020006	0.0706843	0.088559	0.287812	0.0725519	0.404213
a	0.00137889	0.00168129	0.00965758	0.00442617	0.0080775	0.0232209	0.0680196	0.293453	0.155929	0.129085	0.305071
m	0.000602584	0.00128753	0.00429244	0.00469803	0.00639092	0.0240861	0.0394603	0.105701	0.26029	0.334651	0.218539
w	0.000150721	0.000420332	0.00263541	0.00460619	0.00212121	0.00266539	0.00264614	0.00349796	0.0340453	0.915445	0.0317659
έ	7.70565e-05	2.35766e-05	0.000132164	0.000237048	0.000337173	0.000386438	0.000482472	0.000744055	0.00168607	0.987805	0.00808937
έ	2.18312e-06	4.62659e-05	0.000170198	0.00070116	0.000533318	0.000857207	0.00184061	0.00150601	0.0058015	0.93714	0.0514013
n	0.0011986	0.000469447	0.00164348	0.00317385	0.00763038	0.00906602	0.041873	0.119622	0.240658	0.196927	0.377738
έ	0.00808075	0.00155311	0.00943214	0.00778056	0.0164066	0.0210436	0.0499433	0.242226	0.289675	0.175686	0.178173
</S>	0.00032842	0.000200758	0.00144381	0.0017092	0.0042726	0.0152625	0.0368617	0.0811634	0.177225	0.0467228	0.63481
