 	qui	a	été	votre	intérrogateur	à	ce	sujet	</S>
o	0.434053	0.374347	0.108993	0.0528233	0.0139205	0.0083039	0.00310932	0.00379324	0.000656413
d	0.0172866	0.0987896	0.0438738	0.0204198	0.727052	0.0551146	0.0149676	0.00516612	0.01733
u	0.00961547	0.0415672	0.00937153	0.00737711	0.746349	0.110643	0.00959415	0.0033724	0.0621106
u	0.0390211	0.176281	0.138732	0.0309058	0.478408	0.0601341	0.0363791	0.00245898	0.0376795
b	0.102247	0.0617739	0.125111	0.262085	0.294084	0.0321724	0.0229602	0.00920029	0.0903665
í	0.117769	0.0834428	0.216513	0.336139	0.0550923	0.0215917	0.0483608	0.0451106	0.0759805
n	0.0420378	0.0333659	0.120303	0.48098	0.0458215	0.0391899	0.0337196	0.0643971	0.140186
i	0.0831684	0.031512	0.128569	0.436776	0.0533027	0.0249183	0.0481468	0.00577226	0.187835
i	0.0359239	0.0206686	0.149015	0.396311	0.102253	0.0846131	0.134469	0.00411661	0.0726297
b	0.00772737	0.0131644	0.0325234	0.0806376	0.245154	0.174087	0.159662	0.107884	0.17916
h	0.010388	0.0132759	0.0298545	0.210089	0.0444078	0.255861	0.0601142	0.290982	0.0850281
ώ	0.00622414	0.00623556	0.0132231	0.130079	0.0524665	0.392518	0.0660053	0.190227	0.143022
ω	0.00997683	0.00844871	0.0420514	0.174889	0.0778133	0.215821	0.270101	0.0964402	0.104459
d	0.0042981	0.00479372	0.00895332	0.0385841	0.0575193	0.261157	0.344511	0.136569	0.143614
í	0.00197099	0.00102498	0.00206908	0.00662809	0.0206795	0.185893	0.265555	0.0211256	0.495054
i	0.00476896	0.000941651	0.00415543	0.0539486	0.0233403	0.161585	0.306127	0.0957556	0.349377
á	0.00262477	0.00307655	0.00540174	0.0134623	0.0191623	0.0702236	0.235173	0.152476	0.4984
d	0.00863686	0.00705284	0.012089	0.0483262	0.0277343	0.112333	0.299358	0.141893	0.342577
z	0.00164967	0.00136095	0.00319302	0.00865975	0.00547422	0.0458266	0.126192	0.0216795	0.785964
e	0.00403634	0.000975599	0.00264763	0.00444483	0.111097	0.126264	0.523999	0.0228721	0.203664
n	0.002916	0.000624785	0.00196647	0.0252974	0.0142306	0.114598	0.272064	0.108091	0.460212
d	0.000790813	0.000864821	0.00126341	0.00794929	0.00574696	0.052009	0.274327	0.103427	0.553622
a	0.00286979	0.000770515	0.00194845	0.00777002	0.0042811	0.0141416	0.176056	0.0252234	0.766939
</S>	0.000250319	0.000333577	0.0010925	0.00338239	0.00236895	0.0266911	0.196718	0.0204097	0.748754
