 	on	a	hué	sur	lui	parce	qu'	il	a	volé	de	la	nourriture	</S>
á	0.87845	0.0576962	0.0205162	0.0115795	0.00596793	0.00538118	0.0117022	0.00494611	0.000823484	0.000158899	0.0012704	0.000950685	0.000382868	0.000174223
y	0.0276285	0.114046	0.762417	0.0295542	0.00687056	0.0049824	0.00196871	0.00132275	0.00290333	0.0377339	0.00404235	0.00261215	0.00172158	0.00219669
w	0.00465666	0.0827794	0.783042	0.0358347	0.00317787	0.00406654	0.000628511	0.000415361	0.00190561	0.0550243	0.00200446	0.00249263	0.000294193	0.0236777
o	0.0376772	0.155441	0.6072	0.0891552	0.0158133	0.020356	0.0044256	0.00265514	0.00367696	0.0439943	0.00602734	0.00230623	0.0002169	0.0110549
o	0.0116155	0.150277	0.617872	0.120708	0.0149181	0.0086411	0.00360859	0.00249645	0.00457436	0.00387068	0.00882381	0.00963292	0.00291522	0.0400463
m	0.019257	0.119129	0.3284	0.342012	0.0603032	0.0255296	0.0207058	0.0164496	0.0209705	0.00268149	0.00718217	0.00369848	0.00254328	0.031138
i	0.00244401	0.0203078	0.0754627	0.291223	0.230329	0.130641	0.122372	0.0813599	0.0234374	9.11481e-05	0.00360342	0.00213571	0.000885631	0.0157075
w	0.00587441	0.0248257	0.0576248	0.326937	0.185175	0.158557	0.0776512	0.0608786	0.0421236	0.010285	0.00666246	0.00588225	0.00852976	0.0289931
a	0.0202437	0.0184472	0.109189	0.156856	0.243171	0.232417	0.114013	0.0623462	0.0127864	0.000491754	0.00885944	0.00590619	0.00651756	0.00875511
t	0.00248711	0.00581929	0.0104626	0.132835	0.254607	0.268667	0.130943	0.0791114	0.0442222	0.0108783	0.0095302	0.00720613	0.00713552	0.0360952
s	0.0367587	0.019229	0.0739759	0.078354	0.222313	0.362653	0.100199	0.046508	0.0076894	0.00329531	0.00651101	0.00223637	0.0284632	0.0118146
í	0.00237021	0.00328806	0.075889	0.0500248	0.130463	0.439	0.106302	0.0456923	0.0114093	0.0491746	0.0171194	0.00423902	0.0272068	0.0378221
n	0.00566622	0.00611055	0.0457149	0.0375344	0.149879	0.385332	0.112521	0.0374082	0.0134587	0.0407693	0.00544656	0.0048722	0.0230539	0.132233
a	0.0092554	0.00589088	0.0199947	0.0127288	0.150929	0.203218	0.16049	0.0701428	0.018304	0.0234894	0.0114873	0.0160426	0.0115003	0.286526
á	0.00264877	0.00777865	0.00104534	0.0078563	0.0524141	0.0868857	0.149322	0.19305	0.33692	0.0809249	0.0320121	0.0243688	0.00350903	0.0212642
y	0.000320582	0.00429396	0.0033283	0.00207174	0.000999178	0.0020208	0.0010962	0.00258545	0.0231377	0.93193	0.012966	0.00866786	0.00154453	0.00503723
í	0.000190797	0.00243998	0.000508561	0.00044675	0.00124065	0.00372845	0.00122968	0.00128945	0.0198363	0.918114	0.0171567	0.0129442	0.000363094	0.0205113
b	4.24323e-05	0.000549241	9.904e-05	0.000306695	0.000612686	0.00170749	0.00122709	0.00127373	0.00600041	0.97236	0.0051942	0.00207031	7.04248e-05	0.00848679
h	0.00157815	0.00351946	0.00185963	0.004121	0.034175	0.0812948	0.0467717	0.0534516	0.0807502	0.55729	0.0664692	0.0359285	0.00326905	0.029522
i	0.000877484	0.00242735	0.00470815	0.00980844	0.0301772	0.0699993	0.0450537	0.0251884	0.0339964	0.42891	0.11834	0.070837	0.0407074	0.118969
b	0.00243994	0.00201858	0.000537773	0.00385498	0.0471979	0.0550034	0.139612	0.191463	0.121326	0.021656	0.0751172	0.103563	0.110047	0.126163
e	0.024465	0.00291274	0.00114348	0.00569311	0.0330518	0.061884	0.0335938	0.0189813	0.0249354	0.00378037	0.0212836	0.0250129	0.733329	0.00993365
a	0.00070235	0.000824299	0.00191681	0.002591	0.00502353	0.0165119	0.00831809	0.0126508	0.0208829	0.0211797	0.133207	0.103879	0.53807	0.134243
</S>	0.00154044	0.00444806	0.00097607	0.00275957	0.00451926	0.00615967	0.00440172	0.00832956	0.0269654	0.0366725	0.158882	0.207249	0.187541	0.349556
