 	cet	enfant	a	l'	habitude	de	tout	mettre	en	doute	</S>
m	0.800329	0.136282	0.0064434	0.00281609	0.00163616	0.0113301	0.0072265	0.0193095	0.00953978	0.00285481	0.00223217
w	0.138551	0.857842	0.0014009	0.000612363	0.000250194	6.89839e-05	2.09808e-05	7.24869e-05	0.00015512	0.000914021	0.00011183
á	0.0239082	0.975005	0.000301525	0.000256627	0.000115379	4.9519e-05	1.94858e-05	6.52877e-05	2.83859e-05	0.000201402	4.8697e-05
n	0.167803	0.825787	0.000247843	0.00030288	0.000195641	0.000384362	0.000167656	0.000822984	0.000132261	0.00154911	0.00260718
a	0.116593	0.338663	0.0864943	0.039327	0.0279416	0.0248059	0.0229851	0.0141577	0.011798	0.00728879	0.309946
w	0.838123	0.0695635	0.0388844	0.0188928	0.00427624	0.0054673	0.00548308	0.0047043	0.00726568	0.00403503	0.00330484
ó	0.124147	0.0153018	0.127305	0.111915	0.0994707	0.108681	0.122006	0.0444053	0.108994	0.0143844	0.12339
a	0.0471016	0.00911639	0.412476	0.188005	0.0808519	0.0685314	0.058405	0.0191858	0.042635	0.00289314	0.0707993
d	0.00648907	0.00318985	0.369821	0.301511	0.0817646	0.0212165	0.0382048	0.072354	0.0494991	0.00264963	0.0533004
í	0.0089355	0.00498572	0.241642	0.450048	0.191181	0.0159504	0.0138252	0.0155235	0.00933922	0.00134365	0.0472252
l	0.00460253	0.00323782	0.12736	0.250285	0.190553	0.114562	0.0902038	0.0465627	0.0474108	0.00314511	0.122078
i	0.000912365	0.00086951	0.0791944	0.244189	0.246777	0.127179	0.0804974	0.0385326	0.0453031	0.00243533	0.134109
k	0.00167736	0.00194967	0.0267989	0.0989022	0.201919	0.229642	0.132213	0.0567037	0.0642731	0.0605118	0.125409
ú	0.000775234	0.000994408	0.032354	0.110614	0.182357	0.20212	0.116595	0.190811	0.0295669	0.0526645	0.0811474
n	0.000814757	0.00024259	0.00708024	0.055841	0.157174	0.269067	0.135216	0.171907	0.0528222	0.0839944	0.0658415
y	0.00342276	0.000447211	0.0118563	0.0889393	0.162924	0.230983	0.0879856	0.144832	0.0662827	0.120009	0.0823188
u	0.00142288	0.00016231	0.00855013	0.0373268	0.155705	0.218434	0.069472	0.1155	0.0374226	0.175756	0.180248
</S>	0.000970886	7.15261e-05	0.0147989	0.0278981	0.063915	0.192205	0.292612	0.151919	0.202805	0.0103156	0.0424891
