 	le	père	de	ngala	a	aménagé	une	place	dans	sa	maison	pour	offrir	des	sacrifices	aux	esprits	des	morts	</S>
t	0.554741	0.376153	0.0387357	0.0078684	0.0101113	8.3578e-05	0.00101556	0.000387929	0.00226707	0.0030399	0.00163027	0.00182257	0.000482621	0.000643402	0.000260513	0.000636269	2.84503e-05	7.81523e-05	2.60577e-06	1.16765e-05
á	0.0262901	0.962038	0.00562629	0.00100295	0.00197356	0.000293294	0.000630052	0.000229448	0.000852783	0.000330467	4.11361e-05	0.000194766	0.000138512	3.04606e-05	0.000178161	1.56758e-05	1.31852e-05	5.18087e-05	9.56587e-06	6.0117e-05
á	0.00965397	0.896016	0.0200218	0.00627529	0.00621348	0.00179762	0.00331538	0.00343669	0.0028409	0.00378513	0.000766749	0.00480555	0.00131386	0.00173888	0.0255391	0.0018211	0.000227501	0.000380237	0.000694987	0.00935592
y	0.0853285	0.196145	0.326745	0.113251	0.0779685	0.00646195	0.0146674	0.0118928	0.0142679	0.00777657	0.00449357	0.00743893	0.00207824	0.0293285	0.0302483	0.0135456	0.00330422	0.00640265	0.0130185	0.0356367
a	0.11272	0.159822	0.289474	0.348942	0.00561973	0.0021358	0.00241077	0.0122874	0.00168681	0.00784848	0.0169644	0.00297197	0.00162359	0.00436573	0.00410936	0.0103821	0.0104232	0.00181082	6.64095e-05	0.00433535
n	0.163813	0.0278629	0.675837	0.0639467	0.00821879	0.000994339	0.00124338	0.00323048	0.000931197	0.0111743	0.00746593	0.00494039	0.000964866	0.00435766	0.00618398	0.00662644	0.00311566	0.0013718	0.000229881	0.00749105
g	0.0950098	0.0230309	0.216313	0.643674	0.00237068	0.00117259	0.000373515	0.00203252	0.000283321	0.00140134	0.00865785	0.000239568	0.000127693	6.83392e-05	0.00177644	0.00035637	0.00268246	6.16757e-05	6.58173e-06	0.000361475
a	0.0188743	0.0431671	0.197915	0.671788	0.0115662	0.014163	0.00106903	0.00447813	0.000581015	0.00191088	0.00597773	0.00232738	0.00778269	0.00114995	0.0106717	0.000667724	0.00290675	0.00018239	0.000247797	0.00257361
l	0.02903	0.0524924	0.378354	0.10944	0.293183	0.0167022	0.0300777	0.0057421	0.00439784	0.00275792	0.00460081	0.011115	0.0274371	0.0113677	0.00999477	0.00213912	0.000306827	0.00267535	0.00131693	0.00686804
a	0.0519768	0.0233091	0.358829	0.285875	0.157737	0.0128884	0.0141481	0.00328789	0.00524254	0.00706833	0.00663011	0.0109108	0.00386595	0.0117619	0.0154665	0.00766241	0.000459604	0.00494948	0.000554304	0.0173773
á	0.113689	0.0352028	0.363522	0.0650421	0.281632	0.0167605	0.0377589	0.00770765	0.00708462	0.00176766	0.00148266	0.00455754	0.0233648	0.0144331	0.00857756	0.00216729	0.000176998	0.00224998	0.00145901	0.0113632
m	0.0033824	0.00168606	0.0267299	0.0929924	0.137204	0.506617	0.0856554	0.0270666	0.0066893	0.000914649	0.00052211	0.000549481	0.00420912	0.000706782	0.00644864	0.000912918	0.00184862	0.0192893	0.0556864	0.0208898
i	0.0013239	0.000358487	0.0210069	0.01811	0.290381	0.483735	0.100367	0.0146531	0.0112104	0.00529743	7.07452e-05	0.00210168	0.0341356	0.00249206	0.00486729	0.00117172	0.000153089	0.00401334	0.000323912	0.00422832
l	0.000684483	1.23359e-05	0.0013935	0.0244269	0.0199948	0.855981	0.0443003	0.0216019	0.00266726	0.000701282	0.000224961	0.000139668	0.00540367	0.000287502	0.000868175	0.000359426	0.00040941	0.00227455	0.0132123	0.0050565
o	0.000280123	1.22931e-05	0.00130966	0.0110895	0.005489	0.890489	0.0353255	0.025475	0.00321993	0.000698605	5.83771e-05	7.94038e-05	0.00864803	0.000111737	0.00139365	0.000284223	0.000345557	0.000490064	0.00617513	0.00902504
n	9.35924e-05	4.32426e-05	0.000437978	0.00192414	0.00333389	0.874465	0.0492309	0.0140398	0.00506794	0.000265529	3.6557e-05	4.38549e-05	0.0202006	0.000394374	0.000149611	0.000180626	0.000323855	0.000306844	0.00888796	0.0205738
d	0.00189465	0.00020715	0.00152149	0.0013689	0.0261758	0.66883	0.161894	0.0195731	0.0341844	0.00562022	0.00475269	0.0027559	0.0380338	0.00658007	0.00203053	0.000840198	0.000946751	0.00289009	0.00159912	0.0183008
á	0.00284199	0.000753024	0.00182408	0.00276893	0.0166076	0.487893	0.0564658	0.0165188	0.0193225	0.00637042	0.00356851	0.00430243	0.353631	0.00926703	0.005514	0.000700637	0.000566078	0.000595406	0.000595714	0.00989279
b	0.00233064	3.51683e-05	0.007782	0.000214451	0.0244305	0.00796128	0.19447	0.200139	0.132771	0.0456485	0.135539	0.0453158	0.0167419	0.131222	0.0159284	0.0238769	0.00405058	0.00625241	0.00310231	0.00218844
ω	0.00429693	0.000401077	0.0067846	7.54034e-05	0.00917592	0.0653962	0.0694262	0.0223163	0.10533	0.0216356	0.0011934	0.0263625	0.631872	0.00630725	0.0122897	0.000715406	0.000147406	0.00447271	0.00661111	0.00518966
ω	3.68349e-05	2.49863e-05	0.00073433	7.10162e-05	0.00364789	0.0395	0.0227221	0.00453037	0.0208902	0.0012099	0.000623193	0.00790672	0.855183	0.0193972	0.00514898	0.000192594	0.000104974	0.00105924	0.013273	0.00374328
s	0.00129615	1.75275e-05	0.00248054	3.32103e-05	0.00938205	0.00234529	0.155735	0.109732	0.319992	0.0540161	0.0123062	0.0294136	0.0196573	0.0850345	0.0238794	0.0272569	0.0137536	0.109535	0.00729753	0.0168372
á	0.00564712	4.30806e-05	0.00518862	0.000211183	0.00383205	0.00920277	0.0662968	0.251881	0.181167	0.164284	0.0243978	0.0339312	0.0233528	0.0225276	0.0241927	0.0409508	0.0120316	0.0507716	0.00666214	0.0734283
n	0.00616038	6.18721e-05	0.0263358	0.00034176	0.00236307	0.000456467	0.00969152	0.174907	0.0931796	0.113036	0.146735	0.062448	0.00961184	0.0832997	0.0805523	0.112937	0.0210268	0.0275955	0.0195591	0.00970142
d	0.00200377	3.28664e-05	0.00577642	0.00146138	0.000274466	0.000367179	0.00175267	0.0951497	0.0104586	0.0836699	0.634733	0.0162904	0.0103751	0.00422082	0.0770446	0.0185259	0.0332549	0.00152885	0.000458166	0.00262171
é	0.000559699	0.000349137	0.00186106	0.0018423	0.000183386	0.000595782	0.00058511	0.0442516	0.00455565	0.0225437	0.807015	0.00791346	0.012304	0.00570305	0.021694	0.00362502	0.056566	0.00161886	0.00125682	0.00497618
e	3.4102e-05	7.87376e-05	0.00047259	0.00172975	0.000473233	0.00177284	0.00668494	0.222438	0.0467343	0.0955525	0.134396	0.0195826	0.0664749	0.0262154	0.0256695	0.0196539	0.256139	0.00448833	0.00194398	0.0694662
</S>	0.000327404	2.5197e-05	0.000954874	4.03359e-05	0.00425923	0.00046835	0.015343	0.0123612	0.0723108	0.153718	0.0255808	0.0765928	0.00716149	0.174336	0.092742	0.107095	0.0164598	0.117979	0.00613159	0.116113
