 	j'	ai	eu	une	machette	toute	neuve	</S>
n	0.720729	0.0394281	0.0420715	0.143793	0.0329377	0.0128615	0.0050217	0.0031566
g	0.984132	0.0131206	0.00100988	0.000921892	0.000226803	0.000182545	0.000270928	0.000135843
á	0.896487	0.0631815	0.0225579	0.00744289	0.00442005	0.00143845	0.0040333	0.000439512
í	0.0906769	0.240984	0.192921	0.0842402	0.0732384	0.030913	0.0765442	0.210483
m	0.0277209	0.271443	0.57665	0.0629802	0.0327309	0.00736778	0.00323812	0.0178688
i	0.000750196	0.22236	0.462032	0.202347	0.023965	0.0173548	0.00838237	0.0628082
d	0.000774841	0.0889058	0.568694	0.159149	0.153245	0.00735468	0.00478154	0.0170949
i	0.00328793	0.133352	0.478694	0.119604	0.222284	0.00921137	0.00935578	0.0242113
á	0.00320058	0.0581487	0.271067	0.300624	0.13223	0.0750358	0.0549794	0.104715
o	0.00519318	0.0959508	0.119644	0.309095	0.122004	0.273415	0.0548742	0.0198235
k	0.000132703	0.00344634	0.0126155	0.0351863	0.759831	0.0347219	0.140323	0.0137436
w	5.97764e-06	0.000483055	0.00614266	0.0311364	0.818217	0.0168507	0.104594	0.0225698
á	4.28883e-05	0.0037789	0.0360946	0.086816	0.293595	0.0386847	0.133516	0.407471
í	0.00155485	0.015166	0.014121	0.0618885	0.0583146	0.318198	0.260586	0.270171
m	0.0030006	0.0160066	0.0229092	0.0345365	0.0110741	0.506937	0.187487	0.21805
á	0.00261923	0.0124765	0.0108912	0.0173225	0.0211902	0.0861897	0.356454	0.492856
p	0.00650688	0.0231808	0.0128357	0.040019	0.00853645	0.176132	0.579708	0.153081
f	0.000637648	0.000784022	0.00384574	0.0231746	0.032677	0.0430084	0.79839	0.0974827
ú	0.000103202	0.000453127	0.0043957	0.0154741	0.0152926	0.0490964	0.761797	0.153388
ú	0.000209811	0.0002072	0.000401214	0.00480301	0.00454643	0.0260522	0.877835	0.0859454
</S>	8.5331e-05	0.000852125	0.00462779	0.0185031	0.00643137	0.140379	0.412607	0.416514
