 	il	s'	est	brisé	la	jambe	</S>
w	0.869978	0.112797	0.00875701	0.000571766	0.00769134	3.80086e-05	0.000166995
a	0.866487	0.116564	0.00544046	0.00050691	0.0109692	8.3776e-06	2.41181e-05
á	0.0496559	0.531752	0.373813	0.0267303	0.0131666	0.000119444	0.0047622
m	0.00513133	0.131367	0.624823	0.21496	0.0169683	0.00182655	0.00492321
i	0.015373	0.175336	0.469723	0.271225	0.048315	0.000157656	0.0198702
b	0.00113353	0.0112777	0.0834854	0.890358	0.00788143	0.00180083	0.00406336
v	0.00271472	0.0291646	0.175166	0.769973	0.0161677	0.000325793	0.00648767
ú	0.000313415	0.0333891	0.173888	0.784233	0.00760677	1.67583e-05	0.000552293
n	0.0259881	0.139441	0.20939	0.477451	0.0464039	0.00722332	0.0941023
y	0.00751495	0.0189507	0.13252	0.563795	0.134606	0.0030872	0.139525
á	0.0160617	0.0157961	0.173764	0.218514	0.454188	0.00318253	0.118494
e	0.00904716	0.0154067	0.0226687	0.103758	0.826135	0.0193603	0.00362366
k	0.00227071	0.002715	0.00250919	0.392723	0.390951	0.181584	0.027247
o	0.00111606	0.00187554	0.0027463	0.0456337	0.124784	0.773844	0.0499996
o	3.6047e-05	0.000282696	0.000455093	0.0266502	0.0067316	0.950773	0.015071
</S>	0.000428801	0.00244199	0.00482658	0.0078733	0.123076	0.0464973	0.814856
