 	c'	est	un	parent	par	alliance	</S>
a	0.346742	0.203688	0.315356	0.116866	0.0152352	0.0013786	0.000733595
d	0.0934558	0.37737	0.323296	0.072201	0.0868733	0.0327824	0.0140209
i	0.128448	0.31399	0.120672	0.0226879	0.0803716	0.0637219	0.270109
b	0.0065898	0.0297705	0.160298	0.0559871	0.0830278	0.035335	0.628991
v	0.0089733	0.0248477	0.0483168	0.0229694	0.0460179	0.337744	0.511131
ú	0.0140097	0.0346328	0.294228	0.0371318	0.0333427	0.311264	0.275391
ε	0.00963136	0.0354962	0.0955753	0.0322412	0.0874988	0.667174	0.0723829
</S>	0.0244806	0.0199519	0.130955	0.0240577	0.208221	0.0535912	0.538742
