 	l'	un	de	nos	parents	maternels	est	décédé	à	brazaville	</S>
e	0.653854	0.2695	0.0282099	0.0174115	0.0171426	0.0113748	0.000712703	2.877e-05	0.00112521	0.000558133	8.24172e-05
b	0.143372	0.782947	0.0202158	0.0296087	0.00445608	0.00656004	0.00133709	0.00686956	0.00242699	0.000570298	0.00163677
ó	0.0687841	0.741259	0.0447106	0.0422676	0.0254021	0.0636506	0.00314878	0.00435164	0.00341364	0.000405753	0.00260634
r	0.052028	0.72551	0.0958561	0.0310978	0.0219948	0.0206416	0.00442651	0.00759187	0.00339633	0.00102251	0.0364347
o	0.303668	0.337818	0.122819	0.0182705	0.0343796	0.0425005	0.00349311	0.0225425	0.0276179	0.0156534	0.0712373
y	0.38173	0.121529	0.321122	0.043812	0.0303327	0.0389766	0.0333573	0.00539671	0.00593017	0.00128754	0.0165261
a	0.423484	0.153219	0.213941	0.0559235	0.0343874	0.024202	0.0203775	0.00577344	0.0157295	0.010808	0.042155
b	0.256747	0.0339747	0.241276	0.219714	0.184854	0.0133933	0.00676633	0.00108433	0.010374	0.0181505	0.0136649
í	0.0631315	0.0421466	0.0712035	0.555538	0.179157	0.0816972	0.00282717	0.000817569	0.000976923	0.000302075	0.00220254
s	0.096672	0.0299823	0.134982	0.594166	0.0745718	0.0214835	0.00764357	0.00356958	0.00816552	0.00131036	0.0274534
í	0.0180017	0.0201997	0.127586	0.587447	0.0881665	0.0190719	0.00649259	0.00219614	0.0142786	0.001859	0.114701
y	0.00861557	0.0092001	0.320894	0.346079	0.144657	0.0387429	0.0914672	0.0129933	0.0126317	0.00196293	0.0127559
í	0.032616	0.0314959	0.30399	0.113156	0.160644	0.186596	0.0543556	0.0129105	0.0138912	0.024116	0.0662296
n	0.0122505	0.00567478	0.182456	0.17695	0.302198	0.130577	0.115146	0.00694638	0.0110316	0.0112771	0.0454926
g	0.0107195	0.0195423	0.113104	0.181261	0.428846	0.0474737	0.0108581	0.00386966	0.0153098	0.0658606	0.103155
ó	0.00255195	0.00712907	0.0729509	0.07702	0.37274	0.0769786	0.0136181	0.00567627	0.0112995	0.30769	0.0523451
o	0.00998902	0.0145356	0.182601	0.0883551	0.284862	0.136822	0.0496459	0.00907412	0.0311701	0.142488	0.0504575
é	0.00592991	0.00436989	0.0365292	0.0711618	0.108385	0.146483	0.553974	0.0199244	0.0224482	0.0142474	0.0165467
m	0.0108922	0.00623863	0.0303152	0.0453109	0.0259914	0.0210374	0.559143	0.228065	0.0454186	0.00431141	0.023276
i	0.00355047	0.00245189	0.00757165	0.00938194	0.0159172	0.0203051	0.137532	0.359785	0.347021	0.00457135	0.0919136
w	0.000596202	0.00106558	0.00143982	0.00149923	0.0110237	0.0161364	0.0403087	0.844904	0.0597922	0.00168617	0.0215476
á	0.000166796	0.000859414	0.00251621	0.00647027	0.00437721	0.00505584	0.0236012	0.881874	0.054636	0.00813454	0.0123081
á	0.000596172	0.000487172	0.00498331	0.00895145	0.00716863	0.00233566	0.0824985	0.378276	0.269301	0.0834505	0.161952
ó	0.0023196	0.0018164	0.013269	0.00567134	0.0143306	0.00524458	0.0490237	0.0361626	0.536352	0.240792	0.0950181
n	0.00364306	0.00332889	0.00811552	0.00949943	0.0375586	0.0158474	0.025303	0.239624	0.292432	0.246199	0.118449
g	0.00160496	0.00151926	0.00319832	0.00136136	0.0153438	0.0025128	0.00208381	0.00410423	0.0389004	0.850585	0.0787859
y	0.000101887	0.000428527	0.00094375	0.00102062	0.0102103	0.0009142	0.000891807	0.00444975	0.00617913	0.962008	0.0128514
ε	7.1871e-05	0.000245785	0.000650969	0.000235546	0.00424669	0.000939059	0.00090901	0.0231439	0.0506129	0.719607	0.199337
l	0.000587126	0.000773651	0.00437344	0.00923113	0.0591673	0.00734331	0.00200087	0.0100802	0.0738197	0.352517	0.480106
έ	0.00016193	0.000438439	0.000904786	0.00134472	0.00283691	0.000707888	0.00345379	0.133681	0.136111	0.204291	0.516068
</S>	0.00192382	0.000566038	0.00381745	0.000983602	0.0016951	0.000914598	0.0213742	0.0369651	0.207966	0.0158319	0.707962
