 	où	est	la	machette	</S>
o	0.665596	0.0604355	0.234302	0.0332872	0.0063789
k	0.0433447	0.255982	0.122374	0.535815	0.0424839
w	0.00784523	0.0557266	0.0699116	0.823127	0.0433897
á	0.00635961	0.108961	0.264066	0.582768	0.0378463
í	0.0792782	0.0867166	0.0931951	0.225912	0.514898
ó	0.0733366	0.0990674	0.598822	0.0597742	0.169
d	0.015232	0.0687999	0.16909	0.555022	0.191855
é	0.0133358	0.0839023	0.129182	0.230699	0.542881
e	0.0117616	0.0426582	0.113216	0.0502771	0.782087
</S>	0.00486617	0.01634	0.0578083	0.105423	0.815562
