 	nous	jouons	de	la	trompette	pour	accueillir	le	chef	</S>
b	0.916072	0.0256724	0.00475758	0.0138631	0.0169313	0.0123396	0.00226495	0.00691133	0.000824977	0.000362279
í	0.842952	0.0648216	0.0116229	0.0090281	0.0377491	0.0272015	0.000559705	0.00549099	9.54237e-05	0.000479071
s	0.966942	0.029782	0.000344233	0.000325188	0.000408266	0.00168243	0.000152313	0.00016044	7.08797e-05	0.000132109
í	0.941455	0.0310434	0.00372623	0.00290934	0.000158369	0.00382675	0.00223218	0.00604877	0.000501489	0.00809805
l	0.082904	0.553987	0.0376689	0.0136377	0.00501838	0.00702692	0.00528256	0.011213	0.00383774	0.279424
é	0.0195879	0.127176	0.109974	0.0483728	0.0017706	0.0339763	0.110614	0.0550987	0.0063897	0.487041
e	0.0177782	0.739986	0.185508	0.0326057	0.00146067	0.00174896	0.00995744	0.0032528	0.000509429	0.00719212
b	0.00542039	0.564114	0.280358	0.0808944	0.0263012	0.006456	0.00825962	0.00191219	0.004296	0.0219881
έ	0.00155771	0.321258	0.466001	0.147077	0.0192338	0.00518575	0.0215245	0.000902469	0.00315277	0.0141065
r	0.00151162	0.126587	0.457016	0.265881	0.0727105	0.0377828	0.0167312	0.00175709	0.00163772	0.0183854
έ	0.0130946	0.0245306	0.483146	0.267589	0.0460965	0.109781	0.0190198	0.00985801	0.00132724	0.0255569
i	0.00907083	0.00386417	0.212781	0.471825	0.0945707	0.151715	0.0203616	0.0275765	0.00153638	0.00669838
k	0.00109779	0.00192296	0.0322944	0.25589	0.302132	0.316973	0.0689524	0.00807568	0.0094793	0.00318329
o	0.000555059	0.000948549	0.0119128	0.110685	0.748588	0.0902239	0.0309129	0.00224904	0.00233141	0.00159295
í	0.000212699	0.00987796	0.0346582	0.123205	0.623106	0.0687177	0.0894724	0.0150558	0.0178442	0.0178505
m	0.00209444	0.0032491	0.0275866	0.060214	0.075396	0.574754	0.11282	0.113149	0.00598444	0.0247519
í	0.00112372	0.000966049	0.0098794	0.0170216	0.0150671	0.195632	0.232417	0.0619544	0.00953675	0.456402
y	0.00128283	0.00100717	0.00496404	0.00698579	0.00718934	0.0568497	0.392096	0.0710192	0.394291	0.0643154
a	0.000227688	0.000383021	0.00319594	0.00320266	0.000233318	0.00354811	0.836805	0.0994817	0.0255269	0.0273954
m	3.9811e-05	2.15467e-05	0.000738297	0.00224326	0.000294721	0.00450609	0.772004	0.150845	0.0386403	0.0306668
b	9.03448e-05	0.00010218	0.00140808	0.00606547	0.00062616	0.0221093	0.69113	0.169206	0.00392682	0.105335
a	0.000417939	0.00203671	0.0109445	0.0284093	0.00384717	0.15637	0.390576	0.173135	0.0341451	0.200117
l	0.000196368	0.000584678	0.0053331	0.00523226	0.00375244	0.0464387	0.103411	0.41499	0.0593892	0.360673
ó	0.00206736	0.00387474	0.0179564	0.0157273	0.00420044	0.0311855	0.209264	0.163708	0.172347	0.379669
k	0.00306872	0.00023515	0.00513643	0.00472484	0.00121991	0.011151	0.0607369	0.167589	0.562658	0.183479
o	6.48952e-05	5.30881e-05	0.001075	0.00152696	0.00138318	0.00167322	0.0168595	0.00707561	0.96345	0.00683899
n	1.1672e-05	0.000525367	0.000472764	0.000568815	0.00172902	0.0010767	0.0304182	0.00158206	0.941975	0.0216407
d	1.5592e-05	0.000214758	0.000631765	0.00107191	0.00174576	0.00356528	0.0204837	0.00468276	0.80407	0.163518
z	4.21061e-05	0.000203756	0.000570648	0.000555278	0.000456026	0.00134904	0.0114147	0.00745838	0.884655	0.0932951
i	0.000179127	0.000109929	0.000246729	0.00029338	0.000460133	0.00134915	0.0069862	0.00786472	0.945129	0.0373811
</S>	0.000334907	0.00177422	0.00401239	0.00365298	0.00261135	0.0335877	0.0380097	0.056109	0.094597	0.765311
