 	aujourd'	hui	on	va	nous	juger	</S>
b	0.520673	0.27578	0.126093	0.0756461	0.00123945	0.00049379	7.36924e-05
á	0.310335	0.228565	0.176983	0.173661	0.108698	0.00108025	0.000678056
a	0.00745082	0.859196	0.0630973	0.0458504	0.0200228	0.00239797	0.0019851
s	0.0862936	0.205081	0.557051	0.0517907	0.035881	0.0040135	0.0598886
á	0.032008	0.0381727	0.139524	0.0597471	0.0677929	0.0389715	0.623783
m	0.0921926	0.0115725	0.289001	0.14208	0.195509	0.0320604	0.237583
b	0.0312599	0.00178021	0.142748	0.722361	0.0463435	0.0387206	0.0167862
á	0.00600406	0.0012723	0.0452921	0.878984	0.0257504	0.0152955	0.0274016
s	0.0289696	0.0036781	0.285408	0.449108	0.113258	0.0375933	0.0819851
á	0.0880805	0.00059617	0.0882495	0.176523	0.115435	0.128437	0.402677
b	0.0134706	0.000910107	0.254096	0.10894	0.480124	0.0961892	0.0462699
í	0.00691434	0.0148483	0.167776	0.163798	0.607188	0.0356048	0.00387022
s	0.00124782	0.00273196	0.141869	0.0574802	0.774708	0.0159715	0.00599087
í	0.00318966	0.000728029	0.0461323	0.0735549	0.670747	0.0689105	0.136738
p	0.0031008	0.000475433	0.0753871	0.0627985	0.216354	0.339993	0.30189
á	0.00522577	0.0895314	0.0156544	0.0579251	0.0212363	0.73332	0.0771066
b	0.0027648	0.040644	0.0305929	0.0140922	0.342896	0.381866	0.187143
h	0.0118064	0.0984725	0.030371	0.0274078	0.202638	0.325186	0.304118
a	0.0131615	0.32556	0.0460295	0.0716478	0.168984	0.220762	0.153856
</S>	0.00955078	0.00196935	0.0275581	0.0165123	0.0643615	0.12076	0.759288
