 	ma	femme	a	accouché	hier	</S>
n	0.920476	0.0690116	0.00741886	0.00194255	0.000929181	0.000222073
g	0.991777	0.00685492	0.00121569	8.83432e-05	1.17625e-05	5.24862e-05
á	0.437892	0.551278	0.0077889	0.00235095	0.000296893	0.000393408
m	0.320406	0.36778	0.141028	0.0506054	0.0186553	0.101525
w	0.020138	0.969191	0.00921965	0.000994939	4.17593e-05	0.000414385
á	0.161751	0.20876	0.392317	0.100352	0.00870496	0.128116
s	0.942076	0.0194244	0.033539	0.00136715	0.000188068	0.00340507
í	0.352262	0.391995	0.0704052	0.0154267	0.0219731	0.147938
á	0.0750597	0.0323714	0.751697	0.051431	0.028954	0.0604865
s	0.0146505	0.0211936	0.196875	0.653596	0.0606669	0.0530175
u	0.855818	0.00926007	0.0375735	0.0863211	0.000586252	0.0104414
n	0.389588	0.00908764	0.258704	0.282151	0.00295355	0.0575155
d	0.0675794	0.00445517	0.672908	0.208445	0.0118911	0.0347211
u	0.059313	0.00409787	0.392199	0.510896	0.00499293	0.0285012
l	0.00378011	0.000486182	0.552042	0.38797	0.0226006	0.0331213
o	0.281971	0.00040137	0.18344	0.0802006	0.138793	0.315195
p	0.0865257	0.00218306	0.0553113	0.0897309	0.666865	0.0993835
ó	0.000242946	7.96365e-06	0.00243939	0.00527136	0.984382	0.00765601
a	0.00668687	6.76131e-05	0.0180778	0.0568009	0.86142	0.0569466
</S>	0.00181204	8.2182e-05	0.0202153	0.118694	0.197471	0.661726
