 	les	soldats	ont	dépouillé	le	voleur	de	ses	habits	</S>
a	0.789946	0.188162	0.0120316	0.000306655	0.00305467	0.00176275	0.00214521	0.00168269	0.000798761	0.000110267
m	0.0900677	0.780434	0.112068	0.0126551	0.000503832	0.000316644	0.000665525	0.000681118	0.00215799	0.000449404
b	0.099059	0.783362	0.0657948	0.027772	0.0031761	0.00491271	0.000822282	0.000415497	0.000387496	0.0142976
ω	0.00417583	0.992418	0.00160105	0.000317276	0.000152108	0.00101814	3.09647e-05	3.02307e-05	4.25229e-05	0.000214208
r	0.00571607	0.97011	0.0145472	0.00308032	0.00054091	0.00373248	0.000148012	9.4819e-05	0.00019673	0.00183367
i	0.148487	0.588398	0.165475	0.0168419	0.0134324	0.00658349	0.00678368	0.00262253	0.0128589	0.0385167
á	0.103078	0.016552	0.81057	0.037767	0.0126608	0.000603608	0.00529786	0.0034892	0.000702955	0.00927854
l	0.00922411	0.00608246	0.285408	0.605776	0.0398227	0.0133177	0.0081331	0.00647332	0.00708564	0.0186774
a	0.00637673	0.0028577	0.0890279	0.546631	0.0782188	0.0527202	0.0184828	0.0147565	0.0247491	0.16618
a	0.183654	0.0310807	0.0539042	0.475287	0.131758	0.0211059	0.00636878	0.00435176	0.00771349	0.0847762
l	0.0236523	0.00196766	0.0668872	0.0757109	0.672549	0.0640624	0.0319041	0.0385779	0.00418606	0.0205022
i	0.0204501	0.00286961	0.0209984	0.0957871	0.565171	0.063161	0.0535657	0.0361428	0.0142063	0.127648
m	0.0394135	0.00465625	0.0199181	0.0202071	0.654944	0.137449	0.0445981	0.0268373	0.00632533	0.0456513
ú	0.00586494	0.00793401	0.00367656	0.00136463	0.168652	0.777394	0.0130729	0.00252455	0.00219157	0.017325
b	0.0011059	0.00191284	0.00391003	0.00295996	0.0765437	0.883278	0.0149638	0.00156733	0.00449832	0.00925972
h	0.0189794	0.000651131	0.00161779	0.00149159	0.282218	0.151229	0.319279	0.0610237	0.027317	0.136193
u	0.016393	0.00175529	0.000698105	0.00155396	0.261233	0.40418	0.166772	0.0392161	0.0366305	0.0715673
i	0.00106364	0.000181844	0.00032772	0.000373102	0.157556	0.0621772	0.542886	0.101573	0.0469616	0.0869002
k	0.00490897	0.000432829	0.00203084	0.00102491	0.0588398	0.0451497	0.347198	0.108803	0.29412	0.137492
á	0.000857391	0.000302439	0.000617997	0.00176605	0.01342	0.0619678	0.1754	0.0321803	0.635297	0.0781911
n	0.00315994	0.000222958	0.000272326	0.00747113	0.00891373	0.116934	0.144844	0.115414	0.453588	0.14918
d	0.00374427	0.000698721	0.000781493	0.00862632	0.0355854	0.0368429	0.317539	0.144893	0.267755	0.183534
á	0.00804757	0.00560507	0.00685759	0.00196653	0.0409534	0.0125887	0.211383	0.10996	0.302689	0.29995
</S>	0.00449394	0.000424148	0.0033396	0.00153487	0.0206578	0.00247848	0.199825	0.266912	0.211861	0.288474
