 	la	manière	dont	elle	imite	sa	tante	est	épouvantable	</S>
e	0.266411	0.416249	0.240137	0.0168276	0.00723049	0.00622677	0.0080018	0.00434629	0.0013996	0.0331707
m	0.205124	0.0088315	0.180762	0.0708526	0.143008	0.0977195	0.0260813	0.0140444	0.244916	0.00866056
e	0.206246	0.00541763	0.0311456	0.0224142	0.67827	0.0186826	0.00090211	0.0021779	0.0264499	0.00829389
s	0.0325299	0.00191488	0.0640763	0.03234	0.497274	0.039969	0.00792643	0.0176532	0.0974301	0.208887
í	0.00796635	0.00740214	0.096057	0.0268395	0.135778	0.0949418	0.018357	0.0165163	0.114846	0.481296
í	0.150305	0.0174198	0.0356821	0.329641	0.0821896	0.140411	0.0426494	0.0816082	0.0247063	0.0953879
l	0.0330884	0.00397527	0.026656	0.190477	0.331209	0.136624	0.069002	0.0440033	0.022098	0.142868
í	0.0322454	0.00825067	0.0474521	0.044841	0.102702	0.0547595	0.0432419	0.0651559	0.121678	0.479673
y	0.181566	0.0594286	0.366376	0.16595	0.0454522	0.0398098	0.0375202	0.0513	0.00454461	0.0480532
é	0.0960333	0.0824232	0.525518	0.0408653	0.112199	0.0214652	0.0204904	0.0186268	0.0175011	0.0648772
é	0.107912	0.0406388	0.172042	0.0959111	0.15343	0.0620908	0.0974293	0.0667562	0.0198661	0.183924
m	0.0161531	0.000529157	0.0145097	0.0195203	0.405998	0.0431414	0.0840971	0.0352727	0.174758	0.206021
e	0.00225679	9.31667e-05	0.00217053	0.0348067	0.814152	0.0654282	0.0217442	0.0111859	0.0203148	0.0278481
s	0.00555431	0.000164798	0.00556957	0.0472375	0.713426	0.0652796	0.0189076	0.0197615	0.0407828	0.0833167
á	0.00446721	0.000623384	0.0164555	0.041295	0.610554	0.135685	0.033588	0.0222614	0.0309017	0.104169
á	0.00236423	0.00159373	0.00722903	0.146069	0.0821055	0.137805	0.284064	0.0614984	0.0594901	0.217781
w	0.00345268	0.00355733	0.012515	0.36847	0.0996498	0.288662	0.179215	0.0358376	0.00306802	0.00557273
a	0.007855	0.00172263	0.00781796	0.494222	0.0313829	0.152039	0.211662	0.0509157	0.0129841	0.0293991
t	0.00106019	0.000358897	0.00428646	0.229061	0.0317051	0.268571	0.372935	0.0585168	0.0138718	0.0196335
á	0.00726758	0.00295483	0.00323607	0.176661	0.00693906	0.138263	0.602082	0.0228841	0.0255011	0.014211
m	0.00261898	0.000440258	0.00342094	0.0897358	0.0101624	0.125274	0.600668	0.0352059	0.0793697	0.0531043
á	0.00166708	4.94078e-05	0.000242064	0.0996144	0.0279507	0.645043	0.162543	0.0520974	0.00573044	0.00506235
l	0.0044603	0.000273733	0.00107023	0.0748366	0.0127768	0.217187	0.191213	0.432783	0.0301672	0.0352322
e	0.0120185	0.00186364	0.00915266	0.0186592	0.0115215	0.151806	0.280035	0.27137	0.0712155	0.172358
é	0.0025518	0.00079783	0.00155756	0.0244449	0.00561676	0.111117	0.247334	0.434711	0.0830233	0.0888457
d	0.00158636	0.000307916	0.0033498	0.0091934	0.0117095	0.107581	0.0848929	0.371265	0.32977	0.0803448
í	0.000654354	0.000267026	0.000764142	0.00188827	0.0191884	0.126103	0.0226615	0.116304	0.447699	0.264471
l	0.00230612	0.000825136	0.00107391	0.0163587	0.00478414	0.0739388	0.0188765	0.288177	0.349532	0.244127
a	0.00388492	0.000591566	0.00300983	0.00617122	0.00302381	0.0420799	0.0469419	0.154234	0.34046	0.399603
m	0.0023208	0.000683409	0.000744189	0.00457819	0.000895922	0.032157	0.0573547	0.0985082	0.627971	0.174787
w	0.000242902	4.77726e-05	0.000141632	0.000721043	0.0039771	0.0133212	0.00283824	0.0186986	0.903127	0.0568846
a	0.000943366	6.48627e-05	0.000466806	0.0111011	0.01556	0.105698	0.0224185	0.0149968	0.73569	0.0930612
</S>	0.000161488	1.81928e-05	0.00015846	0.000449733	0.00101075	0.0107768	0.00472502	0.00831611	0.470705	0.503679
