 	l'	eau	est	bouillante	</S>
m	0.710696	0.278184	0.00634555	0.00475286	2.12165e-05
á	0.0457986	0.837165	0.0616214	0.0400804	0.0153346
a	0.0941152	0.636065	0.0323431	0.229763	0.00771346
á	0.0151821	0.147067	0.391787	0.410068	0.0358958
d	0.00319803	0.0233459	0.584559	0.365645	0.023252
í	0.00149779	0.00976817	0.254462	0.381043	0.353229
l	0.00724447	0.00345842	0.149438	0.547292	0.292567
a	0.00816034	0.00641523	0.157729	0.684754	0.142942
m	0.00615818	0.00967121	0.144331	0.768347	0.071492
í	0.0011036	0.00288581	0.0303231	0.768481	0.197207
á	0.00242839	0.00345593	0.0531234	0.548047	0.392945
</S>	0.00434001	0.00523603	0.100149	0.35419	0.536085
