 	maman	goûte	la	nourriture	pour	voir	si	elle	est	suffisamment	salée	</S>
m	0.276168	0.0182405	0.174103	0.357126	0.0720566	0.00671693	0.0782648	0.00778886	0.00236526	0.00547033	0.000942459	0.000757082
a	0.304835	0.495773	0.11698	0.028381	0.0159909	0.00322182	0.0178293	0.00512061	0.00228993	0.00053989	0.000112738	0.0089262
á	0.0631777	0.44909	0.18342	0.205447	0.0236484	0.0299036	0.0168302	0.0216158	0.00193627	0.000235847	0.00044702	0.00424867
l	0.297553	0.187334	0.0852164	0.0411805	0.0508869	0.0338229	0.0423739	0.0697488	0.0620815	0.00998182	0.00649235	0.113328
á	0.0908165	0.124854	0.0603832	0.0148517	0.0757856	0.055854	0.0941165	0.0755116	0.0920591	0.00347609	0.00334685	0.308945
a	0.0944194	0.289823	0.282786	0.113063	0.0434464	0.0369804	0.0263967	0.0268838	0.0180403	0.00352925	0.00268886	0.0619433
m	0.0411671	0.855703	0.0470409	0.00363367	0.00538334	0.00651557	0.00226833	0.00536339	0.0145535	0.00636746	0.00737623	0.00462735
a	0.00101071	0.84201	0.124676	0.0157938	0.00360613	0.0036548	0.000550954	0.00238156	0.000891495	4.91635e-05	0.000116145	0.00525881
m	0.00157241	0.866112	0.0575737	0.00430495	0.00453007	0.00293861	0.00169117	0.00334551	0.00780031	0.000503853	0.00138055	0.0482465
á	0.00742549	0.539095	0.247795	0.0621384	0.0555763	0.0605025	0.013065	0.00410549	0.000441023	2.31029e-05	3.88974e-05	0.00979399
b	0.00076549	0.0704768	0.246154	0.366308	0.158287	0.0878965	0.025638	0.0181876	0.00592756	0.00173681	0.00126616	0.0173568
e	5.89789e-05	0.00356587	0.176746	0.731866	0.0479173	0.0248433	0.00552287	0.00541485	0.000715742	0.000248631	0.000484119	0.00261624
a	3.62816e-05	0.00250729	0.10379	0.780411	0.0529219	0.0337335	0.00736953	0.0115144	0.00109779	0.000460341	7.53113e-05	0.00608216
w	0.000503358	0.00523861	0.0446068	0.0665033	0.454161	0.188713	0.0815381	0.0639903	0.0401805	0.0379578	0.00155668	0.0150505
á	0.000694173	0.0101423	0.0686585	0.0490219	0.331728	0.220081	0.154605	0.0570462	0.0279496	0.00799866	0.0129309	0.0591435
á	0.000455535	0.00150024	0.0162341	0.054116	0.186464	0.431937	0.142215	0.106323	0.0117689	0.00812105	0.00925713	0.031607
í	0.00269248	0.00795466	0.00800283	0.0113805	0.12037	0.183791	0.118291	0.0883001	0.110984	0.309249	0.018528	0.0204558
p	0.009032	0.00821506	0.0114237	0.00301429	0.0674746	0.152019	0.056936	0.0989825	0.127027	0.327271	0.122708	0.0158967
ώ	7.33852e-05	0.000529038	0.00131281	0.000706281	0.0199298	0.067935	0.0181924	0.0940134	0.144318	0.213484	0.404972	0.0345335
r	2.84825e-05	0.000249944	0.00405786	0.00277387	0.0520829	0.047563	0.0595572	0.106508	0.142072	0.327586	0.150233	0.107288
i	0.000465484	0.00172481	0.00850666	0.00452145	0.0894966	0.0784888	0.0952129	0.170989	0.230363	0.16517	0.0537678	0.101294
o	0.000528958	0.00204499	0.0134295	0.0171774	0.153138	0.0960724	0.222826	0.145095	0.0913131	0.0538767	0.0651736	0.139324
k	0.00138831	0.0091839	0.00432986	0.000816815	0.00873419	0.0160062	0.0105713	0.0349906	0.111997	0.132084	0.605593	0.064305
w	1.00304e-05	0.000241338	0.000750898	9.73251e-05	0.00131929	0.000694161	0.00160827	0.0037173	0.0318053	0.0422413	0.885998	0.0315165
á	0.000297016	0.000932017	0.00639536	0.00611798	0.0214908	0.0179944	0.0432792	0.0679816	0.0936249	0.0981998	0.499523	0.144164
</S>	2.97278e-05	0.000778092	0.00420146	0.00957265	0.0231736	0.0170818	0.0373934	0.0557807	0.0897861	0.0371463	0.265907	0.459149
