 	il	veut	faire	durer	la	réunion	</S>
w	0.947812	0.0230494	0.0176665	0.00619104	0.00473221	0.000488003	6.13579e-05
a	0.900072	0.0243533	0.01031	0.0202939	0.0352811	0.00959438	9.56415e-05
a	0.262428	0.589845	0.0619678	0.0137694	0.0458963	0.0123698	0.0137243
d	0.0820235	0.605439	0.174458	0.0579789	0.0412786	0.0110877	0.0277342
í	0.0390112	0.773774	0.0428692	0.0251249	0.0109618	0.00695929	0.101299
l	0.017882	0.40912	0.186166	0.056179	0.0383135	0.00762769	0.284712
a	0.118047	0.253267	0.29309	0.0475807	0.0435717	0.0185038	0.22594
p	0.0315175	0.744263	0.109658	0.0247435	0.0149196	0.0287969	0.046102
ó	0.00272858	0.296589	0.640719	0.0228188	0.00603659	0.00564753	0.0254605
s	0.00182285	0.501533	0.452431	0.00613077	0.0131778	0.0039525	0.0209517
á	0.00738783	0.389794	0.479903	0.0212517	0.0221652	0.00874935	0.0707489
o	0.0573506	0.0378215	0.314531	0.205735	0.281901	0.0509638	0.0516978
b	0.00606541	0.116544	0.231416	0.252744	0.128462	0.23633	0.028439
í	0.00384239	0.0113625	0.0666777	0.747455	0.088881	0.0392419	0.0425396
í	0.00101203	0.0402849	0.172744	0.310463	0.0510979	0.0177487	0.406649
s	0.00333376	0.00790188	0.0274453	0.169725	0.491996	0.13166	0.167938
á	0.00258979	0.0144242	0.00976698	0.106056	0.198963	0.193183	0.475016
e	0.0126474	0.006222	0.00900456	0.0669034	0.289371	0.561011	0.0548403
y	0.0141567	0.0301358	0.0316677	0.123566	0.139341	0.592143	0.0689895
ú	0.0014932	0.0529612	0.011045	0.0255978	0.215344	0.592553	0.101006
m	0.00202827	0.00672027	0.00340551	0.017369	0.156446	0.471792	0.342239
b	0.00138487	0.00887211	0.0361533	0.029949	0.210247	0.37293	0.340463
u	0.0118808	0.0064404	0.00707186	0.133786	0.189962	0.479373	0.171485
</S>	0.00142654	0.00329479	0.00858342	0.025687	0.17418	0.0471173	0.739711
