 	papa	a	décidé	de	répudier	maman	</S>
d	0.88441	0.102943	0.00482004	0.00381573	0.0039776	1.11941e-05	2.22164e-05
a	0.972247	0.0154116	0.00305856	0.00319379	0.00186521	0.0016259	0.00259801
a	0.932667	0.0510387	0.00782583	0.00393356	0.000475939	3.88714e-05	0.00401998
d	0.541307	0.30492	0.0434966	0.0261198	0.00334238	0.000132515	0.0806819
á	0.485915	0.218081	0.0445731	0.0349226	0.0223175	0.00140882	0.192783
á	0.189759	0.423821	0.24942	0.0408517	0.0106883	0.000436482	0.0850245
k	0.00199755	0.081713	0.863433	0.0380252	0.00758271	0.00204855	0.00520047
á	0.0232701	0.088008	0.597855	0.26966	0.0125528	0.000548067	0.00810603
n	0.106519	0.211939	0.509697	0.123954	0.0182399	0.000379654	0.0292715
y	0.0618015	0.19391	0.470732	0.193329	0.0555024	0.00257204	0.0221525
i	0.0288345	0.0639544	0.473268	0.32417	0.076672	0.0040259	0.0290748
i	0.0131938	0.120914	0.0831416	0.404486	0.326221	0.0262064	0.0258371
t	0.00283776	0.0222903	0.0408761	0.366078	0.480231	0.0626393	0.0250469
ó	0.00678736	0.0227846	0.043573	0.73356	0.172034	0.0061613	0.0150995
n	0.0074941	0.0179891	0.0908118	0.635633	0.105437	0.0634313	0.0792037
a	0.00971825	0.0250433	0.0719912	0.53923	0.160657	0.0288922	0.164469
l	0.000964336	0.0154643	0.0661361	0.381721	0.304568	0.091374	0.139772
á	0.000455106	0.00740288	0.0405819	0.34431	0.37426	0.101647	0.131344
m	0.00106042	0.0072837	0.0107384	0.107667	0.468719	0.249555	0.154976
a	0.00597194	0.0280488	0.000604443	0.0230948	0.124921	0.0840726	0.733286
á	0.00326585	0.0148521	0.00835746	0.192999	0.107913	0.24312	0.429493
</S>	0.0011641	0.0155585	0.0380141	0.0589424	0.0484701	0.0547599	0.783091
