 	ils	sont	en	quête	de	champignons	</S>
b	0.849639	0.109467	0.00983134	0.0140732	0.015721	0.00120688	6.11716e-05
á	0.817062	0.122359	0.0241254	0.00415017	0.0267102	0.0049934	0.000599996
a	0.769	0.189835	0.0148502	0.00353122	0.00666101	0.00217316	0.0139488
á	0.13324	0.56446	0.197931	0.0179469	0.0339932	0.00263228	0.0497961
d	0.00461281	0.288641	0.534975	0.13036	0.0133684	0.0111838	0.0168589
i	0.00180356	0.415151	0.383807	0.0988775	0.00395448	0.00170961	0.0946962
m	0.00181795	0.0415892	0.700725	0.210229	0.0200039	0.00289242	0.0227426
ó	0.00274525	0.0673719	0.320813	0.439343	0.0702587	0.00769878	0.0917696
m	0.0162701	0.0418672	0.147249	0.662532	0.0549677	0.0469412	0.0301724
b	0.00494801	0.0207484	0.0279947	0.742216	0.0703857	0.0476357	0.0860717
e	0.00861786	0.0024394	0.00945163	0.827487	0.026638	0.0747476	0.0506187
n	0.0101257	0.056851	0.360521	0.193065	0.0918324	0.123602	0.164003
g	0.00453781	0.0248417	0.190774	0.456583	0.127708	0.0271981	0.168357
a	0.0166706	0.00708048	0.0286935	0.591008	0.0874457	0.0718693	0.197233
y	0.00135791	0.0129731	0.135634	0.0426345	0.651321	0.0345035	0.121576
á	0.00634445	0.0149285	0.100691	0.0623697	0.692708	0.0663872	0.0565712
k	0.00689662	0.00346986	0.0249255	0.0917016	0.196077	0.616645	0.0602846
o	0.00246644	0.000941958	0.00358971	0.00259706	0.00803431	0.948236	0.034134
m	0.000189939	0.000896068	0.0150512	0.0225713	0.00476977	0.859076	0.0974456
b	0.00582046	0.00269344	0.0144625	0.109216	0.200571	0.497361	0.169875
ó	0.00152474	0.00152704	0.0131973	0.122136	0.0846548	0.293028	0.483932
</S>	0.000597222	0.00621615	0.0333295	0.0142281	0.14349	0.0649917	0.737147
