 	l'	habit	est	sale	</S>
o	0.907229	0.0870728	0.00208732	0.00349571	0.000114731
k	0.0290181	0.965232	0.0038861	0.00149637	0.000367603
á	0.0222987	0.951255	0.00387829	0.0198731	0.00269461
n	0.00769176	0.958388	0.0108988	0.00866851	0.0143526
d	0.15499	0.833863	0.00286856	0.00128942	0.00698877
á	0.185	0.727056	0.00671997	0.00260145	0.0786225
ó	0.356586	0.117474	0.481185	0.0139126	0.0308423
d	0.104335	0.212287	0.629232	0.0273639	0.0267823
í	0.0176857	0.0235845	0.192138	0.010511	0.756081
l	0.0906916	0.0275237	0.248453	0.221073	0.412259
a	0.00671202	0.00959352	0.166332	0.146061	0.671301
m	0.0161286	0.0169643	0.082142	0.713428	0.171337
b	0.0038407	0.000826237	0.0387936	0.754805	0.201735
i	0.000203682	0.000880323	0.0365239	0.850194	0.112198
n	0.000104365	0.00123867	0.06706	0.447789	0.483808
d	0.00339072	0.0163544	0.0659705	0.567903	0.346381
i	0.00111008	0.0150266	0.0359493	0.437984	0.50993
</S>	0.0140842	0.0223429	0.092565	0.241975	0.629033
