 	notre	maman	est	en	train	de	se	reposer	</S>
n	0.841999	0.0245848	0.0498666	0.0322785	0.0418339	0.0078249	0.00148774	2.51818e-05	9.90373e-05
g	0.189419	0.805539	0.00320113	0.00108085	8.05962e-05	0.000216299	0.000259423	0.000164618	3.89061e-05
ó	0.0607801	0.935847	0.000941444	0.000724127	0.000368427	8.76107e-05	0.000252715	0.000955232	4.36551e-05
o	0.0588135	0.901766	0.000679578	0.00441675	0.0272998	0.000198279	0.001203	0.00537826	0.000244762
y	0.205153	0.096471	0.297515	0.187491	0.112834	0.0456082	0.0308452	0.00195121	0.0221309
a	0.890619	0.0292962	0.0209209	0.0261642	0.0245102	0.00207021	0.0034549	0.00134552	0.00161918
b	0.955851	0.00215993	0.0186117	0.0171206	0.00215424	0.00063582	0.00238289	0.00030345	0.000780095
í	0.926461	0.00213644	0.0234541	0.020444	0.0166839	0.0073772	0.00168365	0.000339963	0.00141998
s	0.892749	0.00365983	0.0147996	0.0269256	0.0576892	0.00253567	0.000918824	7.45998e-05	0.000647205
í	0.487675	0.0434022	0.0396656	0.0623662	0.0571615	0.0159822	0.016185	0.00663538	0.270927
b	0.0811431	0.015029	0.470645	0.210442	0.067456	0.0802304	0.042616	0.00382403	0.0286153
ó	0.0530725	0.00158513	0.151826	0.231043	0.109495	0.301056	0.0785699	0.00371204	0.0696398
l	0.0996523	0.00515243	0.0728542	0.101435	0.0530905	0.16023	0.394887	0.00304332	0.109656
á	0.157213	0.00263559	0.087944	0.0517505	0.00928962	0.187618	0.109396	0.0210405	0.373114
a	0.209853	0.0113159	0.161703	0.11355	0.0311658	0.209093	0.197604	0.0317524	0.0339619
y	0.00213535	0.0022289	0.0368885	0.00898117	0.00182275	0.174428	0.229294	0.491936	0.0522849
w	0.00011067	0.00070338	0.0079543	0.00784398	0.000488659	0.0229531	0.132846	0.781447	0.0456526
ω	0.000414017	6.29841e-05	0.00619201	0.00400723	8.59999e-05	0.025331	0.053314	0.809586	0.101007
ω	0.000196207	0.00022329	0.0207304	0.0240412	0.0031887	0.188052	0.106268	0.0556087	0.601692
</S>	0.000356252	7.68493e-05	0.0217613	0.0103064	0.000390337	0.113647	0.239717	0.0327536	0.580992
