 	mon	père	ne	peut	pas	faire	de	longues	distances	parce	qu'	il	est	atteint	de	hernie	</S>
t	0.429945	0.495912	0.00853269	0.00964165	0.0100635	0.0190311	0.0175838	0.00261709	0.000998729	0.00156676	0.00195793	0.000769866	0.000428206	0.000197438	0.000328691	0.000378285	4.74493e-05
á	0.00818647	0.984525	0.000857424	0.000347866	0.000865564	0.00149575	0.00110582	0.000197082	0.000198676	0.00124811	0.000336226	0.000132055	6.45975e-05	0.000135904	0.000177838	9.8667e-05	2.67894e-05
á	0.00354914	0.830925	0.00742766	0.00950351	0.0049823	0.0109925	0.0111659	0.0031289	0.00669928	0.0243715	0.0291465	0.0176766	0.00747773	0.0115908	0.00266895	0.0103805	0.00831284
y	0.542878	0.101978	0.0827665	0.00622967	0.0170076	0.00836525	0.0139057	0.0261401	0.00848098	0.0177075	0.0277291	0.0253928	0.0289688	0.00858178	0.0221931	0.00225654	0.0594185
a	0.28078	0.187114	0.144948	0.00540135	0.043289	0.0208612	0.038406	0.0367828	0.0424616	0.0293394	0.038732	0.0251443	0.0252871	0.0224584	0.0163803	0.0150953	0.0275185
n	0.900499	0.0248285	0.0115552	0.000685951	0.00453933	0.00173933	0.00495832	0.0103364	0.00185266	0.00311096	0.00814634	0.00417519	0.00286685	0.00275262	0.00418661	0.000841689	0.012925
g	0.863204	0.000703715	0.00824828	0.000538533	0.00343069	0.000563158	0.00234713	0.115597	0.000471201	0.000856516	0.000621781	0.000277298	0.000329329	0.000541443	0.000847652	0.000158622	0.00126419
á	0.779374	0.0452541	0.0239393	0.00419755	0.00929993	0.00420753	0.0111334	0.0522867	0.00359808	0.00809226	0.00671607	0.00377756	0.00218783	0.0122249	0.00826641	0.00638367	0.0190604
a	0.0775803	0.0113295	0.723985	0.0463742	0.0493497	0.0129709	0.0115384	0.00916634	0.00256372	0.00716455	0.0104167	0.0101311	0.00817872	0.00288071	0.00752905	0.00130539	0.0075359
d	0.00161747	0.000652384	0.552346	0.280289	0.0716724	0.0230256	0.00548231	0.00245818	0.00889894	0.00663449	0.00217863	0.00293626	0.0123555	0.01062	0.00550289	0.00147124	0.0118585
í	0.00191205	0.000129163	0.607262	0.108377	0.0751925	0.0198841	0.0117441	0.00769221	0.0397066	0.0145292	0.00421437	0.00367479	0.0129585	0.018174	0.00620827	0.00233992	0.0660013
o	0.0276116	0.000191062	0.266944	0.220746	0.176117	0.0880296	0.0374142	0.0138314	0.00798034	0.0174065	0.0118216	0.0120185	0.025407	0.0123487	0.0207327	0.00511621	0.0562832
b	0.000150569	2.83865e-05	0.0240479	0.850186	0.0441758	0.0464921	0.00634178	0.00124761	0.0126574	0.00170286	0.000531073	0.000415511	0.000823321	0.00207931	0.000968109	0.00421901	0.00393363
h	3.37915e-05	1.39918e-05	0.00436616	0.944263	0.00596523	0.0283481	0.00188573	5.38175e-05	0.00249557	0.00270896	0.000358373	0.000368664	0.000400555	0.000390968	0.000434335	0.00454814	0.00336503
é	3.98706e-06	5.42575e-06	0.00145853	0.97694	0.00266137	0.0132104	0.000713722	9.4423e-06	0.00117852	0.00051377	6.15044e-05	7.95201e-05	0.000135611	0.000177132	0.000325231	0.00125251	0.00127284
r	0.00359516	0.00127464	0.0322979	0.620416	0.08086	0.131889	0.0389883	0.00111094	0.0101908	0.00867571	0.00496487	0.00412105	0.00418944	0.00184226	0.00350557	0.00799977	0.0440787
a	0.00753539	0.000473194	0.0309195	0.392516	0.127235	0.153546	0.104746	0.0106946	0.0107791	0.0132563	0.0118052	0.00645412	0.00352102	0.00314078	0.00680398	0.0206383	0.0959353
o	0.0022334	2.22027e-05	0.0188651	0.0396656	0.289151	0.222393	0.30928	0.0777849	0.00428487	0.00736379	0.00838154	0.00492391	0.00260267	0.000610505	0.00160165	0.000649538	0.0101863
d	0.00021864	4.44195e-05	0.0148572	0.0678422	0.136168	0.458775	0.143888	0.035087	0.106901	0.0171797	0.00189962	0.0012521	0.00264477	0.00264554	0.00132103	0.00559367	0.00368189
z	0.000112752	0.000103687	0.013778	0.0246458	0.0962417	0.216691	0.0965021	0.00829697	0.450247	0.0123028	0.000852012	0.000562904	0.00215943	0.00298894	0.00139147	0.0136814	0.059442
w	0.00044553	0.000673628	0.0155691	0.00753379	0.0560845	0.0611593	0.0580621	0.0087388	0.783474	0.00200265	0.000207525	0.00011742	0.000354631	0.00073787	0.000179327	0.00121517	0.00344519
á	0.00111403	3.37575e-05	0.0106804	0.0532582	0.0438545	0.0965814	0.113771	0.0175296	0.473735	0.0285874	0.0269428	0.0166151	0.0170075	0.00659402	0.0114518	0.0175608	0.064683
