 	les	chiens	se	réjouissent	de	leur	propriétaire	</S>
a	0.824411	0.150727	0.0168462	0.00402318	0.00152058	0.00206986	0.000370009	3.25148e-05
m	0.31373	0.647764	0.00767577	0.0255486	0.00221036	0.000937152	0.00176708	0.000366247
b	0.0242797	0.567804	0.0259515	0.370422	0.00213208	0.000294682	0.00205663	0.00705977
v	0.000634715	0.99459	0.000301036	0.00375767	3.1857e-05	1.97038e-05	0.000606586	5.81037e-05
á	0.00344845	0.990843	0.000513538	0.00111129	8.47822e-05	2.352e-05	0.00374293	0.000232242
n	0.0311881	0.954763	0.00568987	0.00362394	0.000427911	0.000182226	0.00316121	0.000964046
d	0.0802411	0.874732	0.00798005	0.0106707	0.00354106	0.000450148	0.00416172	0.0182236
é	0.0663851	0.773351	0.05248	0.033797	0.0153255	0.00226785	0.0134294	0.0429644
b	0.0487304	0.0175583	0.721583	0.0912058	0.0738023	0.00923029	0.00039115	0.0374988
á	0.36647	0.0129097	0.221803	0.0234845	0.213117	0.0303987	0.00636133	0.125456
a	0.361496	0.00691117	0.246314	0.251886	0.0841103	0.02701	0.00612542	0.0161461
s	0.0125789	0.0274022	0.0992228	0.7256	0.104283	0.00442198	0.00199214	0.0244987
a	0.00331473	0.017524	0.00695735	0.896258	0.0633697	0.00106247	0.00125579	0.0102575
n	0.0331816	0.0846765	0.0421374	0.663797	0.147167	0.00171315	0.00606171	0.0212654
g	0.0260644	0.00928051	0.0604331	0.338274	0.444992	0.046396	0.0362087	0.0383511
á	0.027914	0.0135093	0.0775914	0.129808	0.377795	0.0223756	0.0351682	0.315839
n	0.0110551	0.00599858	0.027917	0.0314726	0.340669	0.292988	0.265633	0.0242674
y	0.00626947	0.00396159	0.00102743	0.00765242	0.0312803	0.0547977	0.885827	0.0091841
ε	0.00262584	0.000609106	0.000681201	0.00290378	0.0360697	0.0190447	0.924848	0.0132178
k	0.00652045	0.00799615	0.00176872	0.0334087	0.0489684	0.0389675	0.796322	0.0660476
ú	0.00362889	0.00116023	0.00178544	0.00147288	0.111438	0.0602466	0.121086	0.699181
m	0.00560396	0.000599045	0.00847582	0.000916695	0.167263	0.176921	0.0938607	0.54636
ú	0.0110044	0.00564785	0.00783827	0.00476973	0.233024	0.172553	0.306115	0.259048
</S>	0.00972273	0.00135091	0.0108197	0.00690334	0.0993093	0.141893	0.120581	0.60942
