 	ses	cadets	sont	en	train	de	murmurer	contre	lui	parce	qu'	il	mange	à	l'	excès	</S>
a	0.777289	0.207011	0.00487684	0.0034785	0.000242567	0.00111615	7.5119e-05	0.0037623	0.000779465	0.000539631	0.000595245	0.000107366	1.20542e-05	6.5792e-05	4.18924e-05	1.2131e-06	5.39187e-06
d	0.0640585	0.914413	0.0167481	0.000947963	0.00201606	9.54598e-05	0.00018451	0.000149435	0.000135861	0.000101555	7.98508e-05	6.84783e-05	0.000347403	0.000221998	0.000100056	4.80837e-05	0.000283239
i	0.604891	0.37665	0.0114229	0.000458574	1.25703e-05	0.000136219	0.00155547	0.000160582	0.000119089	0.00010325	8.09825e-05	0.000129239	0.000894345	8.56709e-05	1.58399e-05	8.98502e-05	0.00319471
m	0.147289	0.434671	0.336231	0.0149754	0.000322419	0.00189683	0.0136758	0.00110733	0.000571473	0.00113511	0.00143155	0.00132923	0.0117973	0.00177812	0.000285496	0.00160846	0.0298943
í	0.0224474	0.728393	0.15113	0.0758216	0.00167594	0.0112884	0.00093616	0.00288211	0.00364228	0.0001321	0.00025439	0.00041361	6.05767e-05	0.000123251	0.000138496	8.70951e-05	0.000573133
b	0.104057	0.18898	0.367127	0.185301	0.0187401	0.0546779	0.0273813	0.00838746	0.00685662	0.00681461	0.00414939	0.00595046	0.00392416	0.0048548	0.00220963	0.00137393	0.0092137
ó	0.0519437	0.0161802	0.0903693	0.190048	0.134175	0.293265	0.0227198	0.0648687	0.0335714	0.0241796	0.0134649	0.0296266	0.00125565	0.016989	0.0119595	0.0010964	0.00428681
b	0.243214	0.0398031	0.0879616	0.213606	0.10627	0.0936379	0.0824238	0.0507229	0.0125866	0.0142947	0.0105812	0.0141631	0.00255792	0.00668515	0.00595356	0.0021115	0.0134259
á	0.41513	0.0296552	0.0542143	0.050706	0.0201817	0.24783	0.0229914	0.0552529	0.0503422	0.0187141	0.0075902	0.0137052	0.00128491	0.00469098	0.00428804	0.00164864	0.00177361
a	0.124913	0.0545517	0.305144	0.184217	0.013037	0.104688	0.0508079	0.0486791	0.0295216	0.0269724	0.0111116	0.0143745	0.00358025	0.00771987	0.00628128	0.00260146	0.0117988
y	0.0104832	0.0203472	0.185738	0.013873	0.010566	0.104113	0.568276	0.0104873	0.00871972	0.00729831	0.00635291	0.00889146	0.0212011	0.00496589	0.00154681	0.00288336	0.0142558
u	0.00768576	0.0100833	0.059461	0.00332291	0.0005174	0.00572339	0.858658	0.00304994	0.001173	0.000466103	0.000543173	0.00165437	0.0196824	0.0017611	0.000256042	0.00245324	0.023509
r	0.0362447	0.00590308	0.102825	0.0129769	0.000547938	0.036385	0.513944	0.011894	0.00373898	0.00283719	0.00372359	0.00411301	0.0486703	0.011037	0.00219191	0.00490806	0.19806
á	0.0219961	0.00723053	0.301152	0.081146	0.000679558	0.158262	0.13461	0.0639731	0.0450705	0.034752	0.0773937	0.0158822	0.0116306	0.0143302	0.00583861	0.00286493	0.0231884
a	0.00875061	0.00233082	0.0198109	0.0163106	0.000915493	0.0789289	0.126183	0.255275	0.13302	0.141304	0.128035	0.0624096	0.0100135	0.00608477	0.00494344	0.00194572	0.00373743
w	0.0148428	0.0163294	0.0253689	0.00298682	0.000665461	0.0169311	0.0444244	0.111378	0.0974085	0.235297	0.102754	0.189022	0.0976006	0.0288418	0.00711308	0.00453956	0.00449702
a	0.00349599	0.00364988	0.0220384	0.0215653	0.0276697	0.0196697	0.0215672	0.165083	0.142612	0.20386	0.0439812	0.194084	0.0195868	0.0435166	0.0320053	0.0137663	0.0218482
m	0.00179136	0.00054517	0.00780943	0.00294757	0.00112987	0.0259424	0.0671711	0.218223	0.162017	0.177597	0.0652081	0.145355	0.0579052	0.0207198	0.0100104	0.0121015	0.0235257
í	0.0233096	0.00738524	0.00482157	0.00231931	0.000167701	0.0181089	0.00342838	0.135058	0.302935	0.0577069	0.108128	0.163631	0.0232017	0.0490689	0.0397053	0.0327222	0.0283037
d	0.00851657	0.00161754	0.00449732	0.00134732	0.000132817	0.00467015	0.00158155	0.0219374	0.0366554	0.118602	0.0985904	0.252278	0.150121	0.170887	0.0754303	0.0209291	0.0322066
z	0.00313961	0.00157254	0.00321833	0.000209815	4.64662e-06	0.000913454	0.0131436	0.00545998	0.00505619	0.0137183	0.0579519	0.0782464	0.50552	0.0475971	0.0119318	0.0605501	0.191766
á	0.0124626	0.0162033	0.00608517	0.000417647	7.67424e-06	0.00109687	0.0118904	0.00701504	0.0180753	0.00787274	0.0370144	0.0694286	0.511592	0.0409146	0.0173625	0.170621	0.0719396
a	0.00404028	0.000521419	0.00107083	0.000157391	1.49704e-05	0.00109005	0.00326336	0.0113392	0.0328865	0.0557426	0.0437752	0.0676326	0.288689	0.0771617	0.0684478	0.246598	0.097569
</S>	0.000655823	0.000476828	0.00779729	0.00152507	8.4292e-05	0.00227083	0.00180656	0.00227152	0.00324842	0.0175633	0.0416001	0.0393856	0.0994109	0.17993	0.15819	0.0729326	0.370851
