 	on	s'	habille	pour	cacher	la	nudité	</S>
l	0.84816	0.123379	0.00136076	0.00655483	0.00456576	0.0139752	0.00176908	0.000234926
é	0.724353	0.199167	0.00935044	0.0288604	0.0254392	0.0121961	0.000200069	0.000433857
e	0.355668	0.423004	0.185044	0.00652939	0.0157379	0.00372905	0.000101545	0.0101861
l	0.0248311	0.156797	0.722035	0.0206717	0.00565378	0.00415626	0.00664357	0.0592117
á	0.011588	0.0677604	0.885841	0.00874058	0.00292868	0.0008233	0.000107594	0.0222106
r	0.103826	0.149073	0.613264	0.0291436	0.0219406	0.0053167	0.000165534	0.0772702
á	0.357371	0.412741	0.132955	0.0290398	0.0382867	0.0150155	0.000166699	0.0144241
i	0.162563	0.225879	0.0984791	0.260588	0.177756	0.0415321	0.0129558	0.0202472
k	0.0238046	0.0739471	0.69852	0.147561	0.0342582	0.00923934	0.00516773	0.00750205
á	0.01877	0.0157628	0.830949	0.0491934	0.00757322	0.0076895	0.0672188	0.0028434
n	0.031181	0.0291719	0.600683	0.111498	0.0579047	0.0220996	0.119943	0.0275186
d	0.0408253	0.0840795	0.778369	0.0293975	0.0191705	0.0132374	0.00139956	0.0335215
á	0.0788004	0.162661	0.31187	0.0455492	0.0584086	0.0265508	0.00215097	0.314009
m	0.0347747	0.154497	0.17744	0.29874	0.0893298	0.107966	0.0238346	0.113419
í	0.0208525	0.0551248	0.0297524	0.386609	0.244335	0.0838345	0.000643839	0.178848
b	0.0235819	0.021393	0.0417555	0.235489	0.154879	0.199965	0.282791	0.0401454
h	0.0268846	0.0218454	0.0202368	0.118783	0.0739889	0.114348	0.563635	0.0602781
í	0.00263999	0.00507409	0.0718302	0.17086	0.211921	0.171427	0.314513	0.0517358
s	0.000378043	0.000767859	0.0094622	0.124635	0.390851	0.379165	0.0316296	0.0631108
a	0.00278006	0.00386976	0.0811808	0.0974119	0.432871	0.150132	0.0120691	0.219685
l	0.0024592	0.00340631	0.00773473	0.0804901	0.0729478	0.353931	0.0193916	0.459639
ó	0.023874	0.0242589	0.0222097	0.074936	0.0843364	0.12986	0.0158919	0.624633
t	0.0168144	0.0240192	0.0149583	0.0922673	0.156338	0.208347	0.016104	0.471151
á	0.013897	0.0326747	0.0884734	0.105338	0.0466957	0.0928933	0.50172	0.118308
b	0.000621765	0.00210525	0.0212287	0.0224543	0.0293667	0.0840948	0.298115	0.542014
h	0.00113493	0.001929	0.0232252	0.0221292	0.0119403	0.0565033	0.52963	0.353509
a	0.0023044	0.00135287	0.0584913	0.0403155	0.0666014	0.0854412	0.0611634	0.68433
</S>	0.00322761	0.00674888	0.0338026	0.0770429	0.0446299	0.161937	0.0258916	0.64672
