 	il	faut	que	tu	me	donnes	cinq	mille	francs	</S>
n	0.329253	0.598409	0.0595248	0.00758131	0.00363731	0.000235636	0.000808641	0.000385947	0.00011828	4.66099e-05
ω	0.399985	0.261977	0.0530705	0.190458	0.0817776	0.00135887	0.0102784	0.000285357	0.000539363	0.000270911
k	0.188352	0.675991	0.0677598	0.0257416	0.0290265	0.00229577	0.00678917	0.000657264	9.77557e-05	0.00328851
á	0.0892454	0.49437	0.12048	0.0204884	0.0103376	0.0219664	0.0398657	0.0597567	0.0500656	0.093425
a	0.152787	0.393441	0.158662	0.0657694	0.0112545	0.0456162	0.0064307	0.0174199	0.024615	0.124005
l	0.104405	0.0476686	0.516373	0.102753	0.187966	0.0170317	0.00363014	0.00368296	0.00110609	0.0153828
ó	0.0412174	0.0384228	0.232334	0.202589	0.303468	0.0688884	0.0407138	0.00646522	0.00312224	0.0627792
o	0.0383964	0.0508009	0.352177	0.17701	0.260254	0.0351559	0.035607	0.0107541	0.00172239	0.0381219
p	0.00469596	0.00192884	0.0368466	0.0428138	0.219424	0.647767	0.0182805	0.0110777	0.00276904	0.0143966
έ	0.00327187	0.00548231	0.0465684	0.0424501	0.171848	0.628936	0.0600664	0.0132274	0.00203906	0.0261109
n	0.0102183	0.0253068	0.145993	0.12733	0.148498	0.283442	0.129579	0.0319747	0.00254623	0.095112
g	0.0687417	0.0340902	0.0999621	0.256056	0.176267	0.115701	0.172072	0.0680367	0.00225389	0.00681958
á	0.140158	0.121465	0.12188	0.406727	0.0800741	0.016592	0.0693471	0.0377432	0.00180995	0.00420253
k	0.000820781	0.000453488	0.00937017	0.0230336	0.0264788	0.0420624	0.239953	0.603973	0.041908	0.011947
ó	0.00524472	0.00537134	0.0053646	0.0123411	0.00556752	0.0272573	0.0680185	0.662068	0.199799	0.00896825
r	0.000447885	0.00300961	0.0220702	0.0151954	0.0334133	0.0716292	0.0926619	0.440728	0.270934	0.0499113
o	0.000742561	0.0009446	0.00482874	0.0147453	0.0183169	0.166133	0.329351	0.2537	0.050415	0.160823
y	0.00205364	0.00108245	0.0170403	0.0314978	0.0996484	0.0260484	0.3515	0.25689	0.0620603	0.152179
á	0.0167944	0.00351845	0.0207112	0.00841867	0.0290078	0.0370589	0.108332	0.222275	0.387023	0.16686
p	0.0128277	0.00540288	0.020848	0.0103665	0.0239462	0.0050544	0.0792726	0.193317	0.604284	0.0446812
á	0.00112952	0.002175	0.00123443	0.000560127	0.000915028	0.00225882	0.0226197	0.233041	0.717502	0.0185641
r	0.000379075	0.000240455	0.000920644	0.000772472	0.00156032	0.01173	0.01888	0.273522	0.657496	0.0344995
a	8.01018e-05	0.000273508	0.000477729	0.00164588	0.00144715	0.0315349	0.281116	0.417857	0.227304	0.0382634
</S>	0.000370461	0.000416465	0.00404015	0.00565373	0.014269	0.0119666	0.109153	0.116266	0.225732	0.512132
