 	la	manière	dont	ils	ont	bouché	le	ruisseau	révèle	un	fait	prémédité	</S>
e	0.352794	0.508722	0.0452611	0.0398288	0.036345	0.00345537	0.00505332	0.00314049	0.00125631	0.00171639	0.00169328	0.00054168	0.00019209
k	0.00854965	0.00392188	0.00186453	0.00803824	0.0529592	0.682547	0.0205246	0.0307881	0.0104452	0.100409	0.0705716	0.00727915	0.00210177
í	0.0021406	0.000259325	5.67652e-05	0.00251321	0.0193916	0.935784	0.00669419	0.0100407	0.00382936	0.00867555	0.00555393	0.00253846	0.00252204
n	0.00322854	0.00648455	0.00223684	0.0325227	0.0644035	0.813923	0.0244425	0.0165203	0.00784379	0.0111243	0.00911943	0.00595234	0.00219794
d	0.0988803	0.020047	0.00118518	0.0137426	0.0380323	0.727402	0.0334644	0.0192246	0.0051986	0.00883152	0.0147448	0.00302584	0.0162211
í	0.00897124	0.0030733	0.000607237	0.00296657	0.0405446	0.830917	0.028132	0.013506	0.00857411	0.0116123	0.0119608	0.000568134	0.0385671
s	0.014145	0.0391769	0.0206734	0.0510385	0.168023	0.0742366	0.174293	0.0645509	0.0557233	0.0722021	0.0754026	0.00509155	0.185442
í	0.00754713	0.012765	0.00772542	0.0093072	0.11298	0.0582083	0.0636795	0.0513731	0.0544527	0.0988402	0.145838	0.00325737	0.374027
l	0.161845	0.162962	0.0580713	0.0756749	0.102426	0.116947	0.0802077	0.0491825	0.0224429	0.0385036	0.0448617	0.0232709	0.0636047
í	0.0478842	0.0592993	0.180098	0.0394002	0.0586975	0.0733389	0.0277971	0.0242052	0.0198357	0.0350165	0.0585126	0.0164788	0.359436
y	0.032808	0.201455	0.390827	0.0586938	0.103044	0.0493714	0.0436641	0.0244793	0.0115442	0.0186755	0.0243608	0.010663	0.0304137
é	0.0364666	0.0420803	0.287411	0.0088698	0.127112	0.110742	0.0893775	0.0497102	0.0220263	0.0385778	0.0545176	0.00914284	0.123966
é	0.0532674	0.135427	0.322078	0.0127387	0.127557	0.132537	0.0592228	0.0266816	0.0112812	0.0153582	0.0165475	0.00725892	0.0800449
k	0.00309254	0.00305644	0.0177546	0.0784231	0.268132	0.42561	0.0676532	0.02071	0.016409	0.0174417	0.0149366	0.0105022	0.0562791
í	0.000309229	3.72928e-05	7.33915e-05	0.00298438	0.0223186	0.927658	0.0217888	0.00937969	0.00426959	0.00490504	0.00206078	0.000352146	0.0038631
n	0.000147411	0.000205039	0.00130812	0.0545144	0.0738635	0.78042	0.0403495	0.0141066	0.00973591	0.0074833	0.00355913	0.00111273	0.0131945
d	0.00436229	0.00251544	0.00601862	0.0336432	0.136545	0.591079	0.118264	0.0311739	0.010747	0.0124151	0.0154913	0.00711605	0.0306289
í	0.0292163	0.0229971	0.0456615	0.0280473	0.0935042	0.373713	0.136183	0.0480982	0.0122648	0.0179185	0.0442486	0.0174625	0.130685
s	0.00351051	0.00567757	0.0856575	0.242894	0.157976	0.0323695	0.359731	0.0479419	0.0212397	0.0147014	0.0128859	0.00303069	0.0123837
í	0.0140019	0.00824617	0.137355	0.0294761	0.151404	0.140643	0.284848	0.0893265	0.0189763	0.0172489	0.0341039	0.0149317	0.0594378
b	0.00513209	0.0184381	0.146729	0.268578	0.0637517	0.00692473	0.276857	0.112448	0.0406352	0.0189728	0.0151103	0.0167714	0.00965221
á	0.000411006	0.00025087	0.00574608	0.979373	0.00476679	0.00122255	0.00325841	0.00221578	0.000230545	0.000198672	0.00015171	0.00200746	0.00016669
a	0.00156922	0.00272558	0.0262933	0.861029	0.0156514	0.000724741	0.0321263	0.0320292	0.00528665	0.00763861	0.00780236	0.00562549	0.00149841
o	0.000889589	0.00165217	0.0150558	0.125258	0.127073	0.00835049	0.379543	0.184194	0.0761452	0.0376953	0.0214398	0.00326067	0.0194415
k	0.00272626	0.000650374	0.000664321	0.00270231	0.0408509	0.132256	0.187934	0.318855	0.218935	0.0733466	0.0105467	0.002676	0.00785705
y	0.000258894	4.46004e-05	2.9715e-05	0.000960807	0.00874339	0.299773	0.146373	0.245321	0.192933	0.0810966	0.00793831	0.00240238	0.0141252
ε	0.000458748	4.7477e-05	3.35048e-05	0.00372568	0.0131213	0.156038	0.153788	0.28576	0.18379	0.148057	0.0265006	0.00474532	0.0239328
s	0.000584744	0.000446753	0.000518594	0.00435969	0.00819277	0.034685	0.180219	0.298508	0.253056	0.146326	0.041375	0.00282913	0.0288995
í	0.00103561	0.000462813	0.00187971	0.00590694	0.00673153	0.0340732	0.126271	0.248223	0.148971	0.176961	0.120402	0.0382704	0.0908111
a	0.00132697	0.0030573	0.0108707	0.01832	0.00978451	0.00117859	0.0867481	0.21929	0.248581	0.208875	0.138905	0.0340276	0.0190353
k	0.000764588	0.000546045	0.00225462	0.0103761	0.0162884	0.00803665	0.0380455	0.121151	0.257671	0.255823	0.169886	0.0481389	0.0710172
y	0.000334569	0.000121625	0.000204939	0.00895928	0.00816773	0.00645511	0.0212112	0.142704	0.275686	0.244372	0.101223	0.0556334	0.134927
e	0.000619809	9.24217e-05	7.3401e-05	0.00203167	0.00221738	0.0070421	0.0279562	0.139053	0.199464	0.26027	0.187394	0.0534154	0.120372
e	0.00134673	0.0014059	0.00273211	0.00589554	0.00266889	0.00129484	0.0147369	0.0663631	0.214227	0.19916	0.230296	0.0882015	0.171672
k	0.000460296	0.000144262	0.000280298	0.00140587	0.0031029	0.00498518	0.0106185	0.034998	0.125046	0.195976	0.293998	0.0606278	0.268357
á	0.000134628	5.44008e-05	7.63664e-05	0.00212301	0.00314937	0.00601672	0.0110001	0.0631341	0.164721	0.226277	0.187849	0.149471	0.185994
á	0.000792505	0.000750041	0.00346473	0.0202681	0.00498339	0.000795924	0.0119222	0.0418206	0.0645522	0.0969968	0.215422	0.300981	0.237251
n	0.000384408	0.000266272	0.000736564	0.0021918	0.00306031	0.00085263	0.00917874	0.0233785	0.0621384	0.120928	0.372852	0.205608	0.198425
á	0.00102873	0.000572927	0.00288883	0.00101704	0.000546149	0.00204328	0.00382074	0.0153801	0.0138477	0.0550613	0.220257	0.591414	0.0921226
</S>	0.000317138	0.00037778	0.00204621	0.00129076	0.000682562	0.000481075	0.00560566	0.0170831	0.0400046	0.0790146	0.16552	0.37183	0.315746
