 	elle	brosse	l'	habit	</S>
w	0.902488	0.0115257	0.0840699	0.00179941	0.000117231
a	0.925341	0.00371445	0.0641714	0.00663587	0.000136842
l	0.347734	0.434442	0.190751	0.00374845	0.0233241
á	0.239618	0.125907	0.186201	0.0199777	0.428297
a	0.429667	0.0588731	0.270613	0.0429856	0.197861
t	0.0578582	0.77599	0.0884807	0.050256	0.0274149
έ	0.0279356	0.833794	0.0543599	0.0432556	0.0406545
έ	0.0655112	0.657249	0.147389	0.0268034	0.103048
s	0.0569734	0.325215	0.502893	0.0530528	0.0618654
έ	0.0203526	0.405839	0.479726	0.00989794	0.084185
m	0.0222689	0.0883797	0.668583	0.147077	0.0736918
b	0.0209132	0.1496	0.0633741	0.261695	0.504417
i	0.00322965	0.010237	0.0318889	0.863748	0.0908963
n	0.0316635	0.0906838	0.103908	0.231073	0.542672
d	0.0144648	0.0701185	0.0990034	0.362077	0.454336
i	0.0067732	0.0632443	0.0437734	0.290187	0.596022
m	0.0224804	0.174264	0.113865	0.105767	0.583624
ó	0.0161298	0.0619937	0.487579	0.114088	0.320209
k	0.020921	0.0228806	0.291042	0.314729	0.350427
á	0.00254742	0.00343284	0.0165077	0.936863	0.0406489
n	0.0105934	0.0155257	0.0619718	0.767049	0.14486
d	0.00204434	0.0700508	0.0843286	0.450587	0.392989
á	0.0224948	0.0790795	0.0915709	0.140451	0.666403
</S>	0.00959369	0.041217	0.0933895	0.0498806	0.805919
