 	il	est	très	brun	</S>
w	0.918514	0.0676496	0.00890762	0.00466861	0.000259683
a	0.894096	0.0621406	0.0190729	0.0242997	0.00039116
a	0.467366	0.463008	0.0496772	0.00191337	0.0180356
d	0.139002	0.591541	0.21685	0.0107443	0.0418626
í	0.051133	0.607627	0.121505	0.000447844	0.219287
t	0.0173669	0.150953	0.227513	0.0235426	0.580624
s	0.0700948	0.24794	0.514292	0.0421685	0.125504
ω	0.0254796	0.205778	0.687878	0.0224812	0.058383
n	0.0126566	0.0530242	0.24847	0.453024	0.232825
d	0.0242066	0.122019	0.424616	0.0474622	0.381696
z	0.00719191	0.0616765	0.361292	0.0464483	0.523391
í	0.0137698	0.0250482	0.284369	0.177492	0.49932
í	0.0182608	0.067388	0.131817	0.021355	0.761179
w	0.0154048	0.119544	0.34743	0.0492935	0.468327
a	0.0466384	0.0686861	0.549765	0.137266	0.197644
m	0.00675724	0.0150004	0.105547	0.11252	0.760175
έ	0.0342771	0.0797666	0.264364	0.166319	0.455273
n	0.0129627	0.0641528	0.190927	0.233509	0.498448
d	0.00730761	0.0268563	0.152738	0.119364	0.693735
e	0.00184369	0.0048927	0.0303388	0.0205245	0.9424
</S>	0.000900001	0.00778554	0.0593198	0.00469213	0.927302
