 	cet	homme	soigne	les	maux	de	tête	</S>
m	0.826547	0.168026	0.00136777	0.00109483	0.00181289	0.000753833	0.000353055	4.4691e-05
o	0.784287	0.109687	0.020585	0.0137128	0.0337037	0.0326314	0.000588939	0.00480393
r	0.653507	0.329961	0.00985837	0.00180355	0.000331641	0.000787837	0.00182468	0.0019257
o	0.893432	0.0787683	0.0034804	0.0010371	0.000488544	0.00852448	0.00028154	0.013988
w	0.810628	0.12678	0.0301099	0.00138411	0.00186677	0.00670092	0.000196123	0.0223341
ó	0.535452	0.145595	0.169737	0.0537337	0.0125879	0.0152639	0.00332758	0.0643025
l	0.0986416	0.106639	0.360581	0.0373728	0.00968549	0.0241794	0.00250224	0.360398
á	0.00727292	0.0265239	0.578973	0.0664046	0.0521142	0.0478186	0.00233112	0.218562
a	0.202579	0.0452135	0.246302	0.218061	0.0949964	0.0924048	0.00924646	0.0911962
s	0.00191157	0.0141071	0.929903	0.0376429	0.00292939	0.00306611	0.00346273	0.00697755
á	0.000857468	0.00221973	0.964916	0.0244881	0.00173439	0.00114167	0.000651331	0.00399133
l	0.0077743	0.00143402	0.396285	0.205728	0.0190966	0.0218473	0.00247684	0.345358
á	0.00575199	0.00942748	0.375729	0.292718	0.142198	0.0770559	0.0174486	0.079671
i	0.00662583	0.00139985	0.064481	0.267578	0.176969	0.400218	0.05053	0.0321987
b	0.00213641	0.00491789	0.0125404	0.197672	0.100509	0.121162	0.520153	0.0409103
o	0.000876343	0.002485	0.0012299	0.0570607	0.0754133	0.0172851	0.83994	0.00570949
o	0.000147845	0.000482578	0.00366971	0.0193991	0.0442184	0.055988	0.833736	0.0423582
b	0.000795777	0.000641374	0.0155747	0.0556361	0.30875	0.288228	0.0660826	0.264292
v	0.00785713	0.014053	0.0579808	0.181014	0.38388	0.159995	0.127169	0.0680522
ú	0.0139517	0.00039134	0.00589641	0.12819	0.351355	0.136621	0.250421	0.113172
a	0.0174936	0.000414922	0.00278405	0.128641	0.125212	0.170223	0.326642	0.22859
</S>	0.00324865	0.000483927	0.00719175	0.0641387	0.291355	0.317464	0.034671	0.281447
