 	les	sangliers	ont	été	tués	dans	la	chasse	</S>
a	0.783764	0.184514	0.030714	0.000438315	0.000103902	7.18099e-05	0.000309354	7.35572e-05	1.07115e-05
n	0.241424	0.645485	0.0857098	0.00838226	0.004055	0.00277016	0.00255707	0.00737749	0.00223948
g	0.0438418	0.951091	0.00225923	0.000319401	0.00034722	0.000271341	0.000266573	0.000278501	0.00132538
o	0.00317595	0.99652	0.000114047	5.22528e-05	4.70461e-05	1.37499e-05	6.79292e-06	1.07347e-05	5.95017e-05
y	0.00439121	0.990466	0.00198098	0.00159133	0.0003891	9.47497e-05	7.31625e-05	0.000176482	0.00083713
á	0.290703	0.314298	0.236873	0.0333814	0.0149177	0.00883349	0.00368848	0.00621893	0.0910861
á	0.0959862	0.0219951	0.695667	0.136713	0.0171672	0.0148514	0.00540987	0.000767869	0.011442
m	0.00851566	0.00270404	0.0562373	0.468989	0.296425	0.133052	0.0203849	0.00343038	0.010262
i	0.00550734	0.000300078	0.0183584	0.225018	0.378724	0.279972	0.0468453	0.00484094	0.0404345
w	0.00059199	0.00042127	0.00233291	0.25108	0.618471	0.108842	0.00745652	0.00333743	0.00746674
á	0.000437871	0.00160896	0.00222548	0.173388	0.662789	0.101918	0.0245725	0.0198456	0.0132148
m	0.00399142	0.000494784	0.0294057	0.572634	0.223629	0.0719811	0.018474	0.00240011	0.0769897
o	0.0128943	5.28941e-05	0.00684245	0.197107	0.456847	0.17582	0.0515169	0.00158576	0.0973329
y	0.00283737	0.0049511	0.0070152	0.0894593	0.0785253	0.148851	0.224321	0.390778	0.0532618
ó	0.00350111	0.0094257	0.00130028	0.0548027	0.105065	0.407731	0.177924	0.193709	0.0465408
o	0.00506342	0.00472245	0.0101787	0.0603631	0.0330049	0.264413	0.130044	0.3341	0.158109
</S>	0.000137834	6.3095e-05	0.000168809	0.00518979	0.0178811	0.448946	0.23217	0.127966	0.167478
