 	il	aime	manger	la	sauce	d'	arachide	</S>
w	0.979297	0.00647814	0.0019941	0.00462261	0.00439941	0.00306876	0.00012413	1.60836e-05
a	0.963378	0.00689139	0.00164071	0.00879281	0.0121462	0.00695831	0.000176752	1.60802e-05
a	0.300675	0.570956	0.069237	0.0173417	0.0101419	0.0110497	0.00442114	0.0161773
d	0.171443	0.501265	0.149138	0.0574735	0.0149949	0.0168992	0.00444828	0.0843388
í	0.0450986	0.597495	0.150693	0.032255	0.00404287	0.00580344	0.00206484	0.162547
l	0.0228587	0.331398	0.309582	0.0629276	0.0194696	0.0204157	0.00963258	0.223716
a	0.129585	0.454071	0.217134	0.0549302	0.0166397	0.0241639	0.00851614	0.0949599
p	0.0321784	0.75235	0.163756	0.0215153	0.00652469	0.00412706	0.0104216	0.00912696
ó	0.0138347	0.679451	0.228757	0.0344089	0.00696787	0.00154516	0.015085	0.0199501
s	0.00378111	0.741257	0.231788	0.0109073	0.00274936	0.00169743	0.00267061	0.00514959
á	0.00192211	0.474442	0.452791	0.0233827	0.0092509	0.00434524	0.00510354	0.0287625
ω	0.311074	0.0400222	0.237298	0.172095	0.112964	0.0815974	0.0202538	0.0246963
d	0.0105793	0.16938	0.663154	0.124897	0.0134572	0.00446461	0.00953662	0.00453113
z	0.000413272	0.0646122	0.65366	0.19829	0.018146	0.0073935	0.0245348	0.0329504
á	0.00353483	0.0679512	0.788725	0.114188	0.00541512	0.00170668	0.00417681	0.0143017
ε	0.00374518	0.00821692	0.115229	0.164264	0.127897	0.240749	0.0949087	0.244989
m	0.00191437	0.0144838	0.192739	0.347523	0.127695	0.0846359	0.194437	0.0365718
b	0.000954068	0.0235843	0.192287	0.371177	0.164819	0.063375	0.0297194	0.154084
ώ	0.00209648	0.00543669	0.077969	0.482995	0.204311	0.0319117	0.101104	0.0941759
t	5.97584e-05	0.00113965	0.0589092	0.24358	0.482986	0.0553968	0.0447305	0.113198
ώ	0.0035516	0.0094886	0.0703574	0.0931708	0.0593148	0.121511	0.101666	0.54094
</S>	0.000180218	0.00161079	0.0278185	0.0940194	0.256815	0.211986	0.146131	0.261439
