 	c'	est	avec	des	tiges	de	bois	ou	de	métal	que	l'	on	renforce	le	manche	d'	une	hache	</S>
p	0.484578	0.208932	0.0642222	0.0393902	0.0281081	0.0235673	0.0490846	0.052537	0.0410484	0.000652719	0.00235145	0.000701656	0.00222991	0.000279097	0.000987972	3.07678e-05	0.000166847	0.0010012	9.6937e-05	3.38501e-05
á	0.188656	0.396309	0.0640311	0.0412209	0.0884801	0.00886303	0.08262	0.0738409	0.0113306	0.00518033	0.00287365	0.00475107	0.00202342	0.00158619	0.00280971	0.00320188	0.00339029	0.00673966	0.0118499	0.00024194
n	0.0121815	0.0406357	0.0249661	0.0325102	0.0871701	0.0429126	0.165949	0.327734	0.0874131	0.0561667	0.0291836	0.0339083	0.00498462	0.0326172	0.00476909	0.00571185	0.00103209	0.000626803	0.00158878	0.00793797
d	0.0835021	0.101951	0.0595589	0.0609716	0.142	0.130001	0.15541	0.151317	0.0241335	0.00203312	0.0182419	0.0137763	0.0086593	0.0131779	0.00642649	0.00572959	0.00240932	0.00108735	0.0016509	0.0179627
e	0.0937904	0.052931	0.0200534	0.0594854	0.377192	0.0402713	0.0341037	0.19899	0.019985	0.000306836	0.0130484	0.0139522	0.00253477	0.0336195	0.00427414	0.00169688	0.00141261	0.000628283	0.00076207	0.0309626
y	0.12355	0.106535	0.246	0.178088	0.0469353	0.0777832	0.0359019	0.0318229	0.0446622	0.000682967	0.0157933	0.00589843	0.0136858	0.00649354	0.0103893	0.00232036	0.0108841	0.00390586	0.000157392	0.0385094
á	0.170504	0.0842356	0.0906615	0.101782	0.201785	0.0597542	0.022038	0.103374	0.0654621	0.000574478	0.0424494	0.00937473	0.00820539	0.00870309	0.00862959	0.00560523	0.00275179	0.00242514	0.0014641	0.0102216
d	0.191705	0.066148	0.104644	0.154174	0.192254	0.0462973	0.0379476	0.0551543	0.0402502	0.00412485	0.0304238	0.0166608	0.0101287	0.0182507	0.0066844	0.00691052	0.00201182	0.00246413	0.00471398	0.00905153
z	0.00570934	0.00997889	0.0229846	0.060817	0.679265	0.058992	0.0361801	0.0273678	0.00723379	0.00928322	0.0109079	0.00719139	0.00213952	0.0465188	0.00259644	0.00259002	0.00121471	0.000418016	0.00132543	0.00728629
w	0.0170576	0.0111097	0.0199936	0.0700914	0.651194	0.030519	0.0302133	0.100074	0.0106128	0.00571021	0.0123879	0.00828147	0.00146658	0.0181925	0.00178227	0.00188996	0.00111553	0.00102485	0.00383957	0.00344393
é	0.0198895	0.0105206	0.044457	0.212081	0.444963	0.0476274	0.0176077	0.0636339	0.0472565	0.00776149	0.0218439	0.0162042	0.00218446	0.0304393	0.00304574	0.00108811	0.00116615	0.00168073	0.00186732	0.00468169
m	0.011499	0.00896027	0.095501	0.364562	0.252002	0.0831341	0.0270612	0.0353703	0.0387185	0.0114241	0.0140588	0.00856448	0.00604156	0.00988327	0.00312815	0.00158136	0.00258097	0.00266953	0.000862616	0.0223965
b	0.0341378	0.0146617	0.0612867	0.252184	0.158975	0.155253	0.0523318	0.0644182	0.096968	0.0533996	0.0246961	0.00743411	0.00465159	0.005938	0.00139361	0.000249817	0.000851316	0.000364852	6.89887e-05	0.0107354
é	0.00344005	0.00393008	0.0360693	0.178095	0.382747	0.135088	0.0666386	0.0596689	0.0481311	0.0111185	0.0181204	0.0262392	0.00618654	0.00438287	0.00485385	0.00154423	0.00222466	0.00194927	0.000897951	0.0086743
