 	je	t'	appellais	à	haute	voix	mais	tu	ne	m'	écoutais	pas	</S>
n	0.73926	0.0999339	0.0325264	0.0465314	0.0160311	0.0160807	0.0186654	0.0121568	0.00987969	0.0035276	0.00389305	0.00138372	0.000130564
g	0.978189	0.0189954	0.000274161	0.000176522	9.33546e-05	0.000362475	0.000187737	0.00124944	4.54742e-05	0.000295565	8.39326e-05	4.48381e-05	2.28803e-06
á	0.893974	0.0913851	0.00604273	0.000165661	0.000215437	0.00128194	0.000631997	0.00470211	0.000116415	0.00120474	0.000211463	6.12485e-05	6.95705e-06
í	0.0479986	0.405344	0.00808057	0.0438174	0.0141387	0.00633322	0.0153678	0.0831683	0.0276396	0.124545	0.0859805	0.0202055	0.117381
d	0.00553688	0.106318	0.855009	0.0112741	0.00841162	0.0036493	0.00100794	0.000957379	0.00135125	0.00194321	0.00220161	0.000653677	0.0016863
z	0.0112471	0.401278	0.456093	0.0439233	0.0145804	0.0085646	0.00264472	0.00330919	0.00576528	0.014395	0.0129777	0.000761122	0.0244602
e	0.0575467	0.211681	0.678349	0.0160469	0.00109912	0.0281123	0.00174313	0.00115976	0.000511593	0.00128794	0.00147325	0.000100761	0.000889175
e	0.0120638	0.10007	0.44012	0.199229	0.0403575	0.0392746	0.0138024	0.00467639	0.0300252	0.015965	0.0294526	0.0287988	0.0461645
l	0.00227778	0.0568881	0.0308922	0.422317	0.137624	0.149498	0.0152488	0.00743946	0.0234714	0.0177076	0.0226264	0.0161878	0.0978212
í	0.00175215	0.0223485	0.0154972	0.351128	0.160005	0.121476	0.0398493	0.0189454	0.0475977	0.0468558	0.0435662	0.0154652	0.115513
i	0.00183517	0.0263058	0.0126769	0.441592	0.123499	0.0839969	0.0157228	0.0491492	0.0254723	0.0836751	0.0508073	0.00708923	0.078178
b	0.00010015	0.00899657	0.00830492	0.410489	0.320371	0.145897	0.0317835	0.0027914	0.00896135	0.00540855	0.00710156	0.00761045	0.0421835
y	0.000104021	0.00358366	0.00113544	0.0818023	0.784979	0.035142	0.0140216	0.00178237	0.0113181	0.00502324	0.0155702	0.0149683	0.03057
é	3.46921e-05	0.00142968	0.00333432	0.113582	0.59561	0.17853	0.0238056	0.00221921	0.0117124	0.00423285	0.0109361	0.00872733	0.0458451
é	4.47982e-05	0.000925289	0.00216951	0.0969876	0.227391	0.232275	0.0356031	0.00377242	0.0283849	0.00940011	0.0212627	0.0323501	0.309434
l	5.66111e-05	0.00392066	0.000678582	0.230883	0.426275	0.206728	0.0541992	0.00428752	0.0175071	0.00724001	0.00923096	0.0021447	0.036848
á	0.00112668	0.00435263	0.000695927	0.0948355	0.305275	0.199676	0.0833206	0.0356484	0.0435479	0.0416617	0.0409787	0.0140182	0.134862
n	0.00770283	0.0171406	0.000998904	0.0326816	0.150255	0.280558	0.194111	0.0897748	0.0713704	0.0758632	0.041097	0.0121164	0.0263304
ω	0.0578894	0.00899605	0.000370251	0.00978356	0.032074	0.278278	0.0611095	0.410553	0.00991786	0.105712	0.0154964	0.00187493	0.00794373
n	0.00338239	0.00735826	0.0010099	0.0759358	0.102531	0.174783	0.265524	0.211132	0.0642548	0.06378	0.0168502	0.00171931	0.0117396
d	0.000777944	0.0102789	0.00127175	0.0350342	0.0319692	0.125414	0.477008	0.195358	0.0311273	0.0389077	0.0139198	0.00297474	0.0359592
z	0.00024441	0.00139859	0.00329122	0.0058248	0.0123728	0.205864	0.62681	0.0959526	0.0138685	0.00886242	0.00325093	0.00282101	0.0194392
á	3.42319e-05	0.000187931	0.00256371	0.0100461	0.00781205	0.304866	0.528016	0.0573576	0.0285551	0.00638017	0.00738214	0.00879203	0.0380066
á	4.00175e-05	0.00119114	0.00192111	0.0620754	0.0518818	0.147284	0.414771	0.0351411	0.150923	0.0139486	0.0247361	0.00825629	0.087831
n	0.000364395	0.00390604	0.000377624	0.0164335	0.0191346	0.012861	0.0910268	0.394784	0.230906	0.168532	0.0466492	0.00429227	0.0107328
ω	0.00520448	0.0166309	0.000325478	0.00815583	0.00417126	0.0129223	0.0402611	0.67574	0.0480494	0.160971	0.0154639	0.000756015	0.0113487
ó	0.00135895	0.00198673	0.000277543	0.0195122	0.0213264	0.0179003	0.160928	0.224609	0.33615	0.11107	0.0534425	0.00865396	0.0427832
d	3.32255e-05	0.00396106	0.0057852	0.0469379	0.0225351	0.0184363	0.118302	0.0513908	0.524918	0.0789415	0.0953688	0.0247999	0.00859072
z	0.00014882	0.00101944	0.0121185	0.0208797	0.0080573	0.035061	0.109363	0.0317888	0.27104	0.0719081	0.068566	0.06731	0.30274
e	9.03838e-05	0.00054099	0.0343681	0.0126484	0.00587367	0.28904	0.306335	0.0389799	0.201468	0.0225347	0.0388365	0.0138595	0.0354255
o	3.26653e-05	0.00169156	8.22129e-05	0.00387695	0.00530556	0.00912067	0.0386689	0.0607508	0.437225	0.183619	0.131884	0.0652738	0.0624682
b	3.46967e-06	0.000737443	0.00182266	0.00944091	0.0106387	0.00359881	0.0251504	0.0161713	0.378881	0.139774	0.191698	0.103485	0.118598
ó	1.43737e-05	0.000545372	0.000301487	0.0112688	0.0172785	0.0027563	0.00883251	0.011107	0.213439	0.0900527	0.275173	0.253454	0.115776
n	7.54557e-07	0.000124478	0.000194125	0.00175004	0.00529325	0.00158219	0.025048	0.00309321	0.24261	0.0264083	0.125724	0.223221	0.34495
d	2.08285e-05	0.000201976	0.000769538	0.00420437	0.00589863	0.00343919	0.074814	0.0131555	0.168158	0.0190895	0.0560955	0.182024	0.472129
a	0.000118668	0.00106937	0.000766226	0.00780805	0.00656738	0.00886759	0.14933	0.0252589	0.209256	0.0263863	0.076249	0.16212	0.326202
k	0.000244896	0.000582326	5.02061e-05	0.00382643	0.00180985	0.0015292	0.0142306	0.0573415	0.105629	0.173131	0.249003	0.0803987	0.312223
a	0.000101442	3.94253e-05	4.1004e-05	0.00333109	0.00727159	0.00163783	0.00857209	0.0172804	0.12011	0.0429178	0.167343	0.358832	0.272522
á	3.14441e-05	6.44691e-05	2.10675e-05	0.00102626	0.00151149	0.001264	0.0124911	0.0174364	0.0956941	0.0444661	0.0936488	0.175829	0.556516
