 	c'	est	lui	l'	assassin	</S>
o	0.313877	0.432804	0.132331	0.073709	0.00166289	0.0456151
b	0.034032	0.160993	0.0538463	0.0262107	0.649908	0.0750099
o	0.0236508	0.143117	0.0795508	0.0539731	0.68412	0.0155885
m	0.00572482	0.0481339	0.0338805	0.0939989	0.76997	0.0482916
i	0.0412919	0.0386439	0.0561406	0.148356	0.199318	0.516249
m	0.0777831	0.088426	0.238907	0.134963	0.0316517	0.428269
b	0.0257963	0.0185461	0.100624	0.163757	0.469489	0.221787
í	0.00993269	0.016419	0.0703575	0.407307	0.232091	0.263893
w	0.029113	0.0396741	0.143541	0.289324	0.178804	0.319544
a	0.088246	0.0900111	0.111506	0.484984	0.0266964	0.198556
</S>	0.0177198	0.0182698	0.0916492	0.348457	0.0458897	0.478014
