 	rassemble	ces	feuilles	qui	sont	dispersées	là	</S>
m	0.838769	0.115171	0.031554	0.00841245	0.00414116	0.00124761	0.000533079	0.000172191
ó	0.392871	0.0790022	0.0440128	0.0458971	0.0488802	0.0110625	0.0131524	0.365121
b	0.864679	0.0458027	0.0615378	0.0109837	0.0074593	0.00177864	0.00453724	0.00322201
v	0.848975	0.0529515	0.0794485	0.00816834	0.00236394	0.0011492	0.00463719	0.00230603
i	0.902114	0.0634894	0.0299723	0.00284031	0.000429994	0.000347135	0.000559055	0.000247745
á	0.334776	0.395595	0.120895	0.0321413	0.00648813	0.00569621	0.0104693	0.0939393
k	0.02293	0.551675	0.236389	0.133961	0.0401552	0.00608652	0.00235188	0.00645091
á	0.213614	0.10483	0.601565	0.0203013	0.00369743	0.0186447	0.0227085	0.0146393
s	0.0751345	0.113432	0.583329	0.0534693	0.0234224	0.0302861	0.0466478	0.0742787
i	0.0945892	0.297753	0.458043	0.0363311	0.0124001	0.0166559	0.00689274	0.0773357
y	0.0090353	0.18525	0.166077	0.407086	0.157028	0.0258662	0.00631266	0.0433457
é	0.0121209	0.208001	0.247727	0.301993	0.182892	0.0135328	0.0133926	0.0203401
é	0.00951098	0.169723	0.279548	0.315337	0.16611	0.0171715	0.0167937	0.025806
d	0.0160409	0.0231966	0.0632589	0.0987167	0.344006	0.391705	0.0384902	0.0245855
i	0.000774689	0.00516799	0.00770926	0.0590319	0.158049	0.504304	0.0611087	0.203855
b	0.000323973	0.00544624	0.00818607	0.0530894	0.113278	0.581486	0.125597	0.112595
h	0.0168103	0.0645795	0.092042	0.0800461	0.0826114	0.251128	0.317109	0.0956737
o	0.0137941	0.0102684	0.0382561	0.0336739	0.0137179	0.381931	0.192577	0.315782
o	0.000618227	0.00169431	0.00906255	0.0217962	0.0235711	0.522034	0.206815	0.214409
b	0.00299881	0.0118645	0.00828593	0.0365376	0.103249	0.164741	0.281281	0.391041
h	0.0196241	0.0339985	0.0612946	0.0313233	0.0256782	0.272299	0.470287	0.085495
o	0.0174323	0.0151879	0.0155627	0.0210693	0.0109497	0.290149	0.444629	0.18502
o	0.000610084	0.00137272	0.00161792	0.00754865	0.012779	0.246881	0.260598	0.468593
y	0.00335253	0.0286089	0.0170589	0.047803	0.0725639	0.0752772	0.312306	0.44303
é	0.00591745	0.0525472	0.0393527	0.0714793	0.0720148	0.303653	0.184617	0.270418
</S>	0.00404274	0.031332	0.0157201	0.0272988	0.0368794	0.0477657	0.195944	0.641017
