 	il	coupe	le	bout	du	bâton	</S>
w	0.963267	0.0111025	0.0133073	0.00358313	0.00747912	0.00116403	9.65016e-05
a	0.96354	0.000759511	0.0152002	0.00546749	0.0104149	0.00456705	5.12815e-05
l	0.652752	0.216805	0.0577433	0.0264933	0.0212	0.000798171	0.0242082
á	0.294208	0.0345243	0.183189	0.0839568	0.0416543	0.00575567	0.356712
a	0.649952	0.0490414	0.0843287	0.0367806	0.0384397	0.0137636	0.127694
k	0.0084331	0.963861	0.0138221	0.00555332	0.00181425	0.000783064	0.0057327
y	0.00705648	0.959173	0.0192008	0.00629743	0.00136891	0.000579435	0.00632352
é	0.0245932	0.824006	0.10355	0.0173443	0.0139303	0.00664171	0.0099353
n	0.0251764	0.414719	0.385398	0.0605907	0.0397058	0.0104369	0.0639734
á	0.0705708	0.602176	0.28208	0.0207714	0.00418546	0.000837093	0.0193801
t	0.0667333	0.0162778	0.67615	0.166285	0.0504286	0.0147699	0.00935557
s	0.0333054	0.14552	0.624573	0.110412	0.0313127	0.0156249	0.039252
á	0.000680065	0.17226	0.653029	0.10459	0.0467298	0.00346079	0.0192507
a	0.00926982	0.0296039	0.378753	0.164595	0.0225238	0.00439037	0.390864
y	0.0167566	0.00941577	0.308054	0.408175	0.171078	0.0127232	0.0737978
á	0.0586116	0.0172247	0.228205	0.345302	0.225042	0.00373216	0.121883
i	0.0297358	0.00257164	0.0622435	0.328503	0.536444	0.0191685	0.0213339
b	0.0047904	0.0189563	0.033617	0.160151	0.366086	0.345574	0.0708256
v	0.00350351	0.00235893	0.0102014	0.0214427	0.0317306	0.917033	0.0137301
ú	0.000400335	0.00161137	0.00235134	0.00460024	0.00716169	0.977713	0.00616237
a	0.000601538	0.000628307	0.0188012	0.0885132	0.262092	0.365027	0.264336
</S>	0.00199286	0.00199763	0.0347161	0.0430552	0.242158	0.321669	0.354411
