 	j'	ai	fini	par	dormir	dans	la	cuisine	puisque	j'	ai	reçu	des	visiteurs	</S>
n	0.907601	0.0555335	0.0036529	0.0050042	0.00487288	0.00715621	0.00517047	0.00367182	0.00205673	0.00335097	0.000779778	0.000273686	0.000567396	0.000275936	3.21594e-05
g	0.973478	0.0207733	0.0030053	0.00096906	3.62828e-05	0.000358387	6.37175e-05	0.000106677	5.6426e-05	0.000907104	5.25584e-05	1.47723e-05	1.59708e-05	0.000158402	3.87615e-06
á	0.876077	0.0507045	0.0591624	0.00574686	0.000450986	0.00110881	0.000558771	0.00040079	0.000124296	0.00445337	0.000200506	0.000126371	0.000124693	0.000749684	1.05121e-05
í	0.0496162	0.317044	0.0609185	0.0844101	0.0126533	0.0176851	0.0198205	0.00576844	0.00281125	0.0351412	0.039462	0.0288795	0.0464525	0.0478114	0.231526
k	0.00132602	0.0287823	0.850208	0.0791011	0.0256891	0.00244485	0.000886529	0.000321379	0.000121484	0.000178624	0.00097761	0.00269007	0.00209004	0.000901952	0.00428114
i	0.00210734	0.0502961	0.424056	0.222696	0.221402	0.0206641	0.0165359	0.00530072	0.00169657	0.000302085	0.00335622	0.00926285	0.00395105	0.00653147	0.0118426
i	0.000143649	0.0107911	0.203866	0.143805	0.587802	0.0293362	0.00991735	0.00273729	0.000511654	0.000114434	0.000336445	0.00259309	0.00136572	0.00142173	0.00525941
s	0.0105332	0.165551	0.114426	0.347497	0.161671	0.131658	0.0250382	0.00725463	0.00502141	0.0064236	0.00656754	0.0032416	0.0059011	0.00257692	0.00663871
a	0.00235848	0.0716311	0.379494	0.119534	0.0642452	0.143018	0.023655	0.040757	0.0345151	0.0217181	0.0243756	0.0151808	0.0109177	0.00358444	0.0450151
o	0.00596512	0.159932	0.047462	0.0526499	0.0626786	0.327704	0.0585476	0.0326515	0.0223479	0.102863	0.0440749	0.0101968	0.0145188	0.00912741	0.0492797
b	0.000131443	0.00282843	0.0199675	0.177177	0.578622	0.101278	0.0639137	0.0335209	0.00931231	0.000721134	0.00056325	0.00248147	0.0010215	0.00341259	0.00504919
v	2.86248e-05	0.000949055	0.000672902	0.0540422	0.827481	0.0366831	0.0519585	0.00902065	0.00169576	7.56237e-05	0.000307356	0.00135511	0.000438989	0.0129031	0.00238789
á	3.37123e-06	0.000775001	0.000449853	0.0457361	0.921573	0.0212409	0.00695266	0.000940249	0.000163594	5.23475e-06	4.19386e-05	0.000181059	0.00011306	0.00158328	0.000240423
f	7.8226e-05	0.000920326	0.00143116	0.0104592	0.399841	0.247787	0.146963	0.0724351	0.0207082	0.000924229	0.0018701	0.00721678	0.00343943	0.00948374	0.0764425
u	4.15078e-05	0.000415496	0.00147487	0.0132181	0.0245928	0.112866	0.207521	0.380637	0.187901	0.00345087	0.00733837	0.0128729	0.00187303	0.00301671	0.0427794
l	0.000108843	0.000225843	0.000150385	0.00480591	0.0692917	0.256487	0.297921	0.271913	0.0665844	0.000376303	0.00037105	0.00222287	0.00157622	0.00311361	0.0248524
ú	0.000158267	0.000289673	0.000491936	0.00430431	0.0541851	0.198266	0.239856	0.306548	0.160726	0.00258814	0.00222934	0.00619447	0.00323337	0.00383806	0.017092
s	2.55426e-05	0.000787821	0.000327884	0.00655256	0.0450245	0.378634	0.33906	0.107357	0.0831258	0.0020798	0.00253037	0.00445279	0.00737319	0.00225531	0.020414
á	0.000589439	0.000986808	0.00122238	0.0049811	0.00572413	0.190155	0.167301	0.264716	0.25708	0.0364926	0.0141875	0.0116056	0.00908216	0.00903255	0.0268454
k	0.000419366	0.0022236	0.000360113	0.00137666	0.000917494	0.0499228	0.172536	0.366582	0.29818	0.073131	0.0107601	0.00362671	0.00496369	0.00999772	0.00500245
ú	1.9408e-05	9.55434e-05	6.7975e-05	0.000248845	0.0006563	0.0119334	0.156483	0.560221	0.245193	0.00146857	0.00134762	0.0059769	0.000932657	0.00655865	0.00879679
k	0.00072637	0.000212347	7.5794e-05	0.000993	0.00929726	0.0467029	0.119098	0.567955	0.24306	0.000947509	0.000501397	0.00163983	0.000697226	0.0033204	0.00477265
u	0.0012388	0.0002669	3.81762e-05	0.000303997	0.00509961	0.0408242	0.0603113	0.52602	0.308062	0.000993161	0.00219824	0.00675746	0.000935319	0.0030981	0.0438521
t	0.00011151	0.00106304	6.57259e-05	0.00192981	0.00400393	0.0619491	0.129108	0.130142	0.385356	0.0477109	0.0550833	0.0430717	0.0455993	0.00971418	0.0850909
s	0.00126339	0.000745945	0.00011273	0.000351228	0.000237153	0.00443584	0.0221686	0.163458	0.597316	0.0454217	0.0578157	0.0342363	0.00480131	0.00471427	0.0629223
í	0.000215679	0.000278341	0.000159847	0.000847086	0.00487214	0.0221958	0.0531562	0.265473	0.447967	0.0459363	0.0339789	0.0302616	0.00677337	0.0144552	0.073429
n	0.000412963	0.00142616	0.000683666	0.00101569	0.00617158	0.040996	0.0545449	0.187029	0.261304	0.0950477	0.0850418	0.0683967	0.0167604	0.020425	0.160745
a	0.00109255	0.00525125	0.00134141	0.0015921	0.00279675	0.0127342	0.0164739	0.0527935	0.0736214	0.42793	0.188447	0.0576956	0.0157932	0.0298783	0.11256
í	0.00028071	0.00148936	0.000533569	0.00123437	0.000598627	0.00997826	0.0210531	0.0300358	0.11005	0.196595	0.26168	0.139956	0.107502	0.0171107	0.101903
d	0.000285344	0.00612333	0.0138972	0.0155986	0.00764837	0.0171388	0.0129717	0.00682232	0.0120176	0.0588631	0.134648	0.236292	0.373286	0.0175296	0.0868786
i	1.77821e-05	0.000988632	0.00313963	0.00547144	0.0227958	0.0177785	0.00492593	0.00306259	0.00435361	0.0152292	0.0244837	0.0930144	0.159481	0.0256261	0.619631
i	5.49914e-06	0.000435362	0.000378877	0.00175532	0.00507471	0.0393258	0.0189837	0.0300393	0.0334588	0.0234456	0.0449039	0.180439	0.451402	0.0533898	0.116962
a	0.000344659	0.00200981	0.00214632	0.00502287	0.00679771	0.0126632	0.00794804	0.00915545	0.00688753	0.0158612	0.0260701	0.15912	0.272686	0.281099	0.192189
b	3.34317e-06	0.000138102	0.000108853	0.00126039	0.00198423	0.0041438	0.0054947	0.00501728	0.00456834	0.0049912	0.00831239	0.095722	0.294716	0.465768	0.107772
v	3.0032e-05	0.00088819	0.000553365	0.00246976	0.00461986	0.0211274	0.0182342	0.0052766	0.00165999	0.00484557	0.0353172	0.178823	0.188307	0.489049	0.0487996
ú	1.16095e-05	4.80111e-05	5.34583e-06	0.000103896	0.000952932	0.00418696	0.00545163	0.002189	0.00136153	0.00188688	0.0111387	0.0449267	0.0355633	0.877665	0.0145082
r	0.00214469	0.000327222	4.42272e-05	0.000241532	0.000793528	0.0185458	0.00785138	0.0201107	0.0193925	0.022652	0.0520758	0.134859	0.096273	0.419504	0.205184
u	0.00171284	0.000230849	2.33206e-05	0.000261524	0.00073727	0.00546088	0.00506062	0.0234045	0.0235165	0.0107779	0.0263393	0.15488	0.08292	0.545456	0.119218
</S>	0.000191591	0.000197244	1.74803e-05	0.000180289	0.000136754	0.00127128	0.002189	0.00346267	0.0109116	0.0245139	0.0555972	0.140238	0.151838	0.191023	0.418233
