 	cette	parcelle-ci	est	la	mienne	</S>
e	0.735286	0.0991959	0.0730498	0.0782413	0.0107893	0.00343798
f	0.00314519	0.992975	0.00301504	0.000392106	0.000185374	0.000287063
u	0.0236749	0.784907	0.161064	0.0100763	0.000875281	0.019403
n	0.0108445	0.862494	0.0766853	0.0125228	0.000541944	0.0369112
d	0.0660164	0.455305	0.175219	0.0261292	0.00627469	0.271055
u	0.603303	0.267598	0.0238177	0.0578016	0.0232483	0.0242311
y	0.493653	0.112651	0.310694	0.055178	0.001597	0.0262266
é	0.821697	0.0337659	0.0620701	0.0619146	0.00228141	0.0182711
y	0.776655	0.01532	0.0358818	0.116197	0.0517228	0.00422314
á	0.626577	0.0338317	0.0580661	0.150251	0.113387	0.0178866
n	0.137721	0.00455678	0.0212087	0.521328	0.309581	0.00560415
a	0.0289547	0.00111731	0.0120439	0.155451	0.785006	0.0174272
á	0.0228752	0.00329602	0.508469	0.285266	0.0320333	0.14806
</S>	0.0085017	0.0089018	0.153798	0.112917	0.0448245	0.671057
