 	ces	jours-ci	ce	bébé	parle	dans	le	sommeil	</S>
m	0.583353	0.355742	0.0301638	0.0166222	0.00614017	0.00549313	0.00146355	0.000538618	0.000483316
w	0.0385635	0.933139	0.0167125	0.00935893	0.000137905	0.000302361	0.000308439	8.95437e-05	0.00138743
á	0.00845939	0.977759	0.00818456	0.00442626	0.000790777	6.45628e-05	4.00469e-05	0.0001409	0.000134563
n	0.0870176	0.906402	0.00358957	0.00226339	0.000153755	0.00013071	7.55849e-05	3.57628e-05	0.000331545
a	0.233903	0.467021	0.113062	0.0908649	0.00415921	0.00339911	0.00377276	0.000648618	0.083169
y	0.662227	0.112754	0.144321	0.0440225	0.0102453	0.00659079	0.00598934	0.00273459	0.0111153
o	0.334653	0.0752754	0.378058	0.0972645	0.0370099	0.0281042	0.0179502	0.00873446	0.0229498
b	0.642529	0.12595	0.16749	0.0331899	0.00484902	0.0042829	0.00474172	0.00162182	0.0153456
o	0.469042	0.201326	0.190957	0.0623981	0.0121493	0.0235439	0.0168915	0.00854407	0.0151489
s	0.216889	0.153058	0.468033	0.12123	0.0189497	0.00763681	0.00403025	0.00113597	0.00903678
i	0.77261	0.0239571	0.124267	0.0252784	0.00910202	0.0106873	0.00583506	0.00542128	0.0228416
w	0.0607764	0.0328458	0.584337	0.255377	0.0166223	0.0209526	0.0103911	0.00184602	0.0168521
ó	0.20226	0.0633828	0.434732	0.108033	0.052471	0.0305064	0.0383553	0.00720494	0.0630542
a	0.0431475	0.0216329	0.406869	0.225996	0.0917464	0.0578443	0.0514214	0.00536896	0.095973
d	0.0079198	0.00118353	0.146435	0.295869	0.296168	0.15776	0.0353566	0.00251849	0.0567907
í	0.0261559	0.00245321	0.176614	0.422586	0.0897615	0.109598	0.0258237	0.000915206	0.146093
l	0.0489489	0.00116976	0.055686	0.156429	0.228653	0.314086	0.0851914	0.0225702	0.0872653
i	0.0105874	0.00146572	0.0548979	0.154247	0.2906	0.170839	0.0642849	0.00591717	0.247161
l	0.00793933	0.00180023	0.0274055	0.0705125	0.516453	0.182242	0.064518	0.0583398	0.0707898
á	0.00458544	0.00106467	0.0349816	0.101482	0.487378	0.126445	0.0722884	0.0770721	0.0947031
l	0.00720148	0.00224967	0.0372066	0.109004	0.244686	0.185219	0.129279	0.0554755	0.229678
á	0.00357728	0.00125393	0.0230617	0.0706811	0.449637	0.232353	0.112307	0.0419483	0.0651806
a	0.0197388	0.00476108	0.0271442	0.0490189	0.0949455	0.384004	0.263002	0.100805	0.0565801
s	0.00141397	0.000946534	0.0116202	0.0244555	0.117343	0.366554	0.1883	0.26437	0.024998
í	0.00982748	0.00183206	0.0378862	0.0613565	0.0530367	0.270287	0.143157	0.207993	0.214624
k	0.00543778	0.000693933	0.0148525	0.0270067	0.0150168	0.148888	0.146644	0.199759	0.441701
ω	0.000152299	4.83099e-05	0.000847809	0.00174577	0.0685735	0.0996312	0.0750431	0.649984	0.103974
ω	4.38715e-05	5.41791e-05	0.000796973	0.00191397	0.0367828	0.0243763	0.0542571	0.831386	0.0503886
m	0.00409147	0.00127811	0.00873641	0.0123627	0.00635097	0.164143	0.356109	0.208173	0.238756
í	0.222798	0.0955549	0.0333064	0.0146351	0.00162358	0.0585551	0.18483	0.0912593	0.297438
</S>	0.0172562	0.00308902	0.0109551	0.011621	0.00545406	0.0730748	0.164729	0.226203	0.487618
