 	le	lutteur	a	fait	tombé	son	adversaire	</S>
o	0.751512	0.205048	0.0250523	0.00981113	0.0048627	0.00256516	0.000803371	0.000344766
m	0.0688541	0.748801	0.11279	0.0408655	0.0112176	0.002631	0.011362	0.00347852
a	0.0158556	0.978147	0.0034532	0.00196256	0.000201478	0.000112734	0.00011495	0.000152219
n	0.209807	0.675547	0.034091	0.0255653	0.00725828	0.0038443	0.00861715	0.0352697
i	0.319894	0.498551	0.0687783	0.0358782	0.00474546	0.00976558	0.000685965	0.0617018
á	0.0623695	0.0369449	0.622293	0.154832	0.0684128	0.0255601	0.00102315	0.028564
w	0.0083865	0.0101436	0.210248	0.339059	0.330138	0.063577	0.00691141	0.0315358
ú	0.0043978	0.00515629	0.155983	0.569974	0.200655	0.0288178	0.00139898	0.0336172
n	0.0546542	0.0124726	0.093113	0.445258	0.258987	0.0676614	0.00400862	0.0638453
d	0.03451	0.0203043	0.152911	0.484929	0.188992	0.100923	0.000655677	0.0167745
z	0.0821411	0.0273197	0.108824	0.336478	0.258006	0.166613	0.00226556	0.018353
u	0.0940274	0.00976252	0.0710723	0.298869	0.276556	0.232936	0.00129285	0.0154841
o	0.0192732	0.00709628	0.0940906	0.114659	0.212429	0.446367	0.015034	0.0910518
b	0.00424054	0.0168491	0.0147193	0.0417322	0.184722	0.105883	0.55152	0.0803336
i	0.000311712	0.000508932	0.000704314	0.00227911	0.00795723	0.00409739	0.981846	0.00229521
a	0.000507921	0.000809818	0.0065535	0.05102	0.0670297	0.0428966	0.593204	0.237979
</S>	0.00976662	0.000876788	0.00957191	0.0171664	0.0447683	0.606251	0.029553	0.282046
