 	la	houe	de	maman	est	perdue	</S>
w	0.67991	0.191701	0.100508	0.0126049	0.0147015	0.000382122	0.00019277
ω	0.39266	0.354025	0.161575	0.0457432	0.0422685	0.00363649	9.14892e-05
m	0.375746	0.442494	0.0957127	0.0298771	0.018148	0.0132793	0.0247422
ω	0.255196	0.152476	0.0850784	0.121103	0.30019	0.023422	0.0625348
y	0.148781	0.241898	0.32893	0.129252	0.0663574	0.0379842	0.0467975
a	0.104269	0.467182	0.170765	0.205008	0.0343515	0.00749487	0.0109297
n	0.0306221	0.162604	0.617497	0.0924294	0.0205357	0.0195092	0.0568022
g	0.0141428	0.0869894	0.123712	0.755823	0.00466386	0.00671989	0.00794903
ó	0.00306828	0.0216524	0.0517749	0.882477	0.00402023	0.0289775	0.0080301
o	0.00532681	0.0207251	0.0422365	0.824372	0.0238044	0.0436912	0.0398437
y	0.0135969	0.0422345	0.304113	0.421292	0.182004	0.0259832	0.0107764
a	0.0570433	0.17846	0.272564	0.107554	0.349669	0.0206056	0.0141032
n	0.0229318	0.0720783	0.550902	0.0529765	0.206855	0.0780089	0.0162474
g	0.00260072	0.0582888	0.0804565	0.612383	0.0332585	0.18151	0.0315028
á	0.00157289	0.0182232	0.0970454	0.23035	0.0449758	0.447904	0.159929
á	0.00300197	0.025243	0.196324	0.0451837	0.568755	0.044666	0.116826
m	0.00401188	0.00854671	0.006828	0.00435959	0.368006	0.326692	0.281555
i	0.00304408	0.00681351	0.00613334	0.0015446	0.412437	0.397833	0.172194
l	0.0015635	0.00184101	0.00113887	0.00143182	0.108625	0.759041	0.126358
é	0.00135281	0.00457294	0.00125729	0.0025945	0.0365343	0.858733	0.0949553
m	0.00128291	0.00292445	0.00457462	0.00250994	0.0913597	0.511198	0.386151
b	0.000791259	0.00126186	0.000907029	0.000436999	0.0305894	0.565646	0.400367
a	0.00857062	0.0104251	0.0166619	0.00362796	0.069775	0.409472	0.481467
</S>	0.00467015	0.0167696	0.0553025	0.00586222	0.143713	0.162579	0.611103
