 	il	joue	du	balafon	</S>
w	0.846858	0.0968637	0.0508693	0.00484282	0.000566229
a	0.916015	0.0360105	0.0424322	0.00402194	0.00152019
l	0.276053	0.452957	0.227047	0.0164821	0.0274615
á	0.235942	0.240431	0.0908938	0.102583	0.33015
a	0.302896	0.139778	0.170904	0.201359	0.185063
b	0.0202846	0.70879	0.163969	0.062993	0.0439635
έ	0.164656	0.69353	0.0658295	0.0110034	0.064981
r	0.00394234	0.271762	0.239439	0.0980045	0.386852
ε	0.0582168	0.271304	0.345886	0.0744222	0.250171
l	0.0193935	0.239992	0.442104	0.214561	0.0839498
έ	0.0132227	0.0591147	0.25555	0.285433	0.386679
n	0.00403857	0.0594798	0.100014	0.693801	0.142666
g	0.00208192	0.0176865	0.012472	0.898645	0.0691148
έ	0.000362683	0.00594096	0.00730251	0.963817	0.022577
</S>	0.00133473	0.00647308	0.0465326	0.343266	0.602394
