 	que	la	saison	sèche	arrive	pour	que	je	parte	pêcher	à	l'	écope	</S>
e	0.368821	0.233984	0.145359	0.130137	0.0270953	0.0308011	0.0170557	0.0338436	0.000198615	0.00406303	0.00455911	0.00395334	1.30832e-05	0.000116267
b	0.0736999	0.537135	0.0370924	0.0664369	0.0198065	0.042514	0.0148156	0.0843976	0.0583094	0.0310701	0.018185	0.00345363	0.00426487	0.00881881
h	0.0175474	0.166584	0.0679774	0.542583	0.043296	0.0826913	0.0236653	0.0106878	0.00598831	0.0238113	0.00881002	0.000991797	0.00271135	0.00265588
ó	0.010977	0.167148	0.130722	0.484832	0.00960561	0.0674598	0.0293702	0.0318014	0.0130175	0.0257658	0.0136481	0.00157372	0.00152335	0.0125547
y	0.168827	0.162983	0.269291	0.352443	0.0125184	0.0174985	0.00871213	0.00345809	0.000331825	0.0012497	0.000892333	0.000462088	5.44671e-05	0.00127787
á	0.135763	0.142147	0.180834	0.0833749	0.0257192	0.0497563	0.0301993	0.0208872	0.0737378	0.051628	0.0641064	0.0212974	0.00584747	0.114701
k	0.105238	0.0541387	0.26011	0.147333	0.0914642	0.0619047	0.12717	0.0574058	0.0189774	0.0212978	0.0203449	0.0147325	0.00189125	0.0179906
á	0.0987425	0.0786499	0.10411	0.180795	0.0823934	0.0741419	0.0757411	0.0452958	0.158605	0.0412515	0.0219191	0.00182474	0.00712877	0.0294021
a	0.0954863	0.0814535	0.168503	0.170231	0.0477338	0.0929961	0.0959969	0.0440867	0.046248	0.0558708	0.0247406	0.000864002	0.00408684	0.0717026
é	0.014828	0.00820381	0.031019	0.0579223	0.342673	0.20965	0.182137	0.0901101	0.0107611	0.0160191	0.0195484	0.0095733	0.000386087	0.00716847
y	0.0199226	0.0462747	0.0179066	0.0255939	0.114576	0.198393	0.079908	0.0663067	0.346514	0.0342692	0.00835192	0.00485332	0.0277943	0.00933531
a	0.00106816	0.00382319	0.00435228	0.00650994	0.0151189	0.0407572	0.0526478	0.0286888	0.73752	0.0190635	0.00567551	0.00548629	0.0442914	0.0349967
a	0.024699	0.0199972	0.0484255	0.0731927	0.0410253	0.19482	0.133262	0.045702	0.240007	0.0354155	0.0104251	0.0080296	0.0155568	0.109443
b	0.00541097	0.00424099	0.0100829	0.0148093	0.0861509	0.203025	0.27269	0.244189	0.0568923	0.0404112	0.0216108	0.0241911	0.00211093	0.0141837
a	0.0154363	0.0168883	0.0331993	0.0367453	0.0684811	0.185075	0.261566	0.0779666	0.0388905	0.131942	0.0879469	0.00742619	0.0109826	0.0274532
á	0.00371204	0.00271333	0.00994973	0.0141212	0.0430567	0.190767	0.31953	0.115368	0.0608374	0.106084	0.052135	0.00440011	0.0039406	0.0733848
n	0.00600253	0.00466882	0.00944151	0.0111035	0.0349245	0.0848742	0.115858	0.259855	0.0614403	0.136553	0.0700046	0.110944	0.0189032	0.0754268
g	0.00239921	0.0013849	0.00182475	0.00121331	0.00877007	0.014637	0.0654063	0.801173	0.017925	0.0358725	0.0138112	0.0165198	0.000729956	0.0183326
á	0.000530743	0.00220872	0.00342418	0.00604988	0.0296825	0.0428621	0.106682	0.341818	0.273292	0.0911079	0.0198513	0.0389029	0.0281721	0.0154166
í	0.00207302	0.00243356	0.0087882	0.011713	0.0582595	0.141866	0.0713222	0.0722874	0.102031	0.169474	0.116477	0.142984	0.0427835	0.0575072
d	0.00881179	0.0126658	0.0100869	0.00835615	0.0207311	0.0320101	0.0247723	0.0830671	0.0692897	0.110185	0.106321	0.111902	0.30049	0.101311
z	0.00225787	0.00522066	0.00284481	0.0022192	0.00212955	0.0215781	0.0123492	0.0378951	0.104549	0.121229	0.0582582	0.0126883	0.0874404	0.529341
w	0.00216557	0.00596589	0.0042902	0.00119232	0.00528641	0.0313285	0.0203641	0.0284788	0.133916	0.191301	0.0992706	0.0977129	0.0799069	0.298821
a	0.00792833	0.00348547	0.00542159	0.00857272	0.0101646	0.0947929	0.0572081	0.0361207	0.0393531	0.204179	0.20347	0.183778	0.0361619	0.109363
i	0.00072048	0.000594618	0.00147168	0.00187767	0.0033407	0.0141356	0.0318137	0.0579308	0.00835487	0.037147	0.133005	0.21192	0.073585	0.424103
t	0.00411432	0.0103404	0.00327979	0.00717062	0.00625989	0.0140216	0.00890437	0.040715	0.0349443	0.0474613	0.074915	0.0262954	0.450468	0.271111
ó	0.00107414	0.00604118	0.00556197	0.00786975	0.00209825	0.0164254	0.019577	0.0195695	0.0503796	0.0558164	0.0747552	0.0127816	0.561272	0.166778
a	5.0908e-05	0.000237898	0.000554695	0.00176487	0.000819962	0.00758855	0.00890856	0.00445658	0.0489208	0.0291033	0.0472821	0.0237103	0.469571	0.35703
</S>	0.00171969	0.0023918	0.00560173	0.00950877	0.0147604	0.0324452	0.0328094	0.0625057	0.00574464	0.0322807	0.194112	0.183219	0.0567325	0.366168
