 	lorsque	cette	femme	est	enceinte	ses	pieds	gonflent	</S>
o	0.742123	0.165675	0.0142989	0.0206588	0.0229566	0.026203	0.00671009	0.000883187	0.000491438
y	0.286761	0.198351	0.445319	0.0130796	0.0124494	0.00616962	0.00638653	0.0226993	0.00878434
ú	0.601308	0.324518	0.0482186	0.00297669	0.00925452	0.00281835	0.00383799	0.00583625	0.00123246
r	0.198969	0.274571	0.0470759	0.0338881	0.127242	0.0565989	0.0231811	0.0277823	0.210692
u	0.359839	0.277179	0.0554973	0.0672212	0.118567	0.0610236	0.0107575	0.00810358	0.0418127
w	0.391176	0.304802	0.135997	0.0771913	0.0200298	0.0171501	0.00544774	0.00929169	0.038914
ó	0.22548	0.245951	0.0358592	0.143321	0.0660813	0.109663	0.0265283	0.0115653	0.13555
w	0.203874	0.0985516	0.0667131	0.317224	0.0171751	0.0643442	0.0123846	0.0082463	0.211487
á	0.0820181	0.207795	0.0303215	0.18189	0.0773469	0.147905	0.0316241	0.0275626	0.213536
á	0.105569	0.146054	0.0208995	0.416795	0.119884	0.0460043	0.0201316	0.0149469	0.109716
a	0.0347586	0.0324766	0.0434066	0.51625	0.277015	0.0258038	0.0186737	0.0136677	0.0379479
b	0.0711751	0.0405635	0.0478393	0.488273	0.157367	0.031301	0.0838569	0.0528114	0.0268127
h	0.0273437	0.0357039	0.00389211	0.389035	0.190032	0.0547529	0.207764	0.0774888	0.0139875
i	0.0278977	0.0149895	0.000904557	0.218751	0.50874	0.0850655	0.109129	0.0113799	0.0231433
l	0.00395592	0.00622566	0.000325273	0.128175	0.585411	0.16227	0.0645785	0.00690755	0.0421507
a	0.00865017	0.0114858	0.000379821	0.141319	0.562806	0.155207	0.0225075	0.0065108	0.0911343
d	0.00542381	0.0105708	0.00366594	0.0923251	0.335743	0.410974	0.0244467	0.0681695	0.0486819
z	0.0186124	0.0121384	0.00116106	0.0109218	0.62655	0.218682	0.0352043	0.044535	0.0321953
é	0.00299204	0.00824401	0.00875337	0.0243087	0.65049	0.177871	0.0521551	0.0449783	0.030208
m	0.0012554	0.00345072	0.00150944	0.0605142	0.225663	0.222691	0.395241	0.0328497	0.0568252
i	0.00296671	0.0035824	0.000321668	0.023856	0.328933	0.288094	0.136021	0.0203258	0.1959
a	0.00852278	0.00678162	0.000419618	0.0301224	0.0461125	0.212686	0.4309	0.110909	0.153545
k	0.00398156	0.00166178	0.000169727	0.0120362	0.00970139	0.0815027	0.522306	0.198312	0.170328
o	0.00052308	0.000187644	1.86764e-05	0.00162637	0.00200182	0.0203321	0.876967	0.0517006	0.0466425
o	0.00141139	0.000825393	0.000161645	0.00393777	0.0120836	0.0185967	0.782354	0.122207	0.0584225
m	0.00779974	0.00593529	0.000882536	0.0132232	0.00782775	0.0984458	0.123775	0.313697	0.428414
á	0.008432	0.0262375	0.00503263	0.0475525	0.042517	0.159788	0.134265	0.271724	0.304451
a	0.00459566	0.00605106	0.00246776	0.00643783	0.0145271	0.0577789	0.0477372	0.63235	0.228054
s	0.00232946	0.0015215	0.000561935	0.00740433	0.00558312	0.0151692	0.059405	0.643716	0.26431
í	0.00282399	0.0053618	0.0123548	0.00504325	0.0206306	0.0139576	0.00624396	0.756634	0.176951
n	0.00141889	0.00139604	0.00107771	0.00134642	0.00532156	0.0196682	0.01376	0.213395	0.742616
a	0.00192777	0.00130475	0.000733073	0.00235394	0.0425358	0.0390465	0.00171128	0.398029	0.512358
a	0.000452858	0.000728257	0.00010827	0.00446822	0.0075349	0.049974	0.025586	0.178314	0.732834
</S>	0.0167648	0.00891251	0.000585901	0.0301843	0.0277979	0.0525924	0.0381773	0.306889	0.518095
