 	le	gardien	de	cette	maison	est	endormi	</S>
o	0.502979	0.43923	0.0322797	0.0114787	0.00681838	0.00378877	0.00320777	0.00021705
k	0.087206	0.861603	0.0126624	0.00408285	0.00301945	0.00397328	0.0253839	0.00206937
y	0.0138924	0.94854	0.0110828	0.00351585	0.000187906	0.00141462	0.0190438	0.00232241
έ	0.0500845	0.909553	0.0227401	0.00589974	0.000666865	0.000870403	0.00914915	0.00103606
έ	0.189075	0.688746	0.0215793	0.0198801	0.00559588	0.00656116	0.00878839	0.0597744
l	0.296688	0.235716	0.133522	0.0787171	0.0180003	0.0775437	0.0105926	0.14922
i	0.374968	0.227274	0.0715969	0.0693492	0.0201752	0.057365	0.0106709	0.1686
y	0.288603	0.041938	0.253219	0.252416	0.0939112	0.0340013	0.00266057	0.0332517
a	0.181014	0.0163761	0.153504	0.265576	0.282156	0.0360392	0.00056253	0.064772
n	0.440657	0.009309	0.08035	0.262434	0.184611	0.0129174	0.00118917	0.00853274
d	0.00565802	0.00186859	0.022381	0.0699058	0.893933	0.0032897	0.000223584	0.00274012
é	0.000964703	0.00131598	0.0164986	0.0808978	0.894121	0.00159424	0.000245212	0.00436245
e	0.0299446	0.0650265	0.185085	0.287709	0.272967	0.0721948	0.0163663	0.0707061
y	0.0541945	0.0431103	0.252688	0.23951	0.062969	0.283183	0.0294598	0.0348844
é	0.105216	0.0198497	0.166919	0.349885	0.168782	0.134798	0.00517922	0.049372
a	0.0317613	0.00424169	0.0748586	0.367833	0.136198	0.336211	0.0252572	0.0236393
b	0.0441325	0.0257125	0.162294	0.132351	0.103371	0.159937	0.217289	0.154911
h	0.0127205	0.0286046	0.153717	0.152314	0.00633822	0.069408	0.431308	0.145591
i	0.0659198	0.0433863	0.161754	0.131206	0.0166229	0.0279241	0.351224	0.201962
ó	0.00499249	0.00309708	0.0453809	0.192915	0.0287582	0.114265	0.248171	0.362421
f	0.00778773	0.00434344	0.0287548	0.0610976	0.0650048	0.220246	0.334349	0.278416
u	0.00324702	0.011336	0.0296375	0.0499011	0.00977312	0.0830355	0.618279	0.194791
l	0.00326722	0.00134217	0.00416466	0.038084	0.00738511	0.0195551	0.274309	0.651893
ú	0.00749388	0.004203	0.00898885	0.143143	0.0612745	0.125101	0.318097	0.331699
</S>	0.00672889	0.00253558	0.0121816	0.0532615	0.0162595	0.243419	0.140072	0.525542
