 	il	y	a	l'	inondation	à	boundji	</S>
o	0.267062	0.439974	0.180151	0.072177	0.0114338	0.0256083	0.00302883	0.00056468
t	0.0565983	0.278056	0.13304	0.114026	0.285788	0.015509	0.10561	0.0113723
u	0.00426282	0.0937465	0.0140622	0.0609295	0.773785	0.00144663	0.0501899	0.00157704
b	0.00806325	0.110815	0.0480158	0.110903	0.624062	0.0106764	0.0635353	0.0239287
h	0.269201	0.125067	0.0993672	0.168946	0.155248	0.0481118	0.0880109	0.0460486
a	0.320712	0.0898671	0.0539575	0.206452	0.1488	0.0329454	0.030628	0.116637
ó	0.184579	0.115184	0.337596	0.234533	0.0477505	0.0320771	0.00105247	0.047228
m	0.0292775	0.0264532	0.240028	0.270686	0.346053	0.0449249	0.00603716	0.0365404
i	0.0253245	0.0263396	0.204537	0.257771	0.0899939	0.129302	0.0446476	0.222085
k	0.0193936	0.0140856	0.109069	0.248151	0.204422	0.137721	0.0669759	0.200182
ó	0.000423186	0.00179241	0.00319916	0.0300589	0.935113	0.00458516	0.0184006	0.0064271
á	0.00277627	0.0192986	0.0343396	0.0977896	0.776857	0.0174616	0.0285569	0.0229209
m	0.0249381	0.00935655	0.065624	0.130401	0.0559268	0.64748	0.0384717	0.027802
b	0.0213285	0.00391774	0.0265841	0.038392	0.0127195	0.180723	0.398726	0.317609
ó	0.00375902	0.00222692	0.0148729	0.0853766	0.0113387	0.18819	0.599418	0.0948178
n	0.00598695	0.00526184	0.0402802	0.094636	0.0283254	0.199143	0.367817	0.25855
d	0.0444785	0.0439656	0.0402841	0.101613	0.0395808	0.143843	0.484502	0.101734
z	0.012668	0.0153791	0.0158726	0.0538618	0.0663173	0.0572911	0.656359	0.122251
i	0.0047553	0.00359363	0.00721755	0.0460702	0.079051	0.0184731	0.7373	0.103539
</S>	0.00850033	0.014258	0.0513815	0.0897621	0.0358173	0.166712	0.143336	0.490233
