 	pourquoi	tu	me	harcèles	pour	te	donner	de	l'	argent	</S>
t	0.879439	0.0635211	0.00666376	0.0279413	0.0101915	0.010377	0.000630415	0.000252892	0.000847397	6.98667e-05	6.55968e-05
s	0.319588	0.249558	0.0863267	0.198504	0.0835243	0.047662	0.00282657	0.00360992	0.00602026	0.00201818	0.000361935
í	0.018428	0.0428037	0.0604656	0.804113	0.0483528	0.0196614	0.00149174	0.001706	0.00183321	0.000919287	0.000225071
n	0.132192	0.0199647	0.00763725	0.06367	0.0171008	0.0796662	0.00994077	0.00605184	0.00335011	0.00350455	0.656922
a	0.144125	0.0955229	0.0447947	0.108051	0.0990336	0.140827	0.00556548	0.0280378	0.0245492	0.0222442	0.287249
n	0.391785	0.296358	0.0610195	0.0251327	0.0227813	0.0240719	0.0273699	0.041324	0.0135376	0.0010727	0.0955479
d	0.362925	0.274684	0.132212	0.0431318	0.0444902	0.0878265	0.000957982	0.00679542	0.0118868	0.0165357	0.0185544
e	0.155896	0.405342	0.222635	0.0260074	0.0479273	0.0220677	0.00169977	0.00894379	0.00922471	0.039615	0.0606418
n	0.231534	0.355494	0.244661	0.0568774	0.029755	0.0211023	0.000928172	0.00704891	0.0111026	0.014523	0.0269733
ω	0.344365	0.488123	0.0815668	0.0122844	0.0127693	0.0126505	0.000555094	0.0034867	0.00517986	0.00862796	0.0303911
ó	0.0981497	0.279908	0.377653	0.0342781	0.0313031	0.0169131	0.00645096	0.0264885	0.024326	0.010834	0.0936955
m	0.0407136	0.195093	0.41573	0.208543	0.0359432	0.0067442	0.0327912	0.0301437	0.0118507	0.00206902	0.0203785
i	0.00632254	0.0355523	0.355763	0.412413	0.0768053	0.0168074	0.012069	0.0288622	0.0189702	0.00606586	0.0303688
y	0.00205438	0.0434505	0.368853	0.521446	0.0157722	0.00253586	0.00772281	0.0110288	0.00547615	0.00150409	0.0201564
i	0.00289582	0.0396741	0.545811	0.366982	0.0307798	0.000993156	0.000691087	0.00301743	0.00199972	0.00269268	0.00446244
r	0.00139676	0.00555588	0.193979	0.596125	0.0911475	0.00332706	0.000508646	0.0267383	0.0139446	0.00641154	0.0608657
á	0.00196881	0.00934114	0.258217	0.562484	0.0975574	0.00946626	0.00182075	0.0161366	0.00601025	0.00356971	0.0334281
n	0.0114866	0.0426872	0.184115	0.537444	0.173047	0.0217352	0.010285	0.00495624	0.00854861	0.00326282	0.00243211
g	0.0264992	0.123059	0.308238	0.185739	0.203592	0.0680466	0.00119237	0.0034018	0.0106085	0.0499599	0.0196639
á	0.0177144	0.111086	0.308248	0.102587	0.286771	0.0447171	0.00254356	0.00692204	0.0102039	0.0922367	0.0169696
m	0.00166042	0.00528873	0.0707947	0.188376	0.480695	0.104339	0.0658208	0.0305026	0.0250205	0.00581233	0.021689
b	0.000247877	0.000562194	0.0263025	0.214279	0.441723	0.0808782	0.0987623	0.0384591	0.0226931	0.0180231	0.058069
v	6.98436e-05	0.000531317	0.0216405	0.554064	0.20727	0.082122	0.0537257	0.0298508	0.00640851	0.0252718	0.0190453
u	0.00033482	0.00198866	0.0270884	0.652381	0.0704976	0.0459584	0.0311401	0.022025	0.0101313	0.0239064	0.114549
ú	0.00264288	0.00782269	0.0311383	0.332772	0.34984	0.0867015	0.0601522	0.0634797	0.0114211	0.0025971	0.0514328
s	0.000125027	0.000187895	0.00707294	0.0559353	0.198577	0.147262	0.330325	0.172769	0.0244269	0.000917163	0.0624016
á	0.0017531	0.000760807	0.0197725	0.244048	0.38443	0.16017	0.0359122	0.062694	0.0300283	0.0165336	0.0438974
w	0.00881751	0.002777	0.0116223	0.0641023	0.205192	0.515833	0.0389147	0.0783005	0.0461375	0.012434	0.0158687
á	0.00249922	0.0020636	0.00922613	0.0622517	0.149636	0.167331	0.320563	0.108499	0.0589086	0.0177602	0.101262
r	0.00660505	0.00275797	0.00708096	0.0170481	0.0856931	0.329562	0.313103	0.0724623	0.0433655	0.0236026	0.0987194
e	0.00156419	0.00572769	0.0188533	0.0576449	0.126827	0.496641	0.0149905	0.0476206	0.0458998	0.0747488	0.109482
k	0.000402897	0.00060442	0.00602961	0.0144109	0.157677	0.330243	0.0376281	0.241182	0.145048	0.0248719	0.0419027
ω	0.000528617	0.000681722	0.00167732	0.0268007	0.0521327	0.0955459	0.448215	0.172137	0.040892	0.00244237	0.158947
m	0.000404126	0.000276385	0.0028432	0.0699411	0.0997556	0.105686	0.181896	0.265064	0.124489	0.0971197	0.0525253
i	0.00100638	0.000277798	0.00430349	0.0533557	0.250663	0.0748211	0.152976	0.154962	0.0620339	0.0660787	0.179521
i	0.000335699	0.000829215	0.00303233	0.00457565	0.030272	0.0537227	0.0352961	0.298341	0.300193	0.0271993	0.246203
p	0.000445768	0.00141161	0.00405708	0.00758971	0.0157749	0.0244425	0.0271422	0.285211	0.247788	0.0465191	0.339618
έ	3.75069e-05	0.000189268	0.00117414	0.00969415	0.0250202	0.027084	0.166571	0.411792	0.111164	0.016768	0.230506
n	0.00358443	0.00065115	0.00360028	0.05262	0.120762	0.260937	0.168695	0.166546	0.0907516	0.0289671	0.102885
ω	0.00345003	0.00155191	0.00513651	0.0544915	0.119918	0.470932	0.0329364	0.0788218	0.118074	0.0862042	0.0284832
m	0.000927453	0.000654561	0.00244549	0.00489952	0.0503901	0.276443	0.016435	0.13936	0.251941	0.10617	0.150335
b	0.00163118	0.000598219	0.00300836	0.0180353	0.060573	0.0689568	0.0110124	0.125577	0.150034	0.462918	0.0976555
ώ	0.000358232	0.000273307	0.00156708	0.0213359	0.0254065	0.0912492	0.00639592	0.0579392	0.0544929	0.690632	0.0503494
n	0.000218225	0.000178931	0.000591129	0.00871449	0.0262641	0.174754	0.151745	0.0716818	0.0754402	0.321935	0.168477
g	0.000414327	0.000503404	0.00227474	0.00566046	0.0280709	0.0686111	0.00933512	0.0914163	0.139006	0.400258	0.25445
ω	0.00165305	0.000838231	0.00193315	0.00442556	0.041812	0.165323	0.00186876	0.0141278	0.0431392	0.646084	0.0787949
</S>	0.000489896	0.000699813	0.00330917	0.00507272	0.0265466	0.0856781	0.00563867	0.144108	0.157484	0.0997937	0.47118
