 	je	me	suis	abrité	de	la	pluie	dans	la	maison	de	mon	ami	</S>
n	0.93522	0.0352244	0.0173603	0.0017862	0.00221984	0.00336296	0.00209316	0.000562732	0.000759347	0.000272006	0.000509356	0.000462256	0.000157802	9.92871e-06
g	0.892638	0.104563	0.000747717	1.48335e-05	0.000275806	0.000312922	1.33259e-05	2.84479e-05	9.14329e-05	0.000994402	2.34614e-05	0.00029414	1.94703e-06	4.26734e-07
á	0.505019	0.464571	0.0160765	0.00195163	0.00148515	0.00183339	0.000827346	0.000129898	0.000463502	0.00662072	7.9725e-05	0.000320901	0.000603332	1.82153e-05
í	0.0915943	0.177089	0.265919	0.0334285	0.0217908	0.023706	0.0128838	0.00545261	0.0125502	0.00488047	0.0299687	0.027794	0.0072828	0.28566
f	0.00932315	0.0336956	0.478698	0.435248	0.016595	0.00515534	0.00408655	0.00280688	0.00105804	0.000460187	0.000801661	0.000718323	0.00472983	0.00662265
ú	0.000226517	0.0046414	0.4027	0.519688	0.0285078	0.008777	0.0115078	0.00549059	0.0016073	5.77469e-05	0.00121201	0.000472735	0.0124278	0.00268356
ú	0.0031194	0.0110851	0.246874	0.519215	0.158887	0.031565	0.00448157	0.00600747	0.0103225	0.00239559	0.00123597	0.000885871	0.000598337	0.00332775
m	0.00314603	0.0441528	0.119619	0.116629	0.402205	0.178772	0.0271752	0.01752	0.0208934	0.0146784	0.0210622	0.00607877	0.00121173	0.0268565
u	0.00522842	0.0574471	0.020773	0.00115229	0.112933	0.455102	0.114544	0.150491	0.0585096	0.0028227	0.00556174	0.0109279	0.000696196	0.0038113
m	0.000561218	0.00389246	0.0121643	0.00725964	0.24833	0.467195	0.194506	0.0279235	0.0121631	0.00522227	0.00229608	0.000973092	0.00167417	0.0158387
b	0.000179943	0.00115434	0.00267867	0.000493471	0.0485802	0.353255	0.397249	0.13583	0.0202362	0.000584324	0.00189688	0.000732118	0.00310568	0.0340243
v	2.50871e-05	0.000657317	0.00588857	0.000696935	0.0390728	0.288666	0.604542	0.0325834	0.0164256	0.000574373	0.000969126	0.000539887	0.00798107	0.00137821
ú	0.000169731	0.00594693	0.00744956	0.00167728	0.0627841	0.207323	0.592736	0.0578072	0.0360395	0.00217156	0.00279089	0.00267183	0.00901051	0.0114219
á	0.000955802	0.00432856	0.0353164	0.0208037	0.171226	0.22272	0.502912	0.0283986	0.00490351	0.000278372	0.00102361	0.000202825	0.00209552	0.00483518
s	0.000613383	0.00237038	0.00824583	0.00497088	0.0931105	0.246099	0.247191	0.236714	0.0939117	0.0344377	0.0128581	0.00459109	0.00179415	0.0130923
á	0.00526161	0.00325406	0.00440287	0.00109727	0.027714	0.078762	0.0651183	0.324242	0.251074	0.0494665	0.0401294	0.0219199	0.00916836	0.11839
n	0.00779391	0.0067798	0.00274467	0.000552025	0.015306	0.0915188	0.0584461	0.197498	0.344606	0.122905	0.0450383	0.0778628	0.0110403	0.0179081
d	0.0158108	0.014523	0.000582206	0.000161559	0.00549317	0.0298597	0.0152583	0.0405109	0.126214	0.706132	0.00976395	0.0241105	0.00395382	0.0076253
é	0.00259512	0.00304849	0.000258812	0.00012834	0.00170728	0.0084669	0.00778622	0.016261	0.0572024	0.874018	0.003994	0.011282	0.00444905	0.00880261
e	2.93425e-05	0.000447662	0.00107626	0.000343059	0.0221189	0.0947574	0.0631068	0.128737	0.180299	0.262498	0.0267109	0.012523	0.0909944	0.116359
y	9.44015e-05	0.00046014	0.00347388	0.0025489	0.0174235	0.0457257	0.0684759	0.304589	0.201858	0.101766	0.141202	0.0239437	0.0383386	0.0500993
ó	0.00059152	0.00119083	0.00493214	0.0018711	0.0143117	0.0433073	0.0290004	0.150889	0.264409	0.183529	0.114485	0.0553412	0.0271817	0.10896
b	0.000259377	0.000621883	0.00259189	0.000707934	0.00567779	0.0192423	0.0149846	0.0812574	0.217766	0.169024	0.211932	0.133884	0.0655975	0.0764532
i	0.000346471	0.0022913	0.00505726	0.000483867	0.00413007	0.00737851	0.0114016	0.0644492	0.0610331	0.00428545	0.036042	0.0153555	0.779798	0.00794758
a	9.43048e-06	0.000395866	0.00126254	0.000741523	0.00828645	0.018802	0.0440025	0.0761533	0.0426019	0.00634908	0.0844837	0.0191962	0.373093	0.324622
y	0.000198956	0.000245071	0.000979902	0.000666043	0.00194733	0.00329385	0.00367299	0.0212115	0.110508	0.139668	0.338423	0.2438	0.0156308	0.119754
a	0.000279547	0.000778305	0.00387838	0.00241658	0.00904013	0.0132787	0.00767103	0.0440609	0.120656	0.112339	0.200324	0.160802	0.0739111	0.250565
n	0.000151256	0.000274629	0.00101701	0.000204428	0.00133316	0.00271441	0.000875854	0.00824943	0.042338	0.0643083	0.180489	0.53688	0.047716	0.113449
g	0.00375482	0.00351318	0.000330893	0.000120173	0.0015165	0.00359915	0.00118096	0.0047726	0.0433696	0.639285	0.0580321	0.137325	0.0588815	0.0443177
á	0.00417147	0.00558661	0.000384495	9.43573e-05	0.00059687	0.00237014	0.000704552	0.00179889	0.0190227	0.532718	0.05213	0.109332	0.173386	0.0977048
</S>	7.6991e-05	0.000163528	0.000218724	0.000130026	0.00169469	0.00507902	0.00443186	0.00775026	0.0304906	0.0232168	0.308016	0.133672	0.0345189	0.450541
