 	on	l'	a	fait	taire	pendant	les	palabres	car	il	bavardait	trop	</S>
a	0.561547	0.217556	0.11387	0.0883657	0.00173633	0.00516791	0.00517623	0.00277781	0.00301461	0.000395729	0.00028773	8.21228e-05	2.3489e-05
y	0.175983	0.205227	0.23966	0.171054	0.141335	0.0152393	0.0183959	0.0107665	0.0144031	0.00231628	0.0013731	0.00375363	0.000493811
ú	0.0123388	0.180532	0.073668	0.0597114	0.396741	0.0241489	0.0129162	0.00274443	0.0269293	0.0266841	0.0899236	0.0304028	0.0632595
ú	0.0145808	0.164715	0.0539296	0.111112	0.3667	0.0295192	0.0182781	0.00421446	0.0698606	0.0219782	0.0291982	0.0280906	0.087823
m	0.0411748	0.176833	0.261741	0.218687	0.118945	0.0690064	0.0356682	0.00809043	0.0147913	0.0156199	0.0123253	0.0020737	0.0250437
u	0.0329468	0.153348	0.217013	0.267545	0.0694587	0.113221	0.0577875	0.00517626	0.0100907	0.0339494	0.012083	0.000556949	0.0268238
w	0.0136719	0.0493755	0.0832209	0.139631	0.298468	0.20381	0.0811103	0.025142	0.0219388	0.0228125	0.0247529	0.00083856	0.0352286
a	0.0212574	0.0812312	0.152587	0.37756	0.0295135	0.130065	0.0512136	0.0462279	0.0344116	0.0448851	0.00356282	0.0108072	0.0166771
ó	0.00599493	0.0198811	0.0520558	0.0893232	0.126489	0.362312	0.124549	0.0873375	0.027874	0.0191344	0.0190833	0.00578324	0.0601825
e	0.00239532	0.00572403	0.0168071	0.0209405	0.0552543	0.251587	0.2628	0.320105	0.0329594	0.0110233	0.0136918	0.00235115	0.00436167
b	0.00226886	0.00301587	0.00446351	0.00501921	0.0476175	0.0820924	0.196255	0.517986	0.0887063	0.0131923	0.0196047	0.00339094	0.0163879
é	0.000438676	0.00117961	0.00251649	0.00508121	0.00726949	0.0381708	0.114701	0.724882	0.0850024	0.0100988	0.00491779	0.00130447	0.00443685
e	0.00354016	0.00732561	0.0185888	0.0252973	0.027601	0.128081	0.202138	0.401992	0.105848	0.0234377	0.0206245	0.00212909	0.0333969
y	0.00245492	0.00370225	0.00533232	0.00823271	0.0125677	0.129523	0.218926	0.374814	0.163287	0.0538533	0.0124878	0.00251253	0.012307
á	0.00421737	0.0158547	0.00983899	0.0184161	0.0334193	0.10085	0.14368	0.114358	0.361318	0.0951114	0.0290983	0.0273569	0.0464803
t	0.00592201	0.0155159	0.0100021	0.00840246	0.00699605	0.0152587	0.0801695	0.0220123	0.587642	0.205357	0.0271169	0.0119342	0.00367089
s	0.00433788	0.00612047	0.00705589	0.0053393	0.00667095	0.0168888	0.0274438	0.0850324	0.612911	0.147811	0.0103268	0.0600749	0.00998716
έ	8.56483e-05	0.000266691	0.000219818	0.000697719	0.000253558	0.00428374	0.0112382	0.243348	0.650836	0.0590609	0.00477453	0.0175905	0.00734484
m	0.00046309	0.00113181	0.00112317	0.00131421	0.00147217	0.0193418	0.0528859	0.272799	0.392095	0.12099	0.017334	0.00818199	0.110868
b	0.00176679	0.00108661	0.00117585	0.00131726	0.00393852	0.012937	0.038939	0.0596464	0.305148	0.43471	0.0594125	0.00358799	0.0763337
í	0.00152026	0.00257762	0.00134241	0.00272112	0.00110542	0.0256786	0.0978746	0.146492	0.444322	0.234271	0.0214685	0.00193074	0.0186964
t	0.00432788	0.0040238	0.00410197	0.0046954	0.000963983	0.0262962	0.0344567	0.0384527	0.201161	0.536278	0.0919224	0.00952782	0.0437921
s	0.00887216	0.0053849	0.00598765	0.00753584	0.00237565	0.0156607	0.0154154	0.114236	0.200853	0.330825	0.0261927	0.215456	0.0512054
í	0.00280117	0.00434049	0.0021998	0.0039851	0.000455985	0.00800893	0.0186384	0.2134	0.414681	0.209655	0.0196682	0.0612401	0.0409256
n	0.00303123	0.00315038	0.00282758	0.00229822	0.0010111	0.0105594	0.0540224	0.186376	0.309816	0.173944	0.0567767	0.0332844	0.162902
a	0.014323	0.0132521	0.0107493	0.00488222	0.00198194	0.0173474	0.0312788	0.0134033	0.11429	0.495636	0.105785	0.0230754	0.153996
w	0.0010648	0.00278732	0.0046019	0.00449918	0.00499987	0.0113938	0.0128292	0.00194038	0.0387695	0.364693	0.437063	0.0412283	0.0741293
a	0.00366851	0.00736039	0.0110964	0.0129859	0.00232677	0.0371283	0.0293195	0.0134424	0.0791875	0.454294	0.0961687	0.116816	0.136205
á	0.00126964	0.00372203	0.00277674	0.00329413	0.00117413	0.00681584	0.00532606	0.00114769	0.0164069	0.195918	0.4314	0.135304	0.195445
d	0.00177667	0.00314897	0.00436989	0.00447819	0.00828464	0.0179878	0.015926	0.0138899	0.0139256	0.0679199	0.664922	0.11269	0.0706799
z	0.000344886	0.000843505	0.000886262	0.000503439	0.00192999	0.00404885	0.00918295	0.000876732	0.00579618	0.0399118	0.591347	0.0155781	0.328751
e	0.000625529	0.00245534	0.0015974	0.00204362	0.00812772	0.0051672	0.00976721	0.000306781	0.0197923	0.22013	0.579873	0.0472676	0.102847
l	0.000219948	0.00134584	0.00140994	0.00395976	0.0010375	0.0111407	0.0363822	0.0113428	0.0607131	0.104439	0.314166	0.166357	0.287486
á	0.00198647	0.00121195	0.00145703	0.000754576	0.00183571	0.00301922	0.00345094	0.00347245	0.0160403	0.0753823	0.172305	0.365319	0.353765
a	0.000835751	0.00165054	0.00218002	0.00217854	0.00109646	0.00277403	0.0053921	0.00147831	0.0197789	0.0704007	0.123882	0.415	0.353353
k	0.000619327	0.00115373	0.00191358	0.00210693	0.00223872	0.00622993	0.00638236	0.0135476	0.0131099	0.0160804	0.114473	0.662531	0.159613
y	5.35048e-05	0.000137329	0.000301681	0.000579641	0.000836274	0.00309431	0.00318098	0.0488303	0.0223972	0.0129849	0.0305952	0.739324	0.137685
á	0.000466734	0.00116218	0.0014964	0.00310839	0.000860002	0.0086683	0.00857863	0.049353	0.0402547	0.0369955	0.0498083	0.677126	0.122122
l	0.00039141	0.00094968	0.000520526	0.000537809	0.000744908	0.00162163	0.00152695	0.00451859	0.00780668	0.0261144	0.0581445	0.493104	0.404019
o	0.000143891	0.000104202	0.000160435	0.000147191	0.000226084	0.000520121	0.000759376	0.00450642	0.00795817	0.00886931	0.00990132	0.719046	0.247657
b	0.000811479	0.00240694	0.00208665	0.00369884	0.000651378	0.00435502	0.00343272	0.00227939	0.00915435	0.012817	0.0217234	0.685671	0.250912
h	0.0022759	0.00225518	0.00624497	0.00833277	0.000559008	0.0443505	0.0578693	0.0930499	0.0583503	0.0353098	0.0870723	0.314749	0.289581
ó	0.00463747	0.00463609	0.00213044	0.00447114	0.000257733	0.00502739	0.0130829	0.0995165	0.0551204	0.029641	0.0149925	0.172932	0.593555
</S>	2.12177e-05	6.61506e-05	3.52904e-05	0.000127341	7.12869e-05	0.000500893	0.000758701	0.00524036	0.0137721	0.0111889	0.0138739	0.333228	0.621115
