 	judas	et	les	juifs	s'	étaient	accordés	pour	tuer	jésus	</S>
y	0.907374	0.0778751	0.0111991	0.000736014	0.00210839	0.000288681	0.000276481	8.20182e-05	3.29728e-05	2.09947e-05	6.33635e-06
u	0.98747	0.00863029	0.00229718	0.000428018	0.000290835	0.000414144	1.25459e-05	1.00656e-05	3.94435e-06	0.000425878	1.7005e-05
d	0.92148	0.0080062	0.00449125	0.0364777	0.00730666	0.00573239	0.00125818	0.00132553	0.000385804	0.00708776	0.00644823
á	0.829675	0.0437532	0.025767	0.0108632	0.00930548	0.00852767	0.00190246	0.00242943	0.00179698	0.0531934	0.0127859
b	0.239679	0.299169	0.245306	0.0268358	0.0460256	0.00737062	0.0138645	0.013334	0.00771267	0.0134194	0.0872836
á	0.0136636	0.227086	0.273069	0.0143466	0.117998	0.0222874	0.108107	0.0987567	0.0548296	0.0143936	0.0554632
a	0.00403698	0.276902	0.493617	0.0508773	0.0645882	0.0228776	0.0258364	0.0140488	0.0120045	0.00399259	0.0312188
l	0.0112405	0.20018	0.194823	0.535466	0.0154153	0.00647167	0.0118876	0.00882862	0.00260584	0.00256421	0.0105168
a	0.0236772	0.0711421	0.0751245	0.755933	0.010325	0.00534264	0.0072051	0.00854098	0.00210309	0.00763856	0.0329681
d	0.0365939	0.0281156	0.0291264	0.883843	0.00335995	0.00202864	0.00137282	0.00311691	0.000923297	0.001362	0.0101576
z	0.000817454	0.00153058	0.00498727	0.979011	0.00380809	0.00158138	0.00172401	0.00240486	0.00149252	0.00128568	0.00135687
w	0.0195791	0.00819387	0.00156135	0.953704	0.0053425	0.00244506	0.000862992	0.0023871	0.00178176	0.00322486	0.000917194
i	0.0789747	0.0969754	0.0312449	0.41144	0.18033	0.0848657	0.0237746	0.0339468	0.0186659	0.028456	0.0113259
f	0.00253146	0.132489	0.151852	0.449875	0.205443	0.0169831	0.0153581	0.00745041	0.00205972	0.000613045	0.0153436
e	0.00100468	0.0274455	0.046613	0.555741	0.220291	0.053453	0.0463092	0.0257296	0.00649447	0.000716297	0.0162019
á	0.000144374	0.0284403	0.130549	0.0210838	0.507661	0.196539	0.0712067	0.0188531	0.00987173	0.00175742	0.0138929
f	0.00282859	0.0168541	0.0447661	0.00988156	0.125101	0.393017	0.229567	0.096587	0.0279979	0.0188478	0.0345519
ú	0.000277186	0.00681167	0.0306912	0.0097995	0.0301509	0.0601821	0.608383	0.184055	0.0504733	0.00552646	0.0136496
r	0.000593068	0.00311376	0.0432733	0.073046	0.145202	0.137478	0.302323	0.220564	0.0498398	0.00523329	0.0193348
á	0.000889135	0.0106042	0.052881	0.272139	0.194413	0.168612	0.0903665	0.130485	0.0107897	0.0394499	0.0293705
m	0.00070116	0.00352356	0.018171	0.00482701	0.0628647	0.213712	0.23864	0.198698	0.136538	0.083636	0.038689
í	0.00231525	0.00366053	0.00511654	0.00117819	0.00986798	0.0312174	0.122713	0.306361	0.29277	0.0389417	0.185859
b	0.000418059	0.00390758	0.0133608	0.00108176	0.015405	0.0475961	0.164332	0.301776	0.351236	0.077479	0.0234074
o	0.000147624	0.00170428	0.00311592	0.000939704	0.00302024	0.00644622	0.206497	0.383716	0.350672	0.0279243	0.0158171
m	0.00037466	0.000565608	0.00291251	0.00667019	0.00483893	0.00920904	0.152762	0.339949	0.438923	0.0116937	0.0321013
a	0.00425469	0.0046219	0.00382137	0.000590238	0.00860604	0.037583	0.0918164	0.332166	0.227465	0.207976	0.0810993
l	0.000142947	0.00086026	0.00579328	0.00225168	0.00958086	0.00882677	0.0613299	0.226862	0.223848	0.145881	0.314623
á	0.000546819	0.00207211	0.00976074	0.00977466	0.017697	0.0152317	0.043212	0.105584	0.0536034	0.411731	0.330787
y	0.00153793	0.00216664	0.0257052	0.00188274	0.0268839	0.014569	0.0114531	0.0296105	0.0549296	0.695966	0.135295
e	0.000517634	0.000296268	0.00220391	0.00178486	0.00226885	0.00308128	0.0018071	0.00586903	0.00382207	0.91197	0.0663788
s	8.77915e-05	0.000305534	0.00359215	0.000442937	0.00624312	0.00559204	0.00345974	0.0133515	0.0239961	0.744058	0.198872
ú	0.000120311	0.000291259	0.00141293	0.00116401	0.00155763	0.00164612	0.00277737	0.0140284	0.00917176	0.752501	0.21533
</S>	0.00012201	0.000127443	0.0021208	0.000714502	0.00227149	0.00403689	0.00985377	0.0359433	0.0399371	0.233019	0.671854
